gid	gname	chr	start	end	logCPM	logFC.A1.A2	absLogFC	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2
MvSl-1064-A1-R4_A1g00002	MvSl-1064-A1-R4_A1	aMAT	1057	1350	8.900974711	-0.386976803	0.386976803	0.244072307	0.807221914	9.005470843	8.297704964	9.424958883	8.629705172
MvSl-1064-A1-R4_A1g00003	MvSl-1064-A1-R4_A1	aMAT	3408913	3409518	5.486169438	-0.332187385	0.332187385	0.137189711	0.631932601	5.406033156	5.208365418	5.789778045	5.477278774
MvSl-1064-A1-R4_A1g00004	MvSl-1064-A1-R4_A1	aMAT	2563	6967	6.353721022	-0.08943976	0.08943976	0.630969638	0.998466238	6.347977709	6.267537388	6.423696211	6.371080603
MvSl-1064-A1-R4_A1g00005	MvSl-1064-A1-R4_A1	aMAT	7783	9967	5.940351374	-0.057590547	0.057590547	0.777161223	1	5.81930637	5.997599491	5.883178203	6.049584241
MvSl-1064-A1-R4_A1g00006	MvSl-1064-A1-R4_A1	aMAT	10297	11118	7.42599601	0.00539463	0.00539463	0.978848961	1	7.322444728	7.527606328	7.361296095	7.482758297
MvSl-1064-A1-R4_A1g00007	MvSl-1064-A1-R4_A1	aMAT	11416	12757	7.730904524	0.213901258	0.213901258	0.305406393	0.870919748	7.73884295	7.923070504	7.603543391	7.636478597
MvSl-1064-A1-R4_A1g00008	MvSl-1064-A1-R4_A1	aMAT	13778	17299	7.693643223	0.436037247	0.436037247	0.10404498	0.557616992	7.592868944	8.145111875	7.09559248	7.749774764
MvSl-1064-A1-R4_A1g00009	MvSl-1064-A1-R4_A1	aMAT	17742	19664	7.508323388	0.709216092	0.709216092	0.011964587	0.133183997	7.319516221	8.190566085	6.864321453	7.32161623
MvSl-1064-A1-R4_A1g00010	MvSl-1064-A1-R4_A1	aMAT	21256	22638	2.409935477	-0.609683561	0.609683561	0.091951974	0.518852129	1.741911625	2.343367098	2.675618686	2.671128755
MvSl-1064-A1-R4_A1g00013	MvSl-1064-A1-R4_A1	aMAT	23065	24689	6.827871322	-0.376981648	0.376981648	0.040552614	0.321421598	6.6687879	6.584180523	7.058029732	6.947345887
MvSl-1064-A1-R4_A1g00014	MvSl-1064-A1-R4_A1	aMAT	27672	29826	3.963713647	1.650828185	1.650828185	4.91E-07	1.64E-05	4.452811805	4.672519721	2.462149723	3.279971658
MvSl-1064-A1-R4_A1g00015	MvSl-1064-A1-R4_A1	aMAT	31145	31816	4.705846282	2.424388111	2.424388111	1.77E-15	1.57E-13	5.347816627	5.566663573	2.578425369	3.405425756
MvSl-1064-A1-R4_A1g00016	MvSl-1064-A1-R4_A1	aMAT	31867	32715	1.80098301	2.675323042	2.675323042	4.01E-10	2.03E-08	2.530831104	2.662636488	-0.513856169	0.43630111
MvSl-1064-A1-R4_A1g00017	MvSl-1064-A1-R4_A1	aMAT	32832	32999	1.283639397	-0.893164297	0.893164297	0.038226494	0.309293809	0.366453422	1.098807684	1.890101497	1.330142301
MvSl-1064-A1-R4_A1g00018	MvSl-1064-A1-R4_A1	aMAT	34162	36492	-3.335044318	0	0	1	1	-3.335044318	-3.335044318	-3.335044318	-3.335044318
MvSl-1064-A1-R4_A1g00019	MvSl-1064-A1-R4_A1	aMAT	37426	37720	3.969253467	-0.291846198	0.291846198	0.305130056	0.870919748	3.909701047	3.715984328	4.276901679	3.912135459
MvSl-1064-A1-R4_A1g00021	MvSl-1064-A1-R4_A1	aMAT	37961	39396	5.948233709	-0.270557325	0.270557325	0.19650675	0.744999216	5.95632835	5.639715857	6.002464338	6.147356367
MvSl-1064-A1-R4_A1g00022	MvSl-1064-A1-R4_A1	aMAT	40219	40570	-1.419368766	1.913300186	1.913300186	0.024889329	0.226584543	-0.526706922	-1.274551604	-2.383864905	-2.068348607
MvSl-1064-A1-R4_A1g00023	MvSl-1064-A1-R4_A1	aMAT	41703	42358	0.447436344	0.927499539	0.927499539	0.050941685	0.364242598	1.107484295	0.494165674	-0.102218795	0.039854671
MvSl-1064-A1-R4_A1g00024	MvSl-1064-A1-R4_A1	aMAT	42439	44564	4.365079205	-0.634015238	0.634015238	0.018373081	0.181700101	4.204549184	3.794322139	4.526019322	4.754416823
MvSl-1064-A1-R4_A1g00025	MvSl-1064-A1-R4_A1	aMAT	44670	45575	0.988917099	0.016289965	0.016289965	0.97260013	1	1.430629743	0.382670668	1.269994543	0.621912308
MvSl-1064-A1-R4_A1g00026	MvSl-1064-A1-R4_A1	aMAT	46588	48824	5.02522351	-0.481093033	0.481093033	0.060245947	0.405953038	4.925627392	4.58392528	5.451518191	5.002422641
MvSl-1064-A1-R4_A1g00028	MvSl-1064-A1-R4_A1	aMAT	50171	55586	4.85036561	-0.510654561	0.510654561	0.029419112	0.258552443	4.512157031	4.630428659	5.130025588	5.031396155
MvSl-1064-A1-R4_A1g00029	MvSl-1064-A1-R4_A1	aMAT	59218	59891	7.244464609	-4.464407702	4.464407702	6.55E-76	6.84E-73	3.721375658	3.727439259	8.3404208	7.9974663
MvSl-1064-A1-R4_A1g00030	MvSl-1064-A1-R4_A1	aMAT	60303	60627	8.448756337	-2.459126286	2.459126286	1.27E-22	1.64E-20	6.644811161	6.846310023	9.284687543	9.125336173
MvSl-1064-A1-R4_A1g00031	MvSl-1064-A1-R4_A1	aMAT	60777	61230	4.605816669	-0.13902575	0.13902575	0.599955687	0.99165793	4.445666762	4.618173587	4.912434068	4.385900184
MvSl-1064-A1-R4_A1g00032	MvSl-1064-A1-R4_A1	aMAT	61566	63177	9.366340149	0.06240002	0.06240002	0.819238128	1	9.378687286	9.415484813	9.290879312	9.377448182
MvSl-1064-A1-R4_A1g00033	MvSl-1064-A1-R4_A1	aMAT	63513	66190	4.612797816	-0.286047554	0.286047554	0.233246127	0.792244165	4.445666762	4.479405545	4.768077413	4.726846978
MvSl-1064-A1-R4_A1g00034	MvSl-1064-A1-R4_A1	aMAT	66550	67505	-3.164239922	2.407913679	2.407913679	0.227543641	0.78229106	-2.706608466	-3.335044318	-3.335044318	-3.335044318
MvSl-1064-A1-R4_A1g00035	MvSl-1064-A1-R4_A1	aMAT	68178	68401	5.147600506	0.428218844	0.428218844	0.061134231	0.409080745	5.269050764	5.419063308	4.811495941	5.019050115
