haploid	location	geneswith_TE	TE_total	TE_interval	totalte	totalgene	haploid	prop_withte	haploid	Te_prop
A1	ecenterplus0k	1346	30646	3142	3142	10451	A1	0.128791503	A1	0.102525615
A1	dupstream5k	1004	30646	3664	6806	10451	A1	0.096067362	A1	0.119558833
A1	cupstream10k	719	30646	3332	10138	10451	A1	0.068797244	A1	0.108725445
A1	bupstream15k	600	30646	3269	13407	10451	A1	0.057410774	A1	0.106669712
A1	aupstream20k	552	30646	3205	16612	10451	A1	0.052817912	A1	0.104581348
A1	fdownstream5k	1025	30646	3709	6851	10451	A1	0.098076739	A1	0.121027214
A1	gdownstream10k	708	30646	3433	10284	10451	A1	0.067744713	A1	0.112021145
A1	hdownstream15k	616	30646	3357	13641	10451	A1	0.058941728	A1	0.109541213
A1	idownstream20k	554	30646	3535	17176	10451	A1	0.053009281	A1	0.115349475
A2	ecenterplus0k	1331	30460	3116	3116	10451	A2	0.127356234	A2	0.102298096
A2	dupstream5k	1033	30460	3665	6781	10451	A2	0.098842216	A2	0.120321733
A2	cupstream10k	721	30460	3272	10053	10451	A2	0.068988614	A2	0.107419567
A2	bupstream15k	609	30460	3326	13379	10451	A2	0.058271936	A2	0.109192383
A2	aupstream20k	560	30460	3131	16510	10451	A2	0.053583389	A2	0.102790545
A2	fdownstream5k	1059	30460	3768	6884	10451	A2	0.101330016	A2	0.123703217
A2	gdownstream10k	714	30460	3371	10255	10451	A2	0.068318821	A2	0.110669731
A2	hdownstream15k	617	30460	3410	13665	10451	A2	0.059037413	A2	0.111950098
A2	idownstream20k	562	30460	3401	17066	10451	A2	0.053774758	A2	0.111654629
