gene	location	chr	start	end	log2FC
MvSl-1064-A1-R4_A1g00003	MvSl-1064-A1-R4_A1	aMAT	3408016	3408225	0.871198494303402
MvSl-1064-A1-R4_A1g00004	MvSl-1064-A1-R4_A1	aMAT	2563	6967	-0.092774478414517
MvSl-1064-A1-R4_A1g00006	MvSl-1064-A1-R4_A1	aMAT	10297	11118	0.00868639912546976
MvSl-1064-A1-R4_A1g00007	MvSl-1064-A1-R4_A1	aMAT	11416	12757	0.210262502434326
MvSl-1064-A1-R4_A1g00008	MvSl-1064-A1-R4_A1	aMAT	13778	17299	0.432991251916051
MvSl-1064-A1-R4_A1g00009	MvSl-1064-A1-R4_A1	aMAT	17742	19664	0.706101623770608
MvSl-1064-A1-R4_A1g00010	MvSl-1064-A1-R4_A1	aMAT	21256	22638	0.529466873804616
MvSl-1064-A1-R4_A1g00011	MvSl-1064-A1-R4_A1	aMAT	23065	24689	0.617651920880462
MvSl-1064-A1-R4_A1g00013	MvSl-1064-A1-R4_A1	aMAT	25010	25687	0.0516768768708922
MvSl-1064-A1-R4_A1g00014	MvSl-1064-A1-R4_A1	aMAT	27672	29826	-0.536342382964726
MvSl-1064-A1-R4_A1g00015	MvSl-1064-A1-R4_A1	aMAT	31145	31816	-0.530987916459304
MvSl-1064-A1-R4_A1g00017	MvSl-1064-A1-R4_A1	aMAT	32832	32999	-0.889547079313115
MvSl-1064-A1-R4_A1g00019	MvSl-1064-A1-R4_A1	aMAT	37426	37720	0.0400837588407447
MvSl-1064-A1-R4_A1g00023	MvSl-1064-A1-R4_A1	aMAT	41703	42358	0.460352737866826
MvSl-1064-A1-R4_A1g00025	MvSl-1064-A1-R4_A1	aMAT	44670	45575	-0.216576115201585
MvSl-1064-A1-R4_A1g00026	MvSl-1064-A1-R4_A1	aMAT	46588	48824	-0.188268233740296
MvSl-1064-A1-R4_A1g00028	MvSl-1064-A1-R4_A1	aMAT	56765	57706	-0.694990529739373
MvSl-1064-A1-R4_A1g00029	MvSl-1064-A1-R4_A1	aMAT	59218	59891	1.0675820761227
MvSl-1064-A1-R4_A1g00030	MvSl-1064-A1-R4_A1	aMAT	60303	60627	0.185886543530826
MvSl-1064-A1-R4_A1g00031	MvSl-1064-A1-R4_A1	aMAT	60777	61230	-0.118574157069426
MvSl-1064-A1-R4_A1g00032	MvSl-1064-A1-R4_A1	aMAT	61566	63177	0.0612407543504193
MvSl-1064-A1-R4_A1g00033	MvSl-1064-A1-R4_A1	aMAT	63513	66190	-0.284616012954925
MvSl-1064-A1-R4_A1g00036	MvSl-1064-A1-R4_A1	aMAT	68795	70180	0.00355139788152048
MvSl-1064-A1-R4_A1g00037	MvSl-1064-A1-R4_A1	aMAT	71408	72880	0.137660031865189
MvSl-1064-A1-R4_A1g00039	MvSl-1064-A1-R4_A1	aMAT	77299	78423	0.295471115866702
MvSl-1064-A1-R4_A1g00040	MvSl-1064-A1-R4_A1	aMAT	79342	82258	-0.153782550552387
MvSl-1064-A1-R4_A1g00046	MvSl-1064-A1-R4_A1	aMAT	89113	90244	0.172808323749179
MvSl-1064-A1-R4_A1g00047	MvSl-1064-A1-R4_A1	aMAT	90443	91903	0.101448808656902
MvSl-1064-A1-R4_A1g00049	MvSl-1064-A1-R4_A1	aMAT	94248	95819	0.0165017889379636
MvSl-1064-A1-R4_A1g00050	MvSl-1064-A1-R4_A1	aMAT	96486	99661	-0.3055659034626
MvSl-1064-A1-R4_A1g00051	MvSl-1064-A1-R4_A1	aMAT	101324	106023	0.525224842731537
MvSl-1064-A1-R4_A1g00052	MvSl-1064-A1-R4_A1	aMAT	106474	107890	-0.246962770077076
MvSl-1064-A1-R4_A1g00053	MvSl-1064-A1-R4_A1	aMAT	108409	108819	0.0927223712898448
MvSl-1064-A1-R4_A1g00054	MvSl-1064-A1-R4_A1	aMAT	111120	112733	-0.264670367562133
MvSl-1064-A1-R4_A1g00055	MvSl-1064-A1-R4_A1	aMAT	113646	115349	-0.468008417939855
MvSl-1064-A1-R4_A1g00056	MvSl-1064-A1-R4_A1	aMAT	115614	117044	0.138986425015022
MvSl-1064-A1-R4_A1g00058	MvSl-1064-A1-R4_A1	aMAT	121712	122035	0.34834027490337
MvSl-1064-A1-R4_A1g00060	MvSl-1064-A1-R4_A1	aMAT	124165	124371	0.159124155901782
MvSl-1064-A1-R4_A1g00061	MvSl-1064-A1-R4_A1	aMAT	125081	126633	0.162009487585316
MvSl-1064-A1-R4_A1g00062	MvSl-1064-A1-R4_A1	aMAT	128311	129271	-0.149956868748848
MvSl-1064-A1-R4_A1g00063	MvSl-1064-A1-R4_A1	aMAT	130054	132843	0.0619045482440714
MvSl-1064-A1-R4_A1g00064	MvSl-1064-A1-R4_A1	aMAT	133237	134512	-0.174246288694909
MvSl-1064-A1-R4_A1g00065	MvSl-1064-A1-R4_A1	aMAT	135668	136821	0.256054292225132
MvSl-1064-A1-R4_A1g00066	MvSl-1064-A1-R4_A1	aMAT	137505	140273	0.0315934112653318
MvSl-1064-A1-R4_A1g00067	MvSl-1064-A1-R4_A1	aMAT	141157	141857	-0.223086763307051
MvSl-1064-A1-R4_A1g00068	MvSl-1064-A1-R4_A1	aMAT	142411	144606	-0.392762524974695
MvSl-1064-A1-R4_A1g00069	MvSl-1064-A1-R4_A1	aMAT	145335	146902	-0.260923672475478
MvSl-1064-A1-R4_A1g00070	MvSl-1064-A1-R4_A1	aMAT	149220	153705	0.338336875142065
MvSl-1064-A1-R4_A1g00071	MvSl-1064-A1-R4_A1	aMAT	154349	157189	0.520825110580756
MvSl-1064-A1-R4_A1g00072	MvSl-1064-A1-R4_A1	aMAT	158422	160299	0.103669735356542
MvSl-1064-A1-R4_A1g00074	MvSl-1064-A1-R4_A1	aMAT	165329	166779	0.569611228968345
MvSl-1064-A1-R4_A1g00076	MvSl-1064-A1-R4_A1	aMAT	171697	173594	-0.0429677151778728
MvSl-1064-A1-R4_A1g00077	MvSl-1064-A1-R4_A1	aMAT	173863	176567	0.0499289039924081
MvSl-1064-A1-R4_A1g00106	MvSl-1064-A1-R4_A1	aMAT	192447	192848	-0.635472111346173
MvSl-1064-A1-R4_A1g00109	MvSl-1064-A1-R4_A1	aMAT	234418	236731	0.203157286403178
MvSl-1064-A1-R4_A1g00110	MvSl-1064-A1-R4_A1	aMAT	238849	239016	-0.239746971263684
MvSl-1064-A1-R4_A1g00113	MvSl-1064-A1-R4_A1	aMAT	244443	244638	0.0782260363949858
MvSl-1064-A1-R4_A1g00118	MvSl-1064-A1-R4_A1	aMAT	3110528	3114459	-0.64084164827163
MvSl-1064-A1-R4_A1g00144	MvSl-1064-A1-R4_A1	aMAT	1139524	1144406	0.362255569297193
MvSl-1064-A1-R4_A1g00153	MvSl-1064-A1-R4_A1	aMAT	2573298	2575010	0.23245883500989
MvSl-1064-A1-R4_A1g00175	MvSl-1064-A1-R4_A1	aMAT	2578833	2582754	0.179277962694838
MvSl-1064-A1-R4_A1g00184	MvSl-1064-A1-R4_A1	aMAT	1966448	1967834	-0.151634744551154
MvSl-1064-A1-R4_A1g00185	MvSl-1064-A1-R4_A1	aMAT	912091	913460	-0.391179053007992
MvSl-1064-A1-R4_A1g00186	MvSl-1064-A1-R4_A1	aMAT	914330	919259	-0.0526255620726509
MvSl-1064-A1-R4_A1g00193	MvSl-1064-A1-R4_A1	aMAT	1550514	1551842	0.702608646516834
MvSl-1064-A1-R4_A1g00210	MvSl-1064-A1-R4_A1	aMAT	1119790	1125248	0.0943747426712621
MvSl-1064-A1-R4_A1g00211	MvSl-1064-A1-R4_A1	aMAT	1116801	1118832	-0.182895244327894
MvSl-1064-A1-R4_A1g00240	MvSl-1064-A1-R4_A1	aMAT	718774	719371	0.497981280881755
MvSl-1064-A1-R4_A1g00245	MvSl-1064-A1-R4_A1	aMAT	1060653	1061300	0.822763866243135
MvSl-1064-A1-R4_A1g00280	MvSl-1064-A1-R4_A1	aMAT	713060	718328	-0.22568415278769
MvSl-1064-A1-R4_A1g00281	MvSl-1064-A1-R4_A1	aMAT	704230	705173	-0.0660727455606182
MvSl-1064-A1-R4_A1g00290	MvSl-1064-A1-R4_A1	aMAT	407531	411380	-0.171909394471142
MvSl-1064-A1-R4_A1g00307	MvSl-1064-A1-R4_A1	aMAT	1993924	1995401	0.482989826472117
MvSl-1064-A1-R4_A1g00311	MvSl-1064-A1-R4_A1	aMAT	1396587	1398849	-0.0242417878231174
MvSl-1064-A1-R4_A1g00327	MvSl-1064-A1-R4_A1	aMAT	1158935	1161921	0.0928509867297093
MvSl-1064-A1-R4_A1g00351	MvSl-1064-A1-R4_A1	aMAT	1488010	1490661	-0.242191733239139
MvSl-1064-A1-R4_A1g00352	MvSl-1064-A1-R4_A1	aMAT	1486271	1487768	-0.189240510620396
MvSl-1064-A1-R4_A1g00359	MvSl-1064-A1-R4_A1	aMAT	679143	681507	0.268073831225764
MvSl-1064-A1-R4_A1g00367	MvSl-1064-A1-R4_A1	aMAT	245502	246121	0.553171469978447
MvSl-1064-A1-R4_A1g00368	MvSl-1064-A1-R4_A1	aMAT	248916	251783	0.0476311594610428
MvSl-1064-A1-R4_A1g00369	MvSl-1064-A1-R4_A1	aMAT	270179	271004	0.0880198089677822
MvSl-1064-A1-R4_A1g00370	MvSl-1064-A1-R4_A1	aMAT	319920	320757	0.0718344348791779
MvSl-1064-A1-R4_A1g00371	MvSl-1064-A1-R4_A1	aMAT	330602	330868	0.323685137589474
MvSl-1064-A1-R4_A1g00372	MvSl-1064-A1-R4_A1	aMAT	337815	342587	-0.153090469035268
MvSl-1064-A1-R4_A1g00373	MvSl-1064-A1-R4_A1	aMAT	342659	343448	-0.309993049458856
MvSl-1064-A1-R4_A1g00374	MvSl-1064-A1-R4_A1	aMAT	343906	345432	-0.126027095083333
MvSl-1064-A1-R4_A1g00375	MvSl-1064-A1-R4_A1	aMAT	355987	356282	0.630356769221683
MvSl-1064-A1-R4_A1g00380	MvSl-1064-A1-R4_A1	aMAT	901642	902941	0.520490675962271
MvSl-1064-A1-R4_A1g00390	MvSl-1064-A1-R4_A1	aMAT	896092	900842	0.0255755695044711
MvSl-1064-A1-R4_A1g00391	MvSl-1064-A1-R4_A1	aMAT	895253	895922	-0.0258177440917268
MvSl-1064-A1-R4_A1g00394	MvSl-1064-A1-R4_A1	aMAT	889992	892373	0.0266952483055408
MvSl-1064-A1-R4_A1g00395	MvSl-1064-A1-R4_A1	aMAT	885400	886813	0.272243152660931
MvSl-1064-A1-R4_A1g00396	MvSl-1064-A1-R4_A1	aMAT	863010	863649	0.170097066946694
MvSl-1064-A1-R4_A1g00397	MvSl-1064-A1-R4_A1	aMAT	861883	862053	0.122156205055286
MvSl-1064-A1-R4_A1g00398	MvSl-1064-A1-R4_A1	aMAT	856916	857392	0.150737592720888
MvSl-1064-A1-R4_A1g00399	MvSl-1064-A1-R4_A1	aMAT	854394	856791	-0.0359081256831122
MvSl-1064-A1-R4_A1g00401	MvSl-1064-A1-R4_A1	aMAT	849156	852184	0.358466712204069
MvSl-1064-A1-R4_A1g00402	MvSl-1064-A1-R4_A1	aMAT	844814	848787	0.0290521159113027
MvSl-1064-A1-R4_A1g00403	MvSl-1064-A1-R4_A1	aMAT	841678	844038	0.477123410893618
MvSl-1064-A1-R4_A1g00404	MvSl-1064-A1-R4_A1	aMAT	838903	841231	-0.312501154343947
MvSl-1064-A1-R4_A1g00405	MvSl-1064-A1-R4_A1	aMAT	837338	838797	0.555792080843086
MvSl-1064-A1-R4_A1g00406	MvSl-1064-A1-R4_A1	aMAT	1134595	1135956	-0.245088081471816
MvSl-1064-A1-R4_A1g00432	MvSl-1064-A1-R4_A1	aMAT	1584006	1586510	0.147701251415034
MvSl-1064-A1-R4_A1g00433	MvSl-1064-A1-R4_A1	aMAT	1578575	1582088	0.348274381394333
MvSl-1064-A1-R4_A1g00441	MvSl-1064-A1-R4_A1	aMAT	1136196	1138565	0.104254766888705
MvSl-1064-A1-R4_A1g00478	MvSl-1064-A1-R4_A1	aMAT	3092860	3095963	0.123482527438169
MvSl-1064-A1-R4_A1g00481	MvSl-1064-A1-R4_A1	aMAT	641110	646152	-0.00184655365558315
MvSl-1064-A1-R4_A1g00492	MvSl-1064-A1-R4_A1	aMAT	741065	742055	0.443340488292083
MvSl-1064-A1-R4_A1g00503	MvSl-1064-A1-R4_A1	aMAT	1995562	1995873	-0.310626789594861
MvSl-1064-A1-R4_A1g00504	MvSl-1064-A1-R4_A1	aMAT	2004135	2004905	0.0458097577168874
MvSl-1064-A1-R4_A1g00505	MvSl-1064-A1-R4_A1	aMAT	2051926	2054309	0.172207716436543
MvSl-1064-A1-R4_A1g00506	MvSl-1064-A1-R4_A1	aMAT	2054540	2055464	0.018095169191777
MvSl-1064-A1-R4_A1g00507	MvSl-1064-A1-R4_A1	aMAT	2055616	2057858	0.00574296025547087
MvSl-1064-A1-R4_A1g00511	MvSl-1064-A1-R4_A1	aMAT	2058571	2059524	0.101736763359485
MvSl-1064-A1-R4_A1g00512	MvSl-1064-A1-R4_A1	aMAT	2080392	2081481	-0.0352704846695949
MvSl-1064-A1-R4_A1g00513	MvSl-1064-A1-R4_A1	aMAT	2082268	2082504	0.0522498872199359
MvSl-1064-A1-R4_A1g00514	MvSl-1064-A1-R4_A1	aMAT	1991175	1993509	0.109706750873437
