gene	perc	gid	chr	lqqogCPM	logFC.A1.A2	FDR.A1.A2
MvSl-1064-A1-R4_A1g00002	100.000	MvSl-1064-A1-R4_A1g00002	aMAT	4.59484884926479	-0.102083278241776	0.999958419202852
MvSl-1064-A1-R4_A1g00003	98.991	MvSl-1064-A1-R4_A1g00003	aMAT	5.1235771139017	0.871198494303402	0.12378634105985
MvSl-1064-A1-R4_A1g00004	100.000	MvSl-1064-A1-R4_A1g00004	aMAT	6.33103723816921	-0.092774478414517	0.999958419202852
MvSl-1064-A1-R4_A1g00005	100.000	MvSl-1064-A1-R4_A1g00005	aMAT	5.91619304464634	-0.059029749066909	0.999958419202852
MvSl-1064-A1-R4_A1g00006	100.000	MvSl-1064-A1-R4_A1g00006	aMAT	7.43243550279985	0.00868639912546976	0.999958419202852
MvSl-1064-A1-R4_A1g00007	100.000	MvSl-1064-A1-R4_A1g00007	aMAT	7.70778701643715	0.210262502434326	0.945084765505755
MvSl-1064-A1-R4_A1g00008	100.000	MvSl-1064-A1-R4_A1g00008	aMAT	7.66870028199072	0.432991251916051	0.659023585911921
MvSl-1064-A1-R4_A1g00009	100.000	MvSl-1064-A1-R4_A1g00009	aMAT	7.48257018986221	0.706101623770608	0.186231830233831
MvSl-1064-A1-R4_A1g00010	100.000	MvSl-1064-A1-R4_A1g00010	aMAT	1.92477166169015	0.529466873804616	0.797923637001234
MvSl-1064-A1-R4_A1g00011	100.000	MvSl-1064-A1-R4_A1g00011	aMAT	1.33217942910604	0.617651920880462	0.779702415685909
MvSl-1064-A1-R4_A1g00013	100.000	MvSl-1064-A1-R4_A1g00013	aMAT	6.10161148449679	0.0516768768708922	0.999958419202852
MvSl-1064-A1-R4_A1g00014	100.000	MvSl-1064-A1-R4_A1g00014	aMAT	2.37502426214893	-0.536342382964726	0.887058953770969
MvSl-1064-A1-R4_A1g00015	100.000	MvSl-1064-A1-R4_A1g00015	aMAT	2.74919623884621	-0.530987916459304	0.929495058525326
MvSl-1064-A1-R4_A1g00016	100.000	MvSl-1064-A1-R4_A1g00016	aMAT	0.278578903250833	0.541950925430417	0.943680004380573
MvSl-1064-A1-R4_A1g00017	100.000	MvSl-1064-A1-R4_A1g00017	aMAT	1.16511826347503	-0.889547079313115	0.4487787820362
MvSl-1064-A1-R4_A1g00019	100.000	MvSl-1064-A1-R4_A1g00019	aMAT	1.688446104125	0.0400837588407447	0.999958419202852
MvSl-1064-A1-R4_A1g00020	100.000	MvSl-1064-A1-R4_A1g00020	aMAT	1.96812234169972	0.211570810839829	0.999958419202852
MvSl-1064-A1-R4_A1g00021	100.000	MvSl-1064-A1-R4_A1g00021	aMAT	5.09301940961056	1.51409448514308	7.50723361659063e-08
MvSl-1064-A1-R4_A1g00023	100.000	MvSl-1064-A1-R4_A1g00023	aMAT	0.991427456995299	0.460352737866826	0.931558813601799
MvSl-1064-A1-R4_A1g00025	100.000	MvSl-1064-A1-R4_A1g00025	aMAT	0.89832153537892	-0.216576115201585	0.999958419202852
MvSl-1064-A1-R4_A1g00026	100.000	MvSl-1064-A1-R4_A1g00026	aMAT	5.61691662259458	-0.188268233740296	0.999958419202852
MvSl-1064-A1-R4_A1g00027	100.000	MvSl-1064-A1-R4_A1g00027	aMAT	1.39481294248065	-0.137248026392745	0.999958419202852
MvSl-1064-A1-R4_A1g00028	100.000	MvSl-1064-A1-R4_A1g00028	aMAT	3.32481344463283	-0.694990529739373	0.288975641194615
MvSl-1064-A1-R4_A1g00029	100.000	MvSl-1064-A1-R4_A1g00029	aMAT	1.6716276161087	1.0675820761227	0.10964502970278
MvSl-1064-A1-R4_A1g00030	100.000	MvSl-1064-A1-R4_A1g00030	aMAT	5.58355038461842	0.185886543530826	0.976804263822725
MvSl-1064-A1-R4_A1g00031	100.000	MvSl-1064-A1-R4_A1g00031	aMAT	4.63368752843566	-0.118574157069426	0.999958419202852
MvSl-1064-A1-R4_A1g00032	100.000	MvSl-1064-A1-R4_A1g00032	aMAT	9.33839601589185	0.0612407543504193	0.999958419202852
MvSl-1064-A1-R4_A1g00033	100.000	MvSl-1064-A1-R4_A1g00033	aMAT	4.59605801755781	-0.284616012954925	0.882867968757444
MvSl-1064-A1-R4_A1g00035	100.000	MvSl-1064-A1-R4_A1g00035	aMAT	5.12479416440487	0.425650311099996	0.529848335276237
MvSl-1064-A1-R4_A1g00036	100.000	MvSl-1064-A1-R4_A1g00036	aMAT	5.33168087366124	0.00355139788152048	0.999958419202852
MvSl-1064-A1-R4_A1g00037	100.000	MvSl-1064-A1-R4_A1g00037	aMAT	4.73158268429785	0.137660031865189	0.999958419202852
MvSl-1064-A1-R4_A1g00039	100.000	MvSl-1064-A1-R4_A1g00039	aMAT	8.11314648535357	0.295471115866702	0.830462168847266
MvSl-1064-A1-R4_A1g00040	100.000	MvSl-1064-A1-R4_A1g00040	aMAT	1.20943855545572	-0.153782550552387	0.999958419202852
MvSl-1064-A1-R4_A1g00046	100.000	MvSl-1064-A1-R4_A1g00046	aMAT	3.90510140170451	0.172808323749179	0.999958419202852
MvSl-1064-A1-R4_A1g00047	100.000	MvSl-1064-A1-R4_A1g00047	aMAT	4.99247653833059	0.101448808656902	0.999958419202852
MvSl-1064-A1-R4_A1g00048	100.000	MvSl-1064-A1-R4_A1g00048	aMAT	4.81012468792304	0.0074852677672013	0.999958419202852
MvSl-1064-A1-R4_A1g00049	100.000	MvSl-1064-A1-R4_A1g00049	aMAT	5.33571804386245	0.0165017889379636	0.999958419202852
MvSl-1064-A1-R4_A1g00050	100.000	MvSl-1064-A1-R4_A1g00050	aMAT	5.50888333328656	-0.3055659034626	0.945084765505755
MvSl-1064-A1-R4_A1g00051	100.000	MvSl-1064-A1-R4_A1g00051	aMAT	6.85685665090169	0.525224842731537	0.303485108920575
MvSl-1064-A1-R4_A1g00052	100.000	MvSl-1064-A1-R4_A1g00052	aMAT	1.1691437687708	-0.246962770077076	0.999958419202852
MvSl-1064-A1-R4_A1g00053	100.000	MvSl-1064-A1-R4_A1g00053	aMAT	6.5690036883373	0.0927223712898448	0.999958419202852
MvSl-1064-A1-R4_A1g00054	100.000	MvSl-1064-A1-R4_A1g00054	aMAT	2.50882087113256	-0.264670367562133	0.999958419202852
MvSl-1064-A1-R4_A1g00055	100.000	MvSl-1064-A1-R4_A1g00055	aMAT	5.405796892829	-0.468008417939855	0.453473626012509
