target_id	length	eff_length	est_counts	tpm
MvSl-1064-A1-R4_MC14g11752	2433	2110.01	754	9.32789
MvSl-1064-A1-R4_MC14g11753	1308	985.009	592	15.6884
MvSl-1064-A1-R4_MC14g11754	1299	976.009	1141	30.516
MvSl-1064-A1-R4_MC14g11755	591	285.026	1511	138.381
MvSl-1064-A1-R4_MC14g11756	4515	4192.01	5143	32.0251
MvSl-1064-A1-R4_MC14g11757	1491	1168.01	279	6.23526
MvSl-1064-A1-R4_MC14g11758	624	314.649	2974	246.724
MvSl-1064-A1-R4_MC14g11759	1842	1519.01	4703	80.8185
MvSl-1064-A1-R4_MC14g11760	1971	1648.01	1305	20.6703
MvSl-1064-A1-R4_MC14g11761	1245	922.009	5485	155.288
MvSl-1064-A1-R4_MC01-1g02262	1131	808.009	98.0665	3.16811
MvSl-1064-A1-R4_MC14g11764	138	15.3333	21	35.7503
MvSl-1064-A1-R4_MC14g11765	1548	1225.01	557	11.8689
MvSl-1064-A1-R4_MC14g11766	282	62.8	216	89.7823
MvSl-1064-A1-R4_MC14g11767	2052	1729.01	8142	122.922
MvSl-1064-A1-R4_MC14g11768	2607	2284.01	1191	13.6116
MvSl-1064-A1-R4_MC14g11769	5076	4753.01	3223	17.7006
MvSl-1064-A1-R4_MC14g11770	1071	748.009	354	12.3536
MvSl-1064-A1-R4_MC14g11771	1743	1420.01	555	10.2023
MvSl-1064-A1-R4_MC01-1g02263	4005	3682.01	2580	18.2907
MvSl-1064-A1-R4_MC14g11772	237	44.9197	143	83.0989
MvSl-1064-A1-R4_MC14g11773	1725	1402.01	1612	30.0131
MvSl-1064-A1-R4_MC14g11774	195	32.7618	8	6.3741
MvSl-1064-A1-R4_MC14g11775	1878	1555.01	374	6.2782
MvSl-1064-A1-R4_MC14g11776	834	513.321	2103	106.942
MvSl-1064-A1-R4_MC14g11777	1320	997.009	2947	77.1574
MvSl-1064-A1-R4_MC14g11778	945	622.653	583	24.441
MvSl-1064-A1-R4_MC14g11779	1683	1360.01	4492	86.2173
MvSl-1064-A1-R4_MC14g11780	165	23.4176	1	1.11469
MvSl-1064-A1-R4_MC14g11781	156	20.8623	16.5778	20.7425
MvSl-1064-A1-R4_MC01-1g02264	1818	1495.01	956	16.6921
MvSl-1064-A1-R4_MC14g11782	291	66.8364	8	3.12445
MvSl-1064-A1-R4_MC14g11783	666	353.547	930	68.6646
MvSl-1064-A1-R4_MC14g11785	480	191.078	333.821	45.6035
MvSl-1064-A1-R4_MC14g11787	198	33.431	81	63.2458
MvSl-1064-A1-R4_MC14g11788	315	78.8985	39	12.9031
MvSl-1064-A1-R4_MC14g11791	2814	2491.01	727.721	7.62581
MvSl-1064-A1-R4_MC01-1g02265	963	640.338	1221	49.7741
MvSl-1064-A1-R4_MC14g11792	576	271.978	87.8464	8.43116
MvSl-1064-A1-R4_MC14g11793	1311	988.009	1	0.0264202
MvSl-1064-A1-R4_MC14g11794	621	312.038	457	38.2301
MvSl-1064-A1-R4_MC14g11795	2499	2176.01	2130	25.5514
MvSl-1064-A1-R4_MC14g11796	1389	1066.01	1463	35.8245
MvSl-1064-A1-R4_MC14g11797	3456	3133.01	8315	69.2783
MvSl-1064-A1-R4_MC14g11798	1416	1093.01	839	20.0371
MvSl-1064-A1-R4_MC14g11799	1824	1501.01	202.559	3.52261
MvSl-1064-A1-R4_MC14g11800	1158	835.009	26.6404	0.832808
MvSl-1064-A1-R4_MC01-1g02266	417	142.172	257.843	47.3411
MvSl-1064-A1-R4_MC14g11802	513	217.61	10.9568	1.31432
MvSl-1064-A1-R4_MC14g11805	1731	1408.01	1042.89	19.3343
MvSl-1064-A1-R4_MC14g11806	357	102.539	163.019	41.4997
MvSl-1064-A1-R4_MC14g11807	909	586.89	24.6115	1.09466
MvSl-1064-A1-R4_MC14g11808	639	328.359	142.389	11.3194
MvSl-1064-A1-R4_MC14g11810	555	253.75	189.629	19.5072
MvSl-1064-A1-R4_MC14g11811	1371	1048.01	811.145	20.2036
MvSl-1064-A1-R4_MC01-1g02267	1275	952.009	283.431	7.77146
MvSl-1064-A1-R4_MC14g11813	630	320.092	394	32.1305
MvSl-1064-A1-R4_MC14g11814	858	536.848	232	11.2806
MvSl-1064-A1-R4_MC14g11815	1245	922.009	294	8.32355
MvSl-1064-A1-R4_MC14g11816	1863	1540.01	0	0
MvSl-1064-A1-R4_MC14g11817	1557	1234.01	36	0.761519
MvSl-1064-A1-R4_MC14g11820	345	95.5628	1715.52	468.602
MvSl-1064-A1-R4_MC14g11821	852	530.955	5382	264.595
MvSl-1064-A1-R4_MC14g11822	2184	1861.01	2864	40.1718
MvSl-1064-A1-R4_MC01-1g02268	3354	3031.01	3105	26.7406
MvSl-1064-A1-R4_MC14g11823	1422	1099.01	1718.81	40.8246
MvSl-1064-A1-R4_MC14g11824	213	38.048	0	0
MvSl-1064-A1-R4_MC14g11825	375	114.087	2601.36	595.195
MvSl-1064-A1-R4_MC14g11829	1461	1138.01	0	0
MvSl-1064-A1-R4_MC14g11831	258	52.2021	0	0
MvSl-1064-A1-R4_MC14g11832	474	186.184	54	7.57092
MvSl-1064-A1-R4_MC14g11833	5001	4678.01	4230	23.6035
MvSl-1064-A1-R4_MC14g11834	963	640.338	1012	41.2542
MvSl-1064-A1-R4_MC01-1g02269	648	336.711	885	68.6092
MvSl-1064-A1-R4_MC14g11835	1242	919.009	9	0.255634
MvSl-1064-A1-R4_MC14g11836	993	670.009	6868	267.575
MvSl-1064-A1-R4_MC14g11837	144	17.7403	195	286.926
MvSl-1064-A1-R4_MC14g11838	537	238.273	528	57.8437
MvSl-1064-A1-R4_MC14g11839	3258	2935.01	6576	58.4856
MvSl-1064-A1-R4_MC14g11840	1317	994.009	68.3001	1.79361
MvSl-1064-A1-R4_MC14g11841	732	415.639	2805	176.163
MvSl-1064-A1-R4_MC14g11842	1218	895.009	815	23.7699
MvSl-1064-A1-R4_MC14g11843	597	290.069	496	44.6352
MvSl-1064-A1-R4_MC14g11844	1641	1318.01	2168	42.9375
MvSl-1064-A1-R4_MC01-1g02270	1083	760.009	4406	151.329
MvSl-1064-A1-R4_MC14g11845	1374	1051.01	415	10.3071
MvSl-1064-A1-R4_MC14g11846	1680	1357.01	3418	65.7485
MvSl-1064-A1-R4_MC14g11847	1869	1546.01	3218	54.3338
MvSl-1064-A1-R4_MC14g11848	1053	730.009	710	25.3879
MvSl-1064-A1-R4_MC14g11849	4395	4072.01	2532	16.2312
MvSl-1064-A1-R4_MC14g11850	8292	7969.01	4489	14.7042
MvSl-1064-A1-R4_MC14g11851	3984	3661.01	2361	16.8342
MvSl-1064-A1-R4_MC14g11852	201	34.7821	247	185.369
MvSl-1064-A1-R4_MC14g11853	852	530.955	5760	283.179
MvSl-1064-A1-R4_MC14g11854	1119	796.009	766	25.1193
MvSl-1064-A1-R4_MC01-1g02271	2373	2050.01	2180	27.7586
MvSl-1064-A1-R4_A1g00168	883	561.463	403.777	18.7723
MvSl-1064-A1-R4_MC14g11855	630	320.092	344	28.053
MvSl-1064-A1-R4_MC14g11856	1119	796.009	955	31.3171
MvSl-1064-A1-R4_MC14g11857	1734	1411.01	710	13.1348
MvSl-1064-A1-R4_MC14g11858	222	40.4329	8.65875	5.59006
MvSl-1064-A1-R4_MC14g11859	954	631.464	547	22.6118
MvSl-1064-A1-R4_MC14g11860	1587	1264.01	1817	37.5233
MvSl-1064-A1-R4_MC14g11861	435	155.92	49	8.20332
MvSl-1064-A1-R4_MC14g11862	756	438.302	1398	83.2589
MvSl-1064-A1-R4_MC14g11863	1647	1324.01	1897	37.4001
MvSl-1064-A1-R4_MC14g11864	687	372.961	2454	171.754
MvSl-1064-A1-R4_MC01-1g02272	1083	760.009	1851	63.5746
MvSl-1064-A1-R4_MC14g11865	1455	1132.01	12784	294.79
MvSl-1064-A1-R4_MC14g11866	954	631.464	814	33.649
MvSl-1064-A1-R4_MC14g11867	783	463.888	555	31.2303
MvSl-1064-A1-R4_MC14g11868	2070	1747.01	1204	17.9899
MvSl-1064-A1-R4_MC14g11869	1908	1585.01	841	13.8503
MvSl-1064-A1-R4_MC14g11870	2139	1816.01	1991	28.6187
MvSl-1064-A1-R4_MC14g11871	192	31.8151	166	136.198
MvSl-1064-A1-R4_MC14g11872	2172	1849.01	2900	40.9407
MvSl-1064-A1-R4_MC14g11873	1476	1153.01	1017	23.0242
MvSl-1064-A1-R4_MC14g11874	1023	700.009	1753	65.3694
MvSl-1064-A1-R4_MC01-1g02273	2340	2017.01	576	7.45437
MvSl-1064-A1-R4_MC14g11875	3318	2995.01	1728	15.0606
MvSl-1064-A1-R4_MC14g11876	3018	2695.01	1674	16.2141
