gene	water1	water2	rich1	rich2	di1	di2
MvSl-1064-A1-R4_A1g00001	37.0852	23.9241	37.0962	8.98545	82.2611	40.4695
MvSl-1064-A1-R4_A1g00002	476.728	408.22	566.238	600.169	587.026	466.36
MvSl-1064-A1-R4_A1g00003	968.523	745.11	485.58	300.531	987.626	1080.59
MvSl-1064-A1-R4_A1g00004	1501	1469	2907	4687	2074	1808
MvSl-1064-A1-R4_A1g00005	1040	1217	1406	2312	1802	1670
MvSl-1064-A1-R4_A1g00006	3022	3597	9491	17170	3827	4169
MvSl-1064-A1-R4_A1g00007	3944	4624	3904	4934	6444	6670
MvSl-1064-A1-R4_A1g00008	3559	5391	2501	3163	3818	4390
MvSl-1064-A1-R4_A1g00009	2947	5557	2809	5712	1822	3695
MvSl-1064-A1-R4_A1g00010	63.5081	104.201	222.668	517.423	51.8121	77.4679
MvSl-1064-A1-R4_A1g00011	36.6436	76.2124	90	151	30.2029	56.94
MvSl-1064-A1-R4_A1g00012	3.35636	0.78761	0	0	1.7971	3.05999
MvSl-1064-A1-R4_A1g00013	1346.38	1318	2609	1813	3414.55	2937.46
MvSl-1064-A1-R4_A1g00014	44.5106	114.274	582.547	167.37	115.861	35
MvSl-1064-A1-R4_A1g00015	46	162	572	141	111	19
MvSl-1064-A1-R4_A1g00016	20	31	94	34	23	5
MvSl-1064-A1-R4_A1g00017	21	36	68	65	47	33
MvSl-1064-A1-R4_A1g00018	0	0	1.00683	1.0153	0	1
MvSl-1064-A1-R4_A1g00019	61.3034	60.1219	19.0299	25.1158	124.046	134.302
MvSl-1064-A1-R4_A1g00020	59.7929	96.9562	31.4358	14.3975	119.976	136.274
MvSl-1064-A1-R4_A1g00021	1073.1	850.515	330.831	256.348	1113.45	1358.66
MvSl-1064-A1-R4_A1g00022	9.95741	3.77018	1.42216	5.26208	3.33866	9.34283
MvSl-1064-A1-R4_A1g00023	43.8465	39.8289	48.1693	26.1435	141.793	128.588
MvSl-1064-A1-R4_A1g00024	0	1	0	0	125.879	97.6506
MvSl-1064-A1-R4_A1g00025	41	21	12	12	33	26
MvSl-1064-A1-R4_A1g00026	980.825	763.423	604.774	818.342	1097.45	1246.9
MvSl-1064-A1-R4_A1g00027	43	49	140	153	72	67
MvSl-1064-A1-R4_A1g00028	128	161	117	76	508.485	418
MvSl-1064-A1-R4_A1g00029	81.8175	79.4565	343.03	639.358	1088.01	1151.34
MvSl-1064-A1-R4_A1g00030	925.707	1019.74	3168.37	6783.33	4974.33	5439.12
MvSl-1064-A1-R4_A1g00031	418	488	14	12	411	487
MvSl-1064-A1-R4_A1g00032	12238	13005	8251	11485	15385	14996
MvSl-1064-A1-R4_A1g00033	404	425	237	222	829	814
MvSl-1064-A1-R4_A1g00034	1	0	0	0	0	0
MvSl-1064-A1-R4_A1g00035	710	815	181	149	750	976
MvSl-1064-A1-R4_A1g00036	748	788	677	932	995	1016
MvSl-1064-A1-R4_A1g00037	554	504	1243	1702	955	707
MvSl-1064-A1-R4_A1g00038	1	3	0	2	0	0
MvSl-1064-A1-R4_A1g00039	5457	6199	2994	4242	4752	5783
MvSl-1064-A1-R4_A1g00040	36	44	18	19	18	16
MvSl-1064-A1-R4_A1g00041	0	2	4	1	0	0
MvSl-1064-A1-R4_A1g00042	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00043	9	21	23.0857	6.00222	5	5.01898
MvSl-1064-A1-R4_A1g00044	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00045	1	0	2	0	0	2
MvSl-1064-A1-R4_A1g00046	314	288	142	123	336	289
MvSl-1064-A1-R4_A1g00047	568	688	958	1649	691	723
MvSl-1064-A1-R4_A1g00048	532	538	570	560	639	623
MvSl-1064-A1-R4_A1g00049	761	786	735	925	981	896
MvSl-1064-A1-R4_A1g00050	496	1064	2064	3097	904	549
MvSl-1064-A1-R4_A1g00051	2078	3157	3151	5424	1969	2334
MvSl-1064-A1-R4_A1g00052	33	42	459	224	2847	2255
MvSl-1064-A1-R4_A1g00053	1710	2032	1889	2769	3505	2939
MvSl-1064-A1-R4_A1g00054	86	108	170	288	200	158
MvSl-1064-A1-R4_A1g00055	750	602	499	888	890	1244
MvSl-1064-A1-R4_A1g00056	5526	8632	3978	8505	2622	10651
MvSl-1064-A1-R4_A1g00057	384	529	816	1259	555	777
MvSl-1064-A1-R4_A1g00058	29	40	38	43	30	31
MvSl-1064-A1-R4_A1g00059	131.957	234	425	651.959	215	200
MvSl-1064-A1-R4_A1g00060	183	102	95	103	115	220
MvSl-1064-A1-R4_A1g00061	2639	2793	2973	4420	3166	3468
MvSl-1064-A1-R4_A1g00062	1195.34	1245.68	1617.12	1971.19	1588.25	1601.51
MvSl-1064-A1-R4_A1g00063	604	646	630	789	1210	1128
MvSl-1064-A1-R4_A1g00064	5029	5707	3498	7917	6553	8756
MvSl-1064-A1-R4_A1g00065	3216	3082	1356	1542	3458	3840
MvSl-1064-A1-R4_A1g00066	4558.52	5330.63	11103.9	16218.3	7587.89	6198.95
MvSl-1064-A1-R4_A1g00067	49	42	5	8	1501	1487
MvSl-1064-A1-R4_A1g00068	34	33	22	27	645	747
MvSl-1064-A1-R4_A1g00069	1221	944	1725	2006	2719	1688
MvSl-1064-A1-R4_A1g00070	3237	3201	2146	2702	2548	3381
MvSl-1064-A1-R4_A1g00071	342	374	339	243	679	616
MvSl-1064-A1-R4_A1g00072	5191	3539	3918	2592	4135	3056
MvSl-1064-A1-R4_A1g00073	533	385	3982	766	1492	488
MvSl-1064-A1-R4_A1g00074	7463	12021	11448	16317	7162	10486
MvSl-1064-A1-R4_A1g00075	2	0	0	0	4	27
MvSl-1064-A1-R4_A1g00076	2411	2731	2305	2712	2972	2684
MvSl-1064-A1-R4_A1g00077	1703	1997	2770	5204	2105	1875
MvSl-1064-A1-R4_A1g00078	2962	4103	12395	21728	3488	2966
MvSl-1064-A1-R4_A1g00079	1754	1128	783	1112	1000	1230
MvSl-1064-A1-R4_A1g00080	1365	1141	279	487	625	1038
MvSl-1064-A1-R4_A1g00081	1735.81	1321.06	62.6253	69.5448	612.781	1097.28
MvSl-1064-A1-R4_A1g00082	2	0	0	0	0	0
MvSl-1064-A1-R4_A1g00083	1.02202	2.02334	0	0	1.32667	2.32631
MvSl-1064-A1-R4_A1g00084	1	1	0	0	1	0
MvSl-1064-A1-R4_A1g00085	0	0	0.519109	0	3.99577	4.07241
MvSl-1064-A1-R4_A1g00086	5.53221	4.65051	2.60383	9.43308	17.2546	9.32595
MvSl-1064-A1-R4_A1g00087	419.108	440.342	622.429	558.84	325.158	233.406
MvSl-1064-A1-R4_A1g00088	95.194	103.082	72.2621	86.4977	29.9217	47.5132
MvSl-1064-A1-R4_A1g00089	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00090	0	0	0	0	0	2
MvSl-1064-A1-R4_A1g00091	0	1	0	0	0	0
MvSl-1064-A1-R4_A1g00092	116.852	100.927	15.7842	11.7477	215.617	291.36
MvSl-1064-A1-R4_A1g00093	100.805	57.0597	38.0557	67.2033	37.895	49.4701
MvSl-1064-A1-R4_A1g00094	0	0	2.03112	4	1.3216	0
MvSl-1064-A1-R4_A1g00095	41.1687	76.6547	252.579	316.247	216.053	181.196
MvSl-1064-A1-R4_A1g00096	0	0	0	0	2	2
MvSl-1064-A1-R4_A1g00097	10.7945	10.4635	14.45	14.5269	57.4806	21.4604
MvSl-1064-A1-R4_A1g00098	0	0	0	0	1	1
MvSl-1064-A1-R4_A1g00099	189.933	148.063	81.9618	81.6963	255.521	255.351
MvSl-1064-A1-R4_A1g00100	32.9124	47.5321	26.3325	50.235	22.6654	35.4566
MvSl-1064-A1-R4_A1g00101	78	81	14	9	14	33
MvSl-1064-A1-R4_A1g00102	42.0906	33.0929	11.0392	9.03061	10.0333	15.0401
MvSl-1064-A1-R4_A1g00103	21.1714	18.5803	9.26156	4.10733	3.21148	8.28207
MvSl-1064-A1-R4_A1g00104	3.18373	0	0.999032	0.990192	8.94201	11.5558
MvSl-1064-A1-R4_A1g00105	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00106	32.3343	37.4616	14.104	10.0708	26.3147	29.2246
MvSl-1064-A1-R4_A1g00107	75.9946	70.3345	4.08201	9.34784	45.3594	62.1155
MvSl-1064-A1-R4_A1g00108	546	779	278	279	552	807
MvSl-1064-A1-R4_A1g00109	2188	3142	8767	15786	2351	3098
MvSl-1064-A1-R4_A1g00110	5446	4950	2559	2708	5858	5304
MvSl-1064-A1-R4_A1g00111	1	1	0	0	1	1
MvSl-1064-A1-R4_A1g00112	115.276	65.8166	49.901	39.2854	60.2471	64.4106
MvSl-1064-A1-R4_A1g00113	5284	4276	2366	1430	7948	6254
MvSl-1064-A1-R4_A1g00114	519.883	744.758	315.437	372.856	342.572	370.07
MvSl-1064-A1-R4_A1g00115	119.573	126.559	31.9553	60.4351	140.73	177.506
MvSl-1064-A1-R4_A1g00116	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00117	27.3236	32.6825	41.2764	30.4935	74.8752	73.1284
MvSl-1064-A1-R4_A1g00118	277.664	306.344	285.847	467.733	347.532	375.9
MvSl-1064-A1-R4_A1g00119	23	20.7843	33	51.9714	18.5179	18.1525
MvSl-1064-A1-R4_A1g00120	531.237	457.002	209.328	186.242	288.492	368.7
MvSl-1064-A1-R4_A1g00121	551.565	760.871	1130.92	1791.75	669.481	638.693
MvSl-1064-A1-R4_A1g00122	291.042	246.353	138.541	198.554	229.247	253.563
MvSl-1064-A1-R4_A1g00123	19.09	22.1797	7.04206	5.02538	13.3047	14.2355
MvSl-1064-A1-R4_A1g00124	238.991	291.34	34.512	18.4299	296.528	350.223
MvSl-1064-A1-R4_A1g00125	245.412	235.2	364.266	363.401	195.067	218.157
MvSl-1064-A1-R4_A1g00126	1925	2174	2353	3366	1099	1176
MvSl-1064-A1-R4_A1g00127	979183	918551	14783.7	8700.66	27371.7	32015.8
MvSl-1064-A1-R4_A1g00128	3729.76	3138	32	21	175.734	219
MvSl-1064-A1-R4_A1g00129	0	0	4	4	0	0
MvSl-1064-A1-R4_A1g00130	1097.39	1439.21	228.976	534.282	236.984	465.656
MvSl-1064-A1-R4_A1g00131	95	118	150	175	186	167
MvSl-1064-A1-R4_A1g00132	173.416	189.105	233.052	199.289	218.388	213.835
MvSl-1064-A1-R4_A1g00133	2.00703	1.00334	1.00517	2.00712	1.00197	1.00653
MvSl-1064-A1-R4_A1g00134	258.71	253.965	252.314	263.109	278.391	285.976
MvSl-1064-A1-R4_A1g00135	3.68869	5.03259	1.48706	1.50168	30.431	39.1839
MvSl-1064-A1-R4_A1g00136	1509.42	1422.13	638.161	709.318	616.754	1022.82
MvSl-1064-A1-R4_A1g00137	8.4	0	0	0	0	3
MvSl-1064-A1-R4_A1g00138	8.0487	19.0552	8.05398	10.0832	7.04379	14.1822
MvSl-1064-A1-R4_A1g00139	32.463	22.2681	28.3894	25.3999	44.08	53.1231
MvSl-1064-A1-R4_A1g00140	2.54307	4.953	4.97338	3.43894	5.44852	3.71907
MvSl-1064-A1-R4_A1g00141	24.0972	18.094	10.823	10.085	41.5172	31.2031
MvSl-1064-A1-R4_A1g00142	62.0867	49.1628	58.179	71.7971	61.7915	72.2524
MvSl-1064-A1-R4_A1g00143	1643.82	1389.16	703.341	657.683	1223.57	1357.23
MvSl-1064-A1-R4_A1g00144	1784	2483	2632	4608	2901	2702
MvSl-1064-A1-R4_A1g00145	68.8491	63.0948	367.388	526.951	51.7505	38.2035
MvSl-1064-A1-R4_A1g00146	31	29	178.18	179	18.4889	28.079
MvSl-1064-A1-R4_A1g00147	0	0	0	0	1.0299	0
MvSl-1064-A1-R4_A1g00148	2	2	1	1	0	1
MvSl-1064-A1-R4_A1g00149	125.128	176.37	218.77	261.1	199.816	134.994
MvSl-1064-A1-R4_A1g00150	20.9328	20.124	13.8977	5	15.7737	13.7462
MvSl-1064-A1-R4_A1g00151	855.158	817.364	787.266	1080.64	533.796	495.868
MvSl-1064-A1-R4_A1g00152	999.851	1021.94	623.451	802.625	1103.75	1167.47
MvSl-1064-A1-R4_A1g00153	4945	4613	3969	5211	4750	4251
MvSl-1064-A1-R4_A1g00154	739	847	514	879	586	779
MvSl-1064-A1-R4_A1g00155	1124.04	1469.68	443.724	620.627	1047.93	1408.59
MvSl-1064-A1-R4_A1g00156	238.188	237.094	187.641	171.581	258.361	294.574
MvSl-1064-A1-R4_A1g00157	1163.74	1016.25	1053.63	1177.7	1077.15	1013.87
MvSl-1064-A1-R4_A1g00158	5675.21	7409.76	2143.12	3946.89	2627.21	5722.37
MvSl-1064-A1-R4_A1g00159	1188.33	1259.9	270.364	555.735	387.084	830.075
MvSl-1064-A1-R4_A1g00160	169.574	222.358	40.494	39.7578	71.379	108.782
MvSl-1064-A1-R4_A1g00161	9.07961	9	2	0	4	4
MvSl-1064-A1-R4_A1g00162	7.50775	11.298	9.1395	0	64	43.7408
MvSl-1064-A1-R4_A1g00163	99.1686	96.0819	4.48591	3.25787	91.2153	84.983
MvSl-1064-A1-R4_A1g00164	172.875	141.934	7.25104	2.15924	117.566	99.9068
MvSl-1064-A1-R4_A1g00165	4664	4349	3607	4063	4673	4397
MvSl-1064-A1-R4_A1g00166	3091.91	2313.53	1314.52	1879.55	1003.09	1017.11
MvSl-1064-A1-R4_A1g00167	52.1004	81.3079	54.3625	35.0699	66.5478	58.9172
MvSl-1064-A1-R4_A1g00168	1279.29	1003.34	854.763	761.91	1117.46	1277.9
MvSl-1064-A1-R4_A1g00169	64.0453	131.475	239.491	420.408	112.447	159.32
MvSl-1064-A1-R4_A1g00170	669.042	857.085	207.831	231.496	664.635	665.443
MvSl-1064-A1-R4_A1g00171	13.0534	23.245	5.16293	10.5156	9.4554	14.4274
MvSl-1064-A1-R4_A1g00172	239.331	242.509	155.873	137.52	293.424	293.569
MvSl-1064-A1-R4_A1g00173	53353	50768	467	215	1255	1798
MvSl-1064-A1-R4_A1g00174	1.86073e+06	1.82864e+06	27615.3	16756.3	43066.3	57012.2
MvSl-1064-A1-R4_A1g00175	2587	3136	3168	3953	3729	3455
MvSl-1064-A1-R4_A1g00176	183.744	243.415	188.694	301.098	193.558	163.166
MvSl-1064-A1-R4_A1g00177	9	9	6	8	7	9
