gene	genename	chr	start	end
MinSal-1389-A1-17072018_C015g08699	MinSal-1389-A1-17072018_C015	aPR	25638	26183
MinSal-1389-A1-17072018_C015g08704	MinSal-1389-A1-17072018_C015	aPR	30839	36021
MinSal-1389-A1-17072018_C015g08706	MinSal-1389-A1-17072018_C015	aPR	39381	40235
MinSal-1389-A1-17072018_C015g08714	MinSal-1389-A1-17072018_C015	aPR	54490	55212
MinSal-1389-A1-17072018_C015g08725	MinSal-1389-A1-17072018_C015	aPR	79418	80769
MinSal-1389-A1-17072018_C015g08726	MinSal-1389-A1-17072018_C015	aPR	80887	81833
MinSal-1389-A1-17072018_C015g08727	MinSal-1389-A1-17072018_C015	aPR	82113	83962
MinSal-1389-A1-17072018_C015g08728	MinSal-1389-A1-17072018_C015	aPR	84906	86107
MinSal-1389-A1-17072018_C015g08729	MinSal-1389-A1-17072018_C015	aPR	86554	88560
MinSal-1389-A1-17072018_C015g08730	MinSal-1389-A1-17072018_C015	aPR	89145	91129
MinSal-1389-A1-17072018_C015g08732	MinSal-1389-A1-17072018_C015	aPR	94561	95501
MinSal-1389-A1-17072018_C015g08733	MinSal-1389-A1-17072018_C015	aPR	97202	98778
MinSal-1389-A1-17072018_C015g08734	MinSal-1389-A1-17072018_C015	aPR	99098	101310
MinSal-1389-A1-17072018_C015g08735	MinSal-1389-A1-17072018_C015	aPR	102331	103769
MinSal-1389-A1-17072018_C015g08736	MinSal-1389-A1-17072018_C015	aPR	104902	105510
MinSal-1389-A1-17072018_C015g08737	MinSal-1389-A1-17072018_C015	aPR	105692	106714
MinSal-1389-A1-17072018_C015g08739	MinSal-1389-A1-17072018_C015	aPR	110551	113971
MinSal-1389-A1-17072018_C015g08741	MinSal-1389-A1-17072018_C015	aPR	118148	121011
MinSal-1389-A1-17072018_C015g08742	MinSal-1389-A1-17072018_C015	aPR	121393	123521
MinSal-1389-A1-17072018_C015g08744	MinSal-1389-A1-17072018_C015	aPR	125148	127062
MinSal-1389-A1-17072018_C015g08745	MinSal-1389-A1-17072018_C015	aPR	127495	130694
MinSal-1389-A1-17072018_C015g08747	MinSal-1389-A1-17072018_C015	aPR	132712	136451
MinSal-1389-A1-17072018_C015g08748	MinSal-1389-A1-17072018_C015	aPR	137950	140773
MinSal-1389-A1-17072018_C015g08749	MinSal-1389-A1-17072018_C015	aPR	140964	142708
MinSal-1389-A1-17072018_C015g08750	MinSal-1389-A1-17072018_C015	aPR	144437	146597
MinSal-1389-A1-17072018_C015g08752	MinSal-1389-A1-17072018_C015	aPR	149160	149570
MinSal-1389-A1-17072018_C015g08753	MinSal-1389-A1-17072018_C015	aPR	149614	152566
MinSal-1389-A1-17072018_C015g08755	MinSal-1389-A1-17072018_C015	aPR	160835	162153
MinSal-1389-A1-17072018_C015g08756	MinSal-1389-A1-17072018_C015	aPR	162362	163565
MinSal-1389-A1-17072018_C015g08757	MinSal-1389-A1-17072018_C015	aPR	163791	165396
MinSal-1389-A1-17072018_C015g08758	MinSal-1389-A1-17072018_C015	aPR	167073	167267
MinSal-1389-A1-17072018_C015g08759	MinSal-1389-A1-17072018_C015	aPR	168240	168762
MinSal-1389-A1-17072018_C015g08762	MinSal-1389-A1-17072018_C015	aPR	171724	174630
MinSal-1389-A1-17072018_C015g08763	MinSal-1389-A1-17072018_C015	aPR	175242	176924
MinSal-1389-A1-17072018_C015g08764	MinSal-1389-A1-17072018_C015	aPR	177556	179125
MinSal-1389-A1-17072018_C015g08766	MinSal-1389-A1-17072018_C015	aPR	182146	184370
MinSal-1389-A1-17072018_C015g08767	MinSal-1389-A1-17072018_C015	aPR	186614	188421
MinSal-1389-A1-17072018_C015g08768	MinSal-1389-A1-17072018_C015	aPR	188795	189826
