#A_id	pident
MvSl-1064-A1-R4_A1g00002	100.000
MvSl-1064-A1-R4_A1g00003	98.991
MvSl-1064-A1-R4_A1g00004	100.000
MvSl-1064-A1-R4_A1g00005	100.000
MvSl-1064-A1-R4_A1g00006	100.000
MvSl-1064-A1-R4_A1g00007	100.000
MvSl-1064-A1-R4_A1g00008	100.000
MvSl-1064-A1-R4_A1g00009	100.000
MvSl-1064-A1-R4_A1g00010	100.000
MvSl-1064-A1-R4_A1g00011	100.000
MvSl-1064-A1-R4_A1g00013	100.000
MvSl-1064-A1-R4_A1g00014	100.000
MvSl-1064-A1-R4_A1g00015	100.000
MvSl-1064-A1-R4_A1g00016	100.000
MvSl-1064-A1-R4_A1g00017	100.000
MvSl-1064-A1-R4_A1g00018	100.000
MvSl-1064-A1-R4_A1g00019	100.000
MvSl-1064-A1-R4_A1g00020	100.000
MvSl-1064-A1-R4_A1g00021	100.000
MvSl-1064-A1-R4_A1g00022	100.000
MvSl-1064-A1-R4_A1g00023	100.000
MvSl-1064-A1-R4_A1g00024	100.000
MvSl-1064-A1-R4_A1g00025	100.000
MvSl-1064-A1-R4_A1g00026	100.000
MvSl-1064-A1-R4_A1g00027	100.000
MvSl-1064-A1-R4_A1g00028	100.000
MvSl-1064-A1-R4_A1g00029	100.000
MvSl-1064-A1-R4_A1g00030	100.000
MvSl-1064-A1-R4_A1g00031	100.000
MvSl-1064-A1-R4_A1g00032	100.000
MvSl-1064-A1-R4_A1g00033	100.000
MvSl-1064-A1-R4_A1g00034	100.000
MvSl-1064-A1-R4_A1g00035	100.000
MvSl-1064-A1-R4_A1g00036	100.000
MvSl-1064-A1-R4_A1g00037	100.000
MvSl-1064-A1-R4_A1g00038	100.000
MvSl-1064-A1-R4_A1g00039	100.000
MvSl-1064-A1-R4_A1g00040	100.000
MvSl-1064-A1-R4_A1g00041	100.000
MvSl-1064-A1-R4_A1g00042	100.000
MvSl-1064-A1-R4_A1g00043	100.000
MvSl-1064-A1-R4_A1g00044	100.000
MvSl-1064-A1-R4_A1g00045	100.000
MvSl-1064-A1-R4_A1g00046	100.000
MvSl-1064-A1-R4_A1g00047	100.000
MvSl-1064-A1-R4_A1g00048	100.000
MvSl-1064-A1-R4_A1g00049	100.000
MvSl-1064-A1-R4_A1g00050	100.000
MvSl-1064-A1-R4_A1g00051	100.000
MvSl-1064-A1-R4_A1g00052	100.000
MvSl-1064-A1-R4_A1g00053	100.000
MvSl-1064-A1-R4_A1g00054	100.000
MvSl-1064-A1-R4_A1g00055	100.000
MvSl-1064-A1-R4_A1g00056	100.000
MvSl-1064-A1-R4_A1g00057	100.000
MvSl-1064-A1-R4_A1g00058	100.000
MvSl-1064-A1-R4_A1g00059	100.000
MvSl-1064-A1-R4_A1g00060	100.000
MvSl-1064-A1-R4_A1g00061	100.000
MvSl-1064-A1-R4_A1g00062	100.000
MvSl-1064-A1-R4_A1g00063	100.000
MvSl-1064-A1-R4_A1g00064	100.000
