gene	A1_1	A1_2	A2_1	A2_2
MvSl-1064-A1-R4_A1g00002	566.238	600.169	434.697	371.457
MvSl-1064-A1-R4_A1g00004	2907	4687	4397	4027
MvSl-1064-A1-R4_A1g00005	1406	2312	2038	2004
MvSl-1064-A1-R4_A1g00006	9491	17170	14201	13045
MvSl-1064-A1-R4_A1g00007	3904	4934	4436	4515
MvSl-1064-A1-R4_A1g00008	2501	3163	3020	3157
MvSl-1064-A1-R4_A1g00009	2809	5712	3744	3628
MvSl-1064-A1-R4_A1g00010	222.668	517.423	169.066	178.847
MvSl-1064-A1-R4_A1g00011	90	151	57	65
MvSl-1064-A1-R4_A1g00013	2609	1813	2287.64	2458.43
MvSl-1064-A1-R4_A1g00014	582.547	167.37	83	28
MvSl-1064-A1-R4_A1g00015	572	141	86	17
MvSl-1064-A1-R4_A1g00016	94	34	16	3
MvSl-1064-A1-R4_A1g00017	68	65	70	66
MvSl-1064-A1-R4_A1g00018	1.00683	1.0153	0	1.03477
MvSl-1064-A1-R4_A1g00019	19.0299	25.1158	14.1262	9.88745
MvSl-1064-A1-R4_A1g00020	31.4358	14.3975	6.6691	5.48921
MvSl-1064-A1-R4_A1g00021	330.831	256.348	47	32.7897
MvSl-1064-A1-R4_A1g00022	1.42216	5.26208	1	1
MvSl-1064-A1-R4_A1g00023	48.1693	26.1435	66.7517	38.2601
MvSl-1064-A1-R4_A1g00024	0	0	0	0
MvSl-1064-A1-R4_A1g00025	12	12	8	5
MvSl-1064-A1-R4_A1g00026	604.774	818.342	733.415	738.265
MvSl-1064-A1-R4_A1g00027	140	153	58	58
MvSl-1064-A1-R4_A1g00028	117	76	108.753	167.879
MvSl-1064-A1-R4_A1g00029	343.03	639.358	164.157	161.232
MvSl-1064-A1-R4_A1g00030	3168.37	6783.33	2901.81	2814.82
MvSl-1064-A1-R4_A1g00031	14	12	11	13
MvSl-1064-A1-R4_A1g00032	8251	11485	13205	13182
MvSl-1064-A1-R4_A1g00033	237	222	340	407
MvSl-1064-A1-R4_A1g00034	0	0	0	0
MvSl-1064-A1-R4_A1g00035	181	149	98	42
MvSl-1064-A1-R4_A1g00036	677	932	1034	1013
MvSl-1064-A1-R4_A1g00037	1243	1702	1776	2010
MvSl-1064-A1-R4_A1g00038	0	2	0	0
MvSl-1064-A1-R4_A1g00039	2994	4242	3492	3040
MvSl-1064-A1-R4_A1g00040	18	19	10	14
MvSl-1064-A1-R4_A1g00041	4	1	3	1
MvSl-1064-A1-R4_A1g00042	0	0	0	0
MvSl-1064-A1-R4_A1g00043	23.0857	6.00222	12.3733	24
MvSl-1064-A1-R4_A1g00044	0	0	0	1
MvSl-1064-A1-R4_A1g00045	2	0	1	3
MvSl-1064-A1-R4_A1g00046	142	123	142	166
MvSl-1064-A1-R4_A1g00047	958	1649	992	1052
MvSl-1064-A1-R4_A1g00048	570	560	598	706
MvSl-1064-A1-R4_A1g00049	735	925	1250	1430
