gene	M1	M2	M3
MinSal-1389-A1-17072018_C001g00002	0	0	0
MinSal-1389-A1-17072018_C001g00004	0	0	0
MinSal-1389-A1-17072018_C001g00007	931	1176	664
MinSal-1389-A1-17072018_C001g00008	0	0	0
MinSal-1389-A1-17072018_C001g00009	345	233	205
MinSal-1389-A1-17072018_C001g00010	0	0	0
MinSal-1389-A1-17072018_C001g00011	467	685	222
MinSal-1389-A1-17072018_C001g00012	153	196	122
MinSal-1389-A1-17072018_C001g00013	2874	3820	2038
MinSal-1389-A1-17072018_C001g00014	0	0	0
MinSal-1389-A1-17072018_C001g00015	61	116	59
MinSal-1389-A1-17072018_C001g00016	13186	16042	8057
MinSal-1389-A1-17072018_C001g00017	0	0	0
MinSal-1389-A1-17072018_C001g00018	0	0	0
MinSal-1389-A1-17072018_C001g00019	227	204	89
MinSal-1389-A1-17072018_C001g00020	1008	652	530
MinSal-1389-A1-17072018_C001g00021	450	633	218
MinSal-1389-A1-17072018_C001g00022	0	1	0
MinSal-1389-A1-17072018_C001g00027	0	0	0
MinSal-1389-A1-17072018_C001g00028	597	779	413
MinSal-1389-A1-17072018_C001g00030	455	643	259
MinSal-1389-A1-17072018_C001g00031	0	1	0
MinSal-1389-A1-17072018_C001g00032	196	237	100
MinSal-1389-A1-17072018_C001g00033	84	138	75
MinSal-1389-A1-17072018_C001g00035	113	119	33
MinSal-1389-A1-17072018_C001g00036	0	2	0
MinSal-1389-A1-17072018_C001g00037	1282	1087	1785
MinSal-1389-A1-17072018_C001g00038	134	151	64
MinSal-1389-A1-17072018_C001g00039	2135	1902	1296
MinSal-1389-A1-17072018_C001g00040	3208	3418	1699
MinSal-1389-A1-17072018_C001g00042	0	0	0
MinSal-1389-A1-17072018_C001g00045	473	595	258
MinSal-1389-A1-17072018_C001g00047	2303	2542	1105
MinSal-1389-A1-17072018_C001g00048	0	0	0
MinSal-1389-A1-17072018_C001g00050	159	203	118
MinSal-1389-A1-17072018_C001g00051	6953	8484	3122
MinSal-1389-A1-17072018_C001g00052	70	70	43
MinSal-1389-A1-17072018_C001g00053	899	935	580
MinSal-1389-A1-17072018_C001g00054	9162	9480	5626
MinSal-1389-A1-17072018_C001g00056	749	934	318
MinSal-1389-A1-17072018_C001g00057	314	256	85
MinSal-1389-A1-17072018_C001g00058	1105	1162	856
MinSal-1389-A1-17072018_C001g00059	0	0	0
MinSal-1389-A1-17072018_C001g00060	2580	2586	1509
MinSal-1389-A1-17072018_C001g00061	0	0	0
MinSal-1389-A1-17072018_C001g00062	124	115	90
MinSal-1389-A1-17072018_C001g00063	1092	1184	699
MinSal-1389-A1-17072018_C001g00064	409	383	395
MinSal-1389-A1-17072018_C001g00065	26	18	28
MinSal-1389-A1-17072018_C001g00066	0	0	0
MinSal-1389-A1-17072018_C001g00067	4	1	1
MinSal-1389-A1-17072018_C001g00071	1870	2667	1242
MinSal-1389-A1-17072018_C001g00075	0	0	0
MinSal-1389-A1-17072018_C001g00076	429	716	274
MinSal-1389-A1-17072018_C001g00077	0	0	0
MinSal-1389-A1-17072018_C001g00078	0	0	1
MinSal-1389-A1-17072018_C001g00079	502	632	360
MinSal-1389-A1-17072018_C001g00080	0	0	0
MinSal-1389-A1-17072018_C001g00081	587	506	448
MinSal-1389-A1-17072018_C001g00082	0	0	0
MinSal-1389-A1-17072018_C001g00083	0	1	0
MinSal-1389-A1-17072018_C001g00084	871	933	188
MinSal-1389-A1-17072018_C001g00085	0	0	0
MinSal-1389-A1-17072018_C001g00086	584	565	200
MinSal-1389-A1-17072018_C001g00088	0	0	0
MinSal-1389-A1-17072018_C001g00091	406	533	270
MinSal-1389-A1-17072018_C001g00092	755	1004	482
MinSal-1389-A1-17072018_C001g00093	457	462	326
MinSal-1389-A1-17072018_C001g00094	5	17	6
MinSal-1389-A1-17072018_C001g00095	2217	2196	1453
MinSal-1389-A1-17072018_C001g00096	207	184	132
MinSal-1389-A1-17072018_C001g00098	485	695	336
MinSal-1389-A1-17072018_C001g00099	1428	1703	378
MinSal-1389-A1-17072018_C001g00100	72	109	26
MinSal-1389-A1-17072018_C001g00101	2	1	0
MinSal-1389-A1-17072018_C001g00102	2220	2457	1642
MinSal-1389-A1-17072018_C001g00103	7	3	4
MinSal-1389-A1-17072018_C001g00104	12	24	34
MinSal-1389-A1-17072018_C001g00105	491	607	226
MinSal-1389-A1-17072018_C001g00106	1708	1888	1297
MinSal-1389-A1-17072018_C001g00107	503	441	306
MinSal-1389-A1-17072018_C001g00108	1452	1445	1122
MinSal-1389-A1-17072018_C001g00109	4727	5445	2926
MinSal-1389-A1-17072018_C001g00110	23	29	21
MinSal-1389-A1-17072018_C001g00111	0	0	0
MinSal-1389-A1-17072018_C001g00112	0	0	0
MinSal-1389-A1-17072018_C001g00113	14	11	6
MinSal-1389-A1-17072018_C001g00114	3	10	6
MinSal-1389-A1-17072018_C001g00115	0	0	0
MinSal-1389-A1-17072018_C001g00116	365	372	186
MinSal-1389-A1-17072018_C001g00117	4322.25	5476.52	2179.7
MinSal-1389-A1-17072018_C001g00118	437	508	368
MinSal-1389-A1-17072018_C001g00119	700	733	334
MinSal-1389-A1-17072018_C001g00120	1373	1313	759
MinSal-1389-A1-17072018_C001g00121	230	295	167
MinSal-1389-A1-17072018_C001g00122	66	54	19
MinSal-1389-A1-17072018_C001g00123	0	0	0
MinSal-1389-A1-17072018_C001g00124	0	0	0
MinSal-1389-A1-17072018_C001g00125	0	0	0
MinSal-1389-A1-17072018_C001g00126	0	0	0
MinSal-1389-A1-17072018_C001g00127	0	0	0
MinSal-1389-A1-17072018_C001g00130	2166	2729	1386
MinSal-1389-A1-17072018_C001g00132	0	0	0
MinSal-1389-A1-17072018_C001g00133	0	0	0
MinSal-1389-A1-17072018_C001g00134	0	1.33104	0
MinSal-1389-A1-17072018_C001g00137	438	518	296
MinSal-1389-A1-17072018_C001g00138	2493	2153	788
MinSal-1389-A1-17072018_C001g00139	737	908	452
MinSal-1389-A1-17072018_C001g00140	0	0	0
MinSal-1389-A1-17072018_C001g00141	212	187	213
MinSal-1389-A1-17072018_C001g00142	1418	1382	833
MinSal-1389-A1-17072018_C001g00143	2	1	1
MinSal-1389-A1-17072018_C001g00144	0	0	0
MinSal-1389-A1-17072018_C001g00145	2642	2704	1725
MinSal-1389-A1-17072018_C001g00146	211	211	98
MinSal-1389-A1-17072018_C001g00147	0	0	0
MinSal-1389-A1-17072018_C001g00148	646	485	74
MinSal-1389-A1-17072018_C001g00149	1	0	0
MinSal-1389-A1-17072018_C001g00150	0	0	0
MinSal-1389-A1-17072018_C001g00153	509	633	318
MinSal-1389-A1-17072018_C001g00154	132	144	53
MinSal-1389-A1-17072018_C001g00155	0	0	0
MinSal-1389-A1-17072018_C001g00156	5307	6630	3734
MinSal-1389-A1-17072018_C001g00157	245	273	78
MinSal-1389-A1-17072018_C001g00158	951	899	517
MinSal-1389-A1-17072018_C001g00159	0	0	0
MinSal-1389-A1-17072018_C001g00160	272	390	197
MinSal-1389-A1-17072018_C001g00161	118	168	56
MinSal-1389-A1-17072018_C001g00162	1392	1623	1043
MinSal-1389-A1-17072018_C001g00163	1587	1517	881
MinSal-1389-A1-17072018_C001g00164	984	1148	625
