gene	genename	chr	start	end	length
MvSl-1064-A1-R4_A1g00002	MvSl-1064-A1-R4_A1	aMAT	1057	1350	294
MvSl-1064-A1-R4_A1g00003	MvSl-1064-A1-R4_A1	aMAT	2563	6967	3903
MvSl-1064-A1-R4_A1g00004	MvSl-1064-A1-R4_A1	aMAT	7783	9967	1884
MvSl-1064-A1-R4_A1g00005	MvSl-1064-A1-R4_A1	aMAT	10297	11118	822
MvSl-1064-A1-R4_A1g00006	MvSl-1064-A1-R4_A1	aMAT	11416	12757	417
MvSl-1064-A1-R4_A1g00007	MvSl-1064-A1-R4_A1	aMAT	13778	17299	3006
MvSl-1064-A1-R4_A1g00008	MvSl-1064-A1-R4_A1	aMAT	17742	19664	1668
MvSl-1064-A1-R4_A1g00009	MvSl-1064-A1-R4_A1	aMAT	21256	22638	1140
MvSl-1064-A1-R4_A1g00010	MvSl-1064-A1-R4_A1	aMAT	23065	24689	1014
MvSl-1064-A1-R4_A1g00013	MvSl-1064-A1-R4_A1	aMAT	27672	29826	1701
MvSl-1064-A1-R4_A1g00014	MvSl-1064-A1-R4_A1	aMAT	31145	31816	450
MvSl-1064-A1-R4_A1g00015	MvSl-1064-A1-R4_A1	aMAT	31867	32715	765
MvSl-1064-A1-R4_A1g00016	MvSl-1064-A1-R4_A1	aMAT	32832	32999	168
MvSl-1064-A1-R4_A1g00017	MvSl-1064-A1-R4_A1	aMAT	34162	36492	1632
MvSl-1064-A1-R4_A1g00018	MvSl-1064-A1-R4_A1	aMAT	37426	37720	225
MvSl-1064-A1-R4_A1g00019	MvSl-1064-A1-R4_A1	aMAT	37961	39396	786
MvSl-1064-A1-R4_A1g00021	MvSl-1064-A1-R4_A1	aMAT	40219	40570	210
MvSl-1064-A1-R4_A1g00022	MvSl-1064-A1-R4_A1	aMAT	41703	42358	537
MvSl-1064-A1-R4_A1g00023	MvSl-1064-A1-R4_A1	aMAT	42439	44564	1314
MvSl-1064-A1-R4_A1g00024	MvSl-1064-A1-R4_A1	aMAT	44670	45575	612
MvSl-1064-A1-R4_A1g00025	MvSl-1064-A1-R4_A1	aMAT	46588	48824	1623
MvSl-1064-A1-R4_A1g00026	MvSl-1064-A1-R4_A1	aMAT	50171	55586	4218
MvSl-1064-A1-R4_A1g00028	MvSl-1064-A1-R4_A1	aMAT	59218	59891	504
MvSl-1064-A1-R4_A1g00029	MvSl-1064-A1-R4_A1	aMAT	60303	60627	171
MvSl-1064-A1-R4_A1g00030	MvSl-1064-A1-R4_A1	aMAT	60777	61230	369
MvSl-1064-A1-R4_A1g00031	MvSl-1064-A1-R4_A1	aMAT	61566	63177	957
MvSl-1064-A1-R4_A1g00032	MvSl-1064-A1-R4_A1	aMAT	63513	66190	1554
MvSl-1064-A1-R4_A1g00033	MvSl-1064-A1-R4_A1	aMAT	66550	67505	801
MvSl-1064-A1-R4_A1g00034	MvSl-1064-A1-R4_A1	aMAT	68178	68401	147
MvSl-1064-A1-R4_A1g00035	MvSl-1064-A1-R4_A1	aMAT	68795	70180	1386
MvSl-1064-A1-R4_A1g00036	MvSl-1064-A1-R4_A1	aMAT	71408	72880	1194
MvSl-1064-A1-R4_A1g00037	MvSl-1064-A1-R4_A1	aMAT	73083	75674	2421
