gene	MintM1	MintM2	MintM3	MvSlM1	MvSlM2
MinSal-1389-A1-17072018_C001g00002	0	0	0	38.9053	46.2182
MinSal-1389-A1-17072018_C001g00004	0	0	0	1852	4165
MinSal-1389-A1-17072018_C001g00007	931	1176	664	4034	3035
MinSal-1389-A1-17072018_C001g00008	0	0	0	3331	3636
MinSal-1389-A1-17072018_C001g00009	345	233	205	533	534
MinSal-1389-A1-17072018_C001g00010	0	0	0	1	0
MinSal-1389-A1-17072018_C001g00011	467	685	222	1579	1165
MinSal-1389-A1-17072018_C001g00012	153	196	122	3092	2603
MinSal-1389-A1-17072018_C001g00013	2874	3820	2038	4048.36	3150.34
MinSal-1389-A1-17072018_C001g00014	0	0	0	1161	882
MinSal-1389-A1-17072018_C001g00015	61	116	59	686	828
MinSal-1389-A1-17072018_C001g00016	13186	16042	8057	33254	42622
MinSal-1389-A1-17072018_C001g00017	0	0	0	6	4
MinSal-1389-A1-17072018_C001g00018	0	0	0	1	1
MinSal-1389-A1-17072018_C001g00019	227	204	89	435	412
MinSal-1389-A1-17072018_C001g00020	1008	652	530	19	45
MinSal-1389-A1-17072018_C001g00021	450	633	218	2162	1949
MinSal-1389-A1-17072018_C001g00022	0	1	0	6189	5949
MinSal-1389-A1-17072018_C001g00027	0	0	0	897	749
MinSal-1389-A1-17072018_C001g00028	597	779	413	5297	4632
MinSal-1389-A1-17072018_C001g00030	455	643	259	779	738
MinSal-1389-A1-17072018_C001g00031	0	1	0	2291	2506
MinSal-1389-A1-17072018_C001g00032	196	237	100	1077.28	925.693
MinSal-1389-A1-17072018_C001g00033	84	138	75	25412.3	51244.8
MinSal-1389-A1-17072018_C001g00035	113	119	33	1684	1715
MinSal-1389-A1-17072018_C001g00036	0	2	0	1384	1783
MinSal-1389-A1-17072018_C001g00037	1282	1087	1785	1881	3927
MinSal-1389-A1-17072018_C001g00038	134	151	64	1936	2127
MinSal-1389-A1-17072018_C001g00039	2135	1902	1296	3287	3350
MinSal-1389-A1-17072018_C001g00040	3208	3418	1699	4034	4263
