gid	location	chr	start	end	log2FC	intron_nr	mean	sum	
MvSl-1064-A1-R4_A1g00021	MvSl-1064-A1-R4_A1	aMAT	39845	40120	1.51409448514308	1	142	142
MvSl-1064-A1-R4_A1g00073	MvSl-1064-A1-R4_A1	aMAT	160618	163050	-0.809919470236329	3	107.667	323
MvSl-1064-A1-R4_A1g00079	MvSl-1064-A1-R4_A1	aMAT	179366	179827	1.64719802954929	10	83.6	836
MvSl-1064-A1-R4_A1g00080	MvSl-1064-A1-R4_A1	aMAT	180716	185718	1.36180363566686	3	92	276
MvSl-1064-A1-R4_A1g00081	MvSl-1064-A1-R4_A1	aMAT	186136	186867	2.86252310336993	8	84	672
MvSl-1064-A1-R4_A1g00107	MvSl-1064-A1-R4_A1	aMAT	220047	220241	2.47124817063347	11	89	979
MvSl-1064-A1-R4_A1g00112	MvSl-1064-A1-R4_A1	aMAT	240393	243364	-1.25286845349048	2	148	296
MvSl-1064-A1-R4_A1g00154	MvSl-1064-A1-R4_A1	aMAT	2575916	2576612	1.19990710717855	1	127	127
MvSl-1064-A1-R4_A1g00163	MvSl-1064-A1-R4_A1	aMAT	1648933	1652928	2.30698618271007	1	56	56
MvSl-1064-A1-R4_A1g00165	MvSl-1064-A1-R4_A1	aMAT	621126	622892	0.648642331575889	6	82.8333	497
MvSl-1064-A1-R4_A1g00209	MvSl-1064-A1-R4_A1	aMAT	380085	382864	1.27524512195404	3	204.667	614
MvSl-1064-A1-R4_A1g00242	MvSl-1064-A1-R4_A1	aMAT	1108286	1110870	-0.639026402783558	4	84.25	337
MvSl-1064-A1-R4_A1g00246	MvSl-1064-A1-R4_A1	aMAT	551158	551514	-0.870177676132714	2	173	346
MvSl-1064-A1-R4_A1g00254	MvSl-1064-A1-R4_A1	aMAT	667810	671393	1.93412253005848	3	73	219
MvSl-1064-A1-R4_A1g00270	MvSl-1064-A1-R4_A1	aMAT	1111101	1112366	1.14658198215634	3	208	624
MvSl-1064-A1-R4_A1g00292	MvSl-1064-A1-R4_A1	aMAT	1132727	1134319	0.909844551093575	8	90.125	721
MvSl-1064-A1-R4_A1g00312	MvSl-1064-A1-R4_A1	aMAT	1393224	1396199	3.50629370671791	1	118	118
MvSl-1064-A1-R4_A1g00400	MvSl-1064-A1-R4_A1	aMAT	852461	853825	1.0720200361893	7	91.2857	639
MvSl-1064-A1-R4_A1g00453	MvSl-1064-A1-R4_A1	aMAT	3104710	3107087	-5.47778835800836	1	47	47
MvSl-1064-A1-R4_A1g00495	MvSl-1064-A1-R4_A1	aMAT	3171155	3174630	2.06770355586782	2	144.5	289
MvSl-1064-A1-R4_A1g00516	MvSl-1064-A1-R4_A1	aMAT	2618847	2620704	0.995708514690732	6	131.5	789
MvSl-1064-A1-R4_A1g00522	MvSl-1064-A1-R4_A1	aMAT	1378554	1381105	4.65808951563058	6	84.6667	508
MvSl-1064-A1-R4_A1g00594	MvSl-1064-A1-R4_A1	aMAT	1017072	1017508	1.18899212520619	3	102.333	307
MvSl-1064-A1-R4_A1g00624	MvSl-1064-A1-R4_A1	aMAT	908654	911656	0.808088471763115	7	107.286	751
MvSl-1064-A1-R4_A1g00635	MvSl-1064-A1-R4_A1	aMAT	1091186	1095689	3.59765044110069	10	66.5	665
MvSl-1064-A1-R4_A1g00641	MvSl-1064-A1-R4_A1	aMAT	545893	546933	2.24131478981213	1	128	128
MvSl-1064-A1-R4_A1g00644	MvSl-1064-A1-R4_A1	aMAT	1588797	1592442	1.3207337051043	1	156	156
MvSl-1064-A1-R4_A1g00646	MvSl-1064-A1-R4_A1	aMAT	2776699	2777667	1.50964723349858	2	86	172
MvSl-1064-A1-R4_A1g00648	MvSl-1064-A1-R4_A1	aMAT	739770	740360	-0.643515079604386	3	109.667	329
MvSl-1064-A1-R4_A1g00668	MvSl-1064-A1-R4_A1	aMAT	1389234	1391759	5.49597304172742	7	131	917
MvSl-1064-A1-R4_A1g00718	MvSl-1064-A1-R4_A1	aMAT	646353	651020	-1.03997234267757	2	71.5	143
MvSl-1064-A1-R4_A1g00800	MvSl-1064-A1-R4_A1	aMAT	486140	486307	0.846571443694008	8	102.375	819
MvSl-1064-A1-R4_A1g00835	MvSl-1064-A1-R4_A1	aMAT	1637608	1638887	-4.21139954916937	2	65.5	131
MvSl-1064-A1-R4_A1g00853	MvSl-1064-A1-R4_A1	aMAT	1711315	1715586	1.60202969465559	6	114.833	689
MvSl-1064-A1-R4_A1g00854	MvSl-1064-A1-R4_A1	aMAT	1701948	1703146	-0.781634241066068	8	97.125	777
MvSl-1064-A1-R4_A1g00920	MvSl-1064-A1-R4_A1	aMAT	3000503	3001944	0.945533516235328	4	115.5	462
MvSl-1064-A1-R4_A1g00929	MvSl-1064-A1-R4_A1	aMAT	3107476	3107769	-2.77792479696371	2	69	138
MvSl-1064-A1-R4_A1g00956	MvSl-1064-A1-R4_A1	aMAT	1794549	1795435	-1.56857892827048	1	83	83
MvSl-1064-A1-R4_A1g00959	MvSl-1064-A1-R4_A1	aMAT	1838292	1841771	-1.92935936374581	1	79	79
MvSl-1064-A1-R4_A1g00970	MvSl-1064-A1-R4_A1	aMAT	2085727	2087119	-0.873348638123395	3	71.3333	214
MvSl-1064-A1-R4_A1g00972	MvSl-1064-A1-R4_A1	aMAT	2138970	2141225	1.76142274328535	3	81.3333	244
MvSl-1064-A1-R4_A1g00997	MvSl-1064-A1-R4_A1	aMAT	1790347	1792433	2.95453030625525	4	92.25	369
MvSl-1064-A1-R4_A1g01137	MvSl-1064-A1-R4_A1	aMAT	1164529	1164771	0.636191170333576	6	77.5	465
MvSl-1064-A1-R4_A1g01162	MvSl-1064-A1-R4_A1	aMAT	1176877	1180058	-5.46680016060322	2	68	136
MvSl-1064-A1-R4_A1g01163	MvSl-1064-A1-R4_A1	aMAT	1183296	1185232	-3.61809830778806	4	87	348
MvSl-1064-A1-R4_A1g01164	MvSl-1064-A1-R4_A1	aMAT	2987402	2994226	0.771436125356979	10	83.2	832
MvSl-1064-A1-R4_A1g01212	MvSl-1064-A1-R4_A1	aMAT	1185421	1186806	1.98008134205863	7	79.5714	557
MvSl-1064-A1-R4_A1g01220	MvSl-1064-A1-R4_A1	aMAT	2515006	2516109	-3.43352633686467	8	86.125	689
MvSl-1064-A1-R4_A1g01253	MvSl-1064-A1-R4_A1	aMAT	473140	476235	0.883920257920335	4	105	420
MvSl-1064-A1-R4_A1g01261	MvSl-1064-A1-R4_A1	aMAT	2570487	2572532	2.08306420383073	7	146	1022
MvSl-1064-A1-R4_A1g01282	MvSl-1064-A1-R4_A1	aMAT	817323	819348	-6.17656711296061	3	115	345
MvSl-1064-A1-R4_A1g01347	MvSl-1064-A1-R4_A1	aMAT	2816107	2817007	-1.10086985403714	5	89.4	447
MvSl-1064-A1-R4_A1g01358	MvSl-1064-A1-R4_A1	aMAT	1688108	1688798	-1.31074222160522	1	55	55
MvSl-1064-A1-R4_A1g01359	MvSl-1064-A1-R4_A1	aMAT	1699348	1701504	0.921473077031638	5	78.2	391
MvSl-1064-A1-R4_A1g01376	MvSl-1064-A1-R4_A1	aMAT	907140	907771	-0.932916599957486	11	71.8182	790
MvSl-1064-A1-R4_A1g01384	MvSl-1064-A1-R4_A1	aMAT	1761367	1764288	0.957219371976048	1	77	77
MvSl-1064-A1-R4_A1g01432	MvSl-1064-A1-R4_A1	aMAT	1786241	1788119	-1.15963539548225	4	84.25	337
MvSl-1064-A1-R4_MC01-1g01829	MvSl-1064-A1-R4_MC01-1	Chr01	192929	193317	-0.804351666503758	2	49.5	99
MvSl-1064-A1-R4_MC01-1g01952	MvSl-1064-A1-R4_MC01-2	Chr01	349846	350081	0.612699942965943	2	185	370
MvSl-1064-A1-R4_MC01-1g01957	MvSl-1064-A1-R4_MC01-2	Chr01	356542	357953	-0.738982325326189	3	178	534
