gene	S1_A2	S2_A2
MvSl-1064-A2-R4_A2g00001	86.6857	42.9264
MvSl-1064-A2-R4_A2g00002	587.682	466.324
MvSl-1064-A2-R4_A2g00003	849.565	947.018
MvSl-1064-A2-R4_A2g00004	2074	1808
MvSl-1064-A2-R4_A2g00005	1801	1669
MvSl-1064-A2-R4_A2g00006	3827	4169
MvSl-1064-A2-R4_A2g00007	6444	6669
MvSl-1064-A2-R4_A2g00008	3818	4390
MvSl-1064-A2-R4_A2g00009	1822	3694
MvSl-1064-A2-R4_A2g00010	40.7633	63.3973
MvSl-1064-A2-R4_A2g00011	30.2029	56.94
MvSl-1064-A2-R4_A2g00012	1.7971	3.05999
MvSl-1064-A2-R4_A2g00013	3225.58	2744.08
MvSl-1064-A2-R4_A2g00014	336	269
MvSl-1064-A2-R4_A2g00015	536	445
MvSl-1064-A2-R4_A2g00016	53	46
MvSl-1064-A2-R4_A2g00017	47	33
MvSl-1064-A2-R4_A2g00018	0	1
MvSl-1064-A2-R4_A2g00019	96.6447	109.416
MvSl-1064-A2-R4_A2g00020	110.39	120.784
MvSl-1064-A2-R4_A2g00021	430.373	575.38
MvSl-1064-A2-R4_A2g00022	4.53616	12.5032
MvSl-1064-A2-R4_A2g00023	141.297	127.745
MvSl-1064-A2-R4_A2g00024	272.22	245.91
MvSl-1064-A2-R4_A2g00025	34	28
MvSl-1064-A2-R4_A2g00026	1163.24	1310.66
MvSl-1064-A2-R4_A2g00027	72	67
MvSl-1064-A2-R4_A2g00028	363.806	272.997
MvSl-1064-A2-R4_A2g00029	64.4221	50.1438
MvSl-1064-A2-R4_A2g00030	1394.78	1160.82
MvSl-1064-A2-R4_A2g00031	411	487
MvSl-1064-A2-R4_A2g00032	15385	14996
MvSl-1064-A2-R4_A2g00033	829	814
MvSl-1064-A2-R4_A2g00034	0	0
MvSl-1064-A2-R4_A2g00035	750	977
MvSl-1064-A2-R4_A2g00036	995	1015
MvSl-1064-A2-R4_A2g00037	955	707
MvSl-1064-A2-R4_A2g00038	0	0
MvSl-1064-A2-R4_A2g00039	4752	5782
MvSl-1064-A2-R4_A2g00040	18	16
MvSl-1064-A2-R4_A2g00041	0	0
MvSl-1064-A2-R4_A2g00042	0	0
MvSl-1064-A2-R4_A2g00043	4.02747	4.0229
MvSl-1064-A2-R4_A2g00044	0	0
MvSl-1064-A2-R4_A2g00045	0	2
MvSl-1064-A2-R4_A2g00046	336	289
MvSl-1064-A2-R4_A2g00047	691	723
MvSl-1064-A2-R4_A2g00048	639	623
MvSl-1064-A2-R4_A2g00049	981	896
MvSl-1064-A2-R4_A2g00050	904	549
MvSl-1064-A2-R4_A2g00051	1969	2334
MvSl-1064-A2-R4_A2g00052	2847	2255
MvSl-1064-A2-R4_A2g00053	3505	2938
MvSl-1064-A2-R4_A2g00054	200	158
MvSl-1064-A2-R4_A2g00055	890	1244
MvSl-1064-A2-R4_A2g00056	2622	10652
MvSl-1064-A2-R4_A2g00057	555	777
MvSl-1064-A2-R4_A2g00058	30	31
MvSl-1064-A2-R4_A2g00059	215	200
MvSl-1064-A2-R4_A2g00060	115	220
MvSl-1064-A2-R4_A2g00061	3166	3468
MvSl-1064-A2-R4_A2g00062	1588.37	1603.63
MvSl-1064-A2-R4_A2g00063	1210	1128
MvSl-1064-A2-R4_A2g00064	6552	8757
MvSl-1064-A2-R4_A2g00065	3457	3841
MvSl-1064-A2-R4_A2g00066	7574.65	6188.36
MvSl-1064-A2-R4_A2g00067	1501	1487
MvSl-1064-A2-R4_A2g00068	645	747
MvSl-1064-A2-R4_A2g00069	2719	1688
MvSl-1064-A2-R4_A2g00070	2548	3381
MvSl-1064-A2-R4_A2g00071	679	616
MvSl-1064-A2-R4_A2g00072	4134	3056
MvSl-1064-A2-R4_A2g00073	1492	488
MvSl-1064-A2-R4_A2g00074	7162	10486
MvSl-1064-A2-R4_A2g00075	4	27
MvSl-1064-A2-R4_A2g00076	2972	2684
MvSl-1064-A2-R4_A2g00077	2120	1866
MvSl-1064-A2-R4_A2g00078	3488	2966
MvSl-1064-A2-R4_A2g00079	1000	1230
MvSl-1064-A2-R4_A2g00080	624	1027
MvSl-1064-A2-R4_A2g00081	530.262	926.293
MvSl-1064-A2-R4_A2g00082	0	0
MvSl-1064-A2-R4_A2g00083	30.2713	46.7351
MvSl-1064-A2-R4_A2g00084	1.52084	0
MvSl-1064-A2-R4_A2g00085	0	0.309011
MvSl-1064-A2-R4_A2g00086	5.08906	2.98703
MvSl-1064-A2-R4_A2g00087	98.9865	71.543
MvSl-1064-A2-R4_A2g00088	12.6262	18.6535
MvSl-1064-A2-R4_A2g00089	0	0
MvSl-1064-A2-R4_A2g00090	12.6262	18.6535
MvSl-1064-A2-R4_A2g00091	0	0
MvSl-1064-A2-R4_A2g00092	12.6262	18.6535
MvSl-1064-A2-R4_A2g00093	0	0
MvSl-1064-A2-R4_A2g00094	12.6262	18.6535
MvSl-1064-A2-R4_A2g00095	0	0
MvSl-1064-A2-R4_A2g00096	0	0
MvSl-1064-A2-R4_A2g00097	0	0
MvSl-1064-A2-R4_A2g00098	0	0
MvSl-1064-A2-R4_A2g00099	38.024	51.6374
MvSl-1064-A2-R4_A2g00100	7.1218	8.0424
MvSl-1064-A2-R4_A2g00101	24.5	32.5
MvSl-1064-A2-R4_A2g00102	0.53256	0
MvSl-1064-A2-R4_A2g00103	0.239582	0.5
MvSl-1064-A2-R4_A2g00104	0	0.309011
MvSl-1064-A2-R4_A2g00105	5.08906	2.98703
MvSl-1064-A2-R4_A2g00106	98.9865	71.543
MvSl-1064-A2-R4_A2g00107	0	0
MvSl-1064-A2-R4_A2g00108	0	0
MvSl-1064-A2-R4_A2g00109	0	0
MvSl-1064-A2-R4_A2g00110	38.024	51.6374
MvSl-1064-A2-R4_A2g00111	7.1218	8.0424
MvSl-1064-A2-R4_A2g00112	24.5	32.5
MvSl-1064-A2-R4_A2g00113	0.53256	0
MvSl-1064-A2-R4_A2g00114	0.239582	0.5
MvSl-1064-A2-R4_A2g00115	0	0.309011
MvSl-1064-A2-R4_A2g00116	13.6868	14.2835
MvSl-1064-A2-R4_A2g00117	42.4018	76.9723
MvSl-1064-A2-R4_A2g00118	552	807
MvSl-1064-A2-R4_A2g00119	2351	3099
MvSl-1064-A2-R4_A2g00120	5858	5305
MvSl-1064-A2-R4_A2g00121	1	1
