gene	MintM1	MintM2	MintM3	gene2	MvSlM1	MvSlM2
MinSal-1389-A1-17072018_C001g00002	0	0	0	MvSl-1064-A1-R4_MC06g07541	38.9053	46.2182
MinSal-1389-A1-17072018_C001g00004	0	0	0	MvSl-1064-A1-R4_MC01-1g01708	1852	4165
MinSal-1389-A1-17072018_C001g00007	931	1176	664	MvSl-1064-A1-R4_MC01-1g01711	4034	3035
MinSal-1389-A1-17072018_C001g00008	0	0	0	MvSl-1064-A1-R4_MC01-1g01712	3331	3636
MinSal-1389-A1-17072018_C001g00009	345	233	205	MvSl-1064-A1-R4_MC01-1g01713	533	534
MinSal-1389-A1-17072018_C001g00010	0	0	0	MvSl-1064-A1-R4_MC01-1g01714	1	0
MinSal-1389-A1-17072018_C001g00011	467	685	222	MvSl-1064-A1-R4_MC01-1g01725	1579	1165
MinSal-1389-A1-17072018_C001g00012	153	196	122	MvSl-1064-A1-R4_MC01-1g01726	3092	2603
MinSal-1389-A1-17072018_C001g00013	2874	3820	2038	MvSl-1064-A1-R4_MC01-1g01728	4048.36	3150.34
MinSal-1389-A1-17072018_C001g00014	0	0	0	MvSl-1064-A1-R4_MC01-1g01729	1161	882
MinSal-1389-A1-17072018_C001g00015	61	116	59	MvSl-1064-A1-R4_MC01-1g01730	686	828
MinSal-1389-A1-17072018_C001g00016	13186	16042	8057	MvSl-1064-A1-R4_MC01-1g01731	33254	42622
MinSal-1389-A1-17072018_C001g00017	0	0	0	MvSl-1064-A1-R4_MC01-1g01732	6	4
MinSal-1389-A1-17072018_C001g00018	0	0	0	MvSl-1064-A1-R4_MC01-1g01733	1	1
MinSal-1389-A1-17072018_C001g00019	227	204	89	MvSl-1064-A1-R4_MC01-1g01734	435	412
MinSal-1389-A1-17072018_C001g00020	1008	652	530	MvSl-1064-A1-R4_MC01-1g01735	19	45
MinSal-1389-A1-17072018_C001g00021	450	633	218	MvSl-1064-A1-R4_MC01-1g01743	2162	1949
MinSal-1389-A1-17072018_C001g00022	0	1	0	MvSl-1064-A1-R4_MC01-1g01744	6189	5949
MinSal-1389-A1-17072018_C001g00027	0	0	0	MvSl-1064-A1-R4_MC01-1g01748	897	749
MinSal-1389-A1-17072018_C001g00028	597	779	413	MvSl-1064-A1-R4_MC01-1g01751	5297	4632
MinSal-1389-A1-17072018_C001g00030	455	643	259	MvSl-1064-A1-R4_MC01-1g01754	779	738
MinSal-1389-A1-17072018_C001g00031	0	1	0	MvSl-1064-A1-R4_MC01-1g01755	2291	2506
MinSal-1389-A1-17072018_C001g00032	196	237	100	MvSl-1064-A1-R4_MC01-1g01756	1077.28	925.693
MinSal-1389-A1-17072018_C001g00033	84	138	75	MvSl-1064-A1-R4_MC01-1g01760	25412.3	51244.8
MinSal-1389-A1-17072018_C001g00035	113	119	33	MvSl-1064-A1-R4_MC01-1g01766	1684	1715
MinSal-1389-A1-17072018_C001g00036	0	2	0	MvSl-1064-A1-R4_MC01-1g01767	1384	1783
MinSal-1389-A1-17072018_C001g00037	1282	1087	1785	MvSl-1064-A1-R4_MC01-1g01768	1881	3927
MinSal-1389-A1-17072018_C001g00038	134	151	64	MvSl-1064-A1-R4_MC01-1g01769	1936	2127
MinSal-1389-A1-17072018_C001g00039	2135	1902	1296	MvSl-1064-A1-R4_MC01-1g01770	3287	3350
MinSal-1389-A1-17072018_C001g00040	3208	3418	1699	MvSl-1064-A1-R4_MC01-1g01771	4034	4263
MinSal-1389-A1-17072018_C001g00042	0	0	0	MvSl-1064-A1-R4_MC01-1g01778	8	12
MinSal-1389-A1-17072018_C001g00045	473	595	258	MvSl-1064-A1-R4_MC01-1g01780	1200	1234
MinSal-1389-A1-17072018_C001g00047	2303	2542	1105	MvSl-1064-A1-R4_MC01-1g01796	3769	3731
MinSal-1389-A1-17072018_C001g00048	0	0	0	MvSl-1064-A1-R4_MC01-1g01797	341	343
MinSal-1389-A1-17072018_C001g00050	159	203	118	MvSl-1064-A1-R4_MC01-1g01799	1028	1231
MinSal-1389-A1-17072018_C001g00051	6953	8484	3122	MvSl-1064-A1-R4_MC01-1g01800	7039	4661
MinSal-1389-A1-17072018_C001g00052	70	70	43	MvSl-1064-A1-R4_MC01-1g01801	2310	1998
MinSal-1389-A1-17072018_C001g00053	899	935	580	MvSl-1064-A1-R4_MC01-1g01802	8740	7765
MinSal-1389-A1-17072018_C001g00054	9162	9480	5626	MvSl-1064-A1-R4_MC01-1g01803	8473	6466
MinSal-1389-A1-17072018_C001g00056	749	934	318	MvSl-1064-A1-R4_MC01-1g01804	1069	778
MinSal-1389-A1-17072018_C001g00057	314	256	85	MvSl-1064-A1-R4_MC01-1g01805	2854	2668
MinSal-1389-A1-17072018_C001g00058	1105	1162	856	MvSl-1064-A1-R4_MC01-1g01806	4420	4726
MinSal-1389-A1-17072018_C001g00059	0	0	0	MvSl-1064-A1-R4_MC01-1g01808	1414.96	1937.98
MinSal-1389-A1-17072018_C001g00060	2580	2586	1509	MvSl-1064-A1-R4_MC01-1g01809	3996	4271
MinSal-1389-A1-17072018_C001g00061	0	0	0	MvSl-1064-A1-R4_MC01-1g01810	389	377
MinSal-1389-A1-17072018_C001g00062	124	115	90	MvSl-1064-A1-R4_MC01-1g01811	431	379
MinSal-1389-A1-17072018_C001g00063	1092	1184	699	MvSl-1064-A1-R4_MC01-1g01812	1867	1630
MinSal-1389-A1-17072018_C001g00064	409	383	395	MvSl-1064-A1-R4_MC01-1g01813	1709	1390
MinSal-1389-A1-17072018_C001g00065	26	18	28	MvSl-1064-A1-R4_MC01-1g01814	608	902
