gene	genename	chr	start	end
MvSl-1064-A1-R4_A1g00001	MvSl-1064-A1-R4_A1	MAT	1	453
MvSl-1064-A1-R4_A1g00012	MvSl-1064-A1-R4_A1	MAT	26008	26178
MvSl-1064-A1-R4_A1g00088	MvSl-1064-A1-R4_A1	MAT	206579	207529
MvSl-1064-A1-R4_A1g00090	MvSl-1064-A1-R4_A1	MAT	209408	209716
MvSl-1064-A1-R4_A1g00094	MvSl-1064-A1-R4_A1	MAT	215113	216890
MvSl-1064-A1-R4_A1g00095	MvSl-1064-A1-R4_A1	MAT	217252	218206
MvSl-1064-A1-R4_A1g00096	MvSl-1064-A1-R4_A1	MAT	218396	218626
MvSl-1064-A1-R4_A1g00101	MvSl-1064-A1-R4_A1	MAT	224546	224905
MvSl-1064-A1-R4_A1g00103	MvSl-1064-A1-R4_A1	MAT	226869	229344
MvSl-1064-A1-R4_A1g00105	MvSl-1064-A1-R4_A1	MAT	231277	231462
MvSl-1064-A1-R4_A1g00114	MvSl-1064-A1-R4_A1	MAT	258422	259176
MvSl-1064-A1-R4_A1g00117	MvSl-1064-A1-R4_A1	MAT	267885	268632
MvSl-1064-A1-R4_A1g00121	MvSl-1064-A1-R4_A1	MAT	274757	275079
MvSl-1064-A1-R4_A1g00123	MvSl-1064-A1-R4_A1	MAT	281578	282184
MvSl-1064-A1-R4_A1g00124	MvSl-1064-A1-R4_A1	MAT	282374	283117
MvSl-1064-A1-R4_A1g00125	MvSl-1064-A1-R4_A1	MAT	283790	285460
MvSl-1064-A1-R4_A1g00131	MvSl-1064-A1-R4_A1	MAT	292914	293328
MvSl-1064-A1-R4_A1g00135	MvSl-1064-A1-R4_A1	MAT	302447	302932
MvSl-1064-A1-R4_A1g00138	MvSl-1064-A1-R4_A1	MAT	309330	310429
MvSl-1064-A1-R4_A1g00139	MvSl-1064-A1-R4_A1	MAT	311724	312921
MvSl-1064-A1-R4_A1g00140	MvSl-1064-A1-R4_A1	MAT	312988	313287
MvSl-1064-A1-R4_A1g00145	MvSl-1064-A1-R4_A1	MAT	321322	321920
