"","gid","gname","chr","start","end","logCPM","logFC.water.rich","logFC.water.diploid","logFC.rich.diploid","PV.water.rich","PV.water.diploid","PV.rich.diploid","FDR.water.rich","FDR.water.diploid","FDR.rich.diploid","water1","water2","rich1","rich2","di1","di2","ratio"
"1","MvSl-1064-A1-R4_A1g00001","MvSl-1064-A1-R4_A1","aMAT",1,453,0.65591051057266,0.474403915151806,-0.604213235255925,-1.07861715040773,0.480788629714011,0.354876901736683,0.104386999253776,0.567554252492466,0.629254047085494,0.153664878091139,0.822679425697286,0.199697799123947,0.836285617799632,-1.35533155690652,1.52468721274158,0.563101705069462,NA
"2","MvSl-1064-A1-R4_A1g00002","MvSl-1064-A1-R4_A1","aMAT",1057,1350,4.36512205111789,-0.230378497966797,0.137750058251252,0.368128556218049,0.434855510539732,0.640747257524907,0.211430545348868,0.521953377280898,0.844293309459066,0.281546509788104,4.45070368070204,4.19113274459205,4.7108938081121,4.38518717482388,4.33005166814447,4.03345478418843,0.121099572577989
"3","MvSl-1064-A1-R4_A1g00003","MvSl-1064-A1-R4_A1","aMAT",2563,6967,4.92490328174386,1.24016923401552,0.115208090477259,-1.12496114353826,0.000325729897404592,0.73324702635498,0.00107365671271136,0.000919937938311568,0.893166812423091,0.00258651283154891,5.47057650607765,5.05699400875156,4.49176041992119,3.39536701656016,5.07891279202264,5.24347560146192,-0.388088171545056
"4","MvSl-1064-A1-R4_A1g00004","MvSl-1064-A1-R4_A1","aMAT",7783,9967,6.55788184133077,-1.14654425076048,0.000343206509090629,1.14688745726957,5.63444817602644e-07,0.998793475295093,5.37957996805182e-07,2.72405170623744e-06,0.999445115877479,2.43077317074934e-06,6.10102549610429,6.03483676528481,7.06806089154755,7.346079316782,6.14698842933101,5.98429999137553,0.248701023602713
"5","MvSl-1064-A1-R4_A1g00005","MvSl-1064-A1-R4_A1","aMAT",10297,11118,5.93578603817928,-0.512078305855812,-0.236704375302913,0.275373930552899,0.0300212714269768,0.315080289952232,0.241112713197669,0.0526384322642628,0.593403736039632,0.31504374346415,5.57241691702104,5.76368951607386,6.02102804629178,6.32727147931864,5.94441299109116,5.86990137977293,0.0637621839249137
"6","MvSl-1064-A1-R4_A1g00006","MvSl-1064-A1-R4_A1","aMAT",11416,12757,8.06689091414758,-1.79239990301316,0.110387937335225,1.90278784034839,6.42273119904672e-11,0.678939177559163,4.71681150937603e-12,6.04470759133139e-10,0.865920610598974,4.54303424324112e-11,7.10977372967518,7.32577326834912,8.77450373569671,9.21872601253024,7.0300534871513,7.18859223522057,0.339612498161343
"7","MvSl-1064-A1-R4_A1g00007","MvSl-1064-A1-R4_A1","aMAT",13778,17299,7.63334124938078,0.137059553985046,-0.230440112075632,-0.367499666060677,0.565771013736314,0.334080632044482,0.123745474940027,0.646198195840673,0.6101247100099,0.178053676258422,7.49373773826408,7.68796355478641,7.49326710479619,7.42013735726051,7.78144378058619,7.8662862055676,-0.0693314564138247
"8","MvSl-1064-A1-R4_A1g00008","MvSl-1064-A1-R4_A1","aMAT",17742,19664,7.24828257571262,0.839756501191092,0.505368454138835,-0.334388047052257,0.000924233085286914,0.0450703440675446,0.184716983444251,0.00235758165947478,0.167101552762191,0.250428485443283,7.34561815724423,7.90929685007097,6.85117201668415,6.77904374813404,7.02665873352845,7.2630726809599,-0.0681571779492234
"9","MvSl-1064-A1-R4_A1g00009","MvSl-1064-A1-R4_A1","aMAT",21256,22638,7.2318395344211,0.22200827166481,0.998232506971588,0.776224235306778,0.541438037175366,0.00654036818129504,0.0337936444480079,0.624369732642692,0.0397245964152167,0.0566110856815077,7.07353801733992,7.95303609432202,7.01861591856418,7.63128546616756,5.96031673188822,7.01456491361645,0.175135164354409
"10","MvSl-1064-A1-R4_A1g00010","MvSl-1064-A1-R4_A1","aMAT",23065,24689,2.76502688485428,-1.90084245893724,0.758753889765203,2.65959634870244,3.55030784455731e-06,0.0688957646420521,3.107472734556e-10,1.48914015789114e-05,0.224992711894501,2.3603417035267e-09,1.58592983894508,2.23717461012327,3.37377804272644,4.17125962052552,0.890128231706972,1.47061124825618,1.67515334835813
