gid	gname	chr	start	end	logCPM	logFC.water.diploid	FDR.water.diploid	share
MvSl-1064-A1-R4_A1g00040	MvSl-1064-A1-R4_A1	aMAT	82438	84133	0.133698531	1.610984942	0.010730034	yes
MvSl-1064-A1-R4_A1g00081	MvSl-1064-A1-R4_A1	aMAT	187675	189438	5.080328091	1.220813058	0.001525121	no
MvSl-1064-A1-R4_A1g00087	MvSl-1064-A1-R4_A1	aMAT	196814	206310	4.147606917	1.009620647	0.011826995	no
MvSl-1064-A1-R4_A1g00088	MvSl-1064-A1-R4_A1	aMAT	206579	207529	1.600462312	1.722149904	0.000466956	no
MvSl-1064-A1-R4_A1g00093	MvSl-1064-A1-R4_A1	aMAT	213824	214246	1.280254926	1.245953685	0.038115292	no
MvSl-1064-A1-R4_A1g00101	MvSl-1064-A1-R4_A1	aMAT	224546	224905	0.730126632	2.131644884	0.000683644	no
MvSl-1064-A1-R4_A1g00114	MvSl-1064-A1-R4_A1	aMAT	258422	259176	4.187667954	1.208528936	0.000685308	no
MvSl-1064-A1-R4_A1g00126	MvSl-1064-A1-R4_A1	aMAT	285843	286896	6.349096859	1.233004128	1.17E-06	no
MvSl-1064-A1-R4_A1g00127	MvSl-1064-A1-R4_A1	aMAT	287412	287603	13.85189256	5.382462839	2.48E-13	no
MvSl-1064-A1-R4_A1g00128	MvSl-1064-A1-R4_A1	aMAT	288247	288456	5.763456802	4.504160863	5.08E-45	no
MvSl-1064-A1-R4_A1g00130	MvSl-1064-A1-R4_A1	aMAT	290774	291135	4.806138051	2.2280178	1.53E-07	no
MvSl-1064-A1-R4_A1g00136	MvSl-1064-A1-R4_A1	aMAT	303034	307854	5.342270674	1.219177214	0.000421657	no
MvSl-1064-A1-R4_A1g00151	MvSl-1064-A1-R4_A1	aMAT	331571	333481	4.947722566	1.085034548	0.000308226	no
MvSl-1064-A1-R4_A1g00158	MvSl-1064-A1-R4_A1	aMAT	349059	350492	7.5384187	1.024733778	0.021015269	no
MvSl-1064-A1-R4_A1g00159	MvSl-1064-A1-R4_A1	aMAT	350690	351442	4.94366883	1.386668924	0.00136644	no
MvSl-1064-A1-R4_A1g00160	MvSl-1064-A1-R4_A1	aMAT	351935	353504	2.187863501	1.50142635	0.00120632	no
MvSl-1064-A1-R4_A1g00166	MvSl-1064-A1-R4_A1	aMAT	361362	366328	6.197234682	1.807761547	1.72E-11	no
MvSl-1064-A1-R4_A1g00173	MvSl-1064-A1-R4_A1	aMAT	378060	378408	9.654253572	5.474414801	2.37E-22	no
MvSl-1064-A1-R4_A1g00174	MvSl-1064-A1-R4_A1	aMAT	379397	379588	14.80567842	5.587198824	3.01E-12	no
MvSl-1064-A1-R4_A1g00189	MvSl-1064-A1-R4_A1	aMAT	416903	421996	9.778608926	1.448459577	0.000317644	no
MvSl-1064-A1-R4_A1g00190	MvSl-1064-A1-R4_A1	aMAT	422409	423645	3.273436816	1.222115632	0.002414404	no
MvSl-1064-A1-R4_A1g00201	MvSl-1064-A1-R4_A1	aMAT	446323	447356	5.314066576	1.939246184	5.71E-09	no
MvSl-1064-A1-R4_A1g00219	MvSl-1064-A1-R4_A1	aMAT	497168	498774	3.8062604	1.198928965	0.004153999	no
MvSl-1064-A1-R4_A1g00234	MvSl-1064-A1-R4_A1	aMAT	529154	529949	1.386724822	2.602621891	4.93E-06	no
MvSl-1064-A1-R4_A1g00235	MvSl-1064-A1-R4_A1	aMAT	530216	533836	6.396331615	2.109501548	2.39E-15	no
MvSl-1064-A1-R4_A1g00236	MvSl-1064-A1-R4_A1	aMAT	534384	537432	8.429456583	1.850318113	9.91E-10	no
MvSl-1064-A1-R4_A1g00239	MvSl-1064-A1-R4_A1	aMAT	540556	541585	4.540586276	1.659550523	2.79E-05	no
MvSl-1064-A1-R4_A1g00271	MvSl-1064-A1-R4_A1	aMAT	623358	624360	0.20628686	1.365255186	0.032748407	no
MvSl-1064-A1-R4_A1g00279	MvSl-1064-A1-R4_A1	aMAT	639803	640297	1.860570121	1.486579327	0.000976293	no
MvSl-1064-A1-R4_A1g00294	MvSl-1064-A1-R4_A1	aMAT	682868	684833	3.849704895	1.034523864	0.01048072	no
MvSl-1064-A1-R4_A1g00306	MvSl-1064-A1-R4_A1	aMAT	702770	704112	8.960178345	4.5452614	6.67E-22	no
MvSl-1064-A1-R4_A1g00308	MvSl-1064-A1-R4_A1	aMAT	706792	707620	3.933304268	1.300331111	0.00057748	no
MvSl-1064-A1-R4_A1g00312	MvSl-1064-A1-R4_A1	aMAT	718774	719371	7.924481467	3.128280748	1.77E-25	no
MvSl-1064-A1-R4_A1g00313	MvSl-1064-A1-R4_A1	aMAT	720102	722483	8.123551478	2.753168984	5.67E-15	no
