Seq10000.fa	591	591	591	100.0	591	591	0
Seq10001.fa	816	816	816	100.0	816	816	0
Seq10002.fa	1932	1932	1932	100.0	1929	1932	3
Seq10003.fa	1629	1629	1629	100.0	1629	1629	0
Seq10004.fa	435	435	435	100.0	435	435	0
Seq10005.fa	588	588	588	100.0	588	588	0
Seq10006.fa	2460	2460	2460	100.0	2460	2460	0
Seq10007.fa	1377	1377	1377	100.0	1377	1377	0
Seq10008.fa	1992	1992	1992	100.0	1992	1992	0
Seq10009.fa	1458	1458	1458	100.0	1458	1458	0
Seq1000.fa	516	516	516	100.0	516	516	0
Seq10010.fa	2433	2433	2433	100.0	2433	2433	0
Seq10011.fa	1308	1308	1308	100.0	1308	1308	0
Seq10012.fa	1299	1299	1299	100.0	1299	1299	0
Seq10013.fa	591	591	591	100.0	591	591	0
Seq10014.fa	4515	4515	4515	100.0	4515	4515	0
Seq10015.fa	1491	1491	1491	100.0	1491	1491	0
Seq10016.fa	624	624	624	100.0	624	624	0
Seq10017.fa	1842	1842	1842	100.0	1842	1842	0
Seq10018.fa	1971	1971	1971	100.0	1971	1971	0
Seq10019.fa	1245	1245	1245	100.0	1245	1245	0
Seq1001.fa	2307	2307	2307	100.0	2307	2307	0
Seq10020.fa	777	777	777	100.0	777	777	0
Seq10021.fa	435	435	435	100.0	435	435	0
Seq10022.fa	138	138	138	100.0	138	138	0
Seq10023.fa	1548	1548	1548	100.0	1548	1548	0
Seq10024.fa	282	282	282	100.0	282	282	0
Seq10025.fa	2052	2052	2052	100.0	2052	2052	0
Seq10026.fa	2607	2607	2607	100.0	2607	2607	0
Seq10027.fa	5076	5076	5076	100.0	5076	5076	0
Seq10028.fa	1071	1071	1071	100.0	1071	1071	0
Seq10029.fa	1743	1743	1743	100.0	1743	1743	0
Seq1002.fa	1788	1788	1788	100.0	1788	1788	0
Seq10030.fa	237	237	237	100.0	237	237	0
Seq10031.fa	1725	1725	1725	100.0	1725	1725	0
Seq10032.fa	195	195	195	100.0	195	195	0
Seq10033.fa	1878	1878	1878	100.0	1878	1878	0
Seq10034.fa	834	834	834	100.0	834	834	0
Seq10035.fa	1320	1320	1320	100.0	1320	1320	0
Seq10036.fa	945	945	945	100.0	945	945	0
Seq10037.fa	1683	1683	1683	100.0	1683	1683	0
Seq10038.fa	165	165	165	100.0	165	165	0
Seq10039.fa	156	156	156	100.0	156	156	0
Seq1003.fa	807	807	807	100.0	807	807	0
Seq10040.fa	291	291	291	100.0	291	291	0
Seq10041.fa	666	666	666	100.0	666	666	0
Seq10042.fa	231	231	231	100.0	231	231	0
Seq10043.fa	480	480	480	100.0	480	480	0
Seq10044.fa	156	156	156	100.0	156	156	0
Seq10045.fa	198	198	198	100.0	198	198	0
Seq10046.fa	315	315	315	100.0	315	315	0
Seq10047.fa	384	384	384	100.0	384	384	0
Seq10048.fa	135	135	135	100.0	135	135	0
