gene A1 A2 location chr start end log2FC intron_nr mean sum group ave_count
MvSl-1064-A1-R4_A1g00003	5.69222383990987	5.26643230139265	MvSl-1064-A1-R4_A1	aMAT	3408016	3408225	0.871198494	4	4503	125.5	NONDE	5.479328
MvSl-1064-A1-R4_A1g00004 6.32261373570641 6.2441503314045 MvSl-1064-A1-R4_A1 aMAT 2563 6967 -0.092774478 4 9746 75.25 NONDE 6.28338
MvSl-1064-A1-R4_A1g00006 7.33130772771547 7.5350107578012 MvSl-1064-A1-R4_A1 aMAT 10297 11118 0.008686399 3 11793 308.333 NONDE 7.43316
MvSl-1064-A1-R4_A1g00007 7.71525921366764 7.89718937015599 MvSl-1064-A1-R4_A1 aMAT 11416 12757 0.210262502 5 16606 103.2 NONDE 7.80622
MvSl-1064-A1-R4_A1g00008 7.56714407313436 8.11851684719279 MvSl-1064-A1-R4_A1 aMAT 13778 17299 0.432991252 3 19558 85 NONDE 7.84283
MvSl-1064-A1-R4_A1g00009 7.2950733784458 8.16225504356473 MvSl-1064-A1-R4_A1 aMAT 17742 19664 0.706101624 2 22148 121.5 NONDE 7.72866
MvSl-1064-A1-R4_A1g00010 1.80987388521193 2.44814765649798 MvSl-1064-A1-R4_A1 aMAT 21256 22638 0.529466874 4 23532 152.75 NONDE 2.12901
MvSl-1064-A1-R4_A1g00011 1.04833890739762 2.0051100876616 MvSl-1064-A1-R4_A1 aMAT 23065 24689 0.617651921 2 25119 67.5 NONDE 1.52672
MvSl-1064-A1-R4_A1g00013 6.16557073657714 6.08787910201436 MvSl-1064-A1-R4_A1 aMAT 25010 25687 0.051676877 6 29488 75.6667 NONDE 6.12672
MvSl-1064-A1-R4_A1g00014 1.31858419737225 2.57833288593044 MvSl-1064-A1-R4_A1 aMAT 27672 29826 -0.536342383 3 31616 74 NONDE 1.94846
MvSl-1064-A1-R4_A1g00015 1.3490653228404 3.07829066646564 MvSl-1064-A1-R4_A1 aMAT 31145 31816 -0.530987916 2 32264 42 NONDE 2.21368
MvSl-1064-A1-R4_A1g00017 0.282163865241931 0.965564000384688 MvSl-1064-A1-R4_A1 aMAT 32832 32999 -0.889547079 8 35962 87.375 NONDE 0.623864
MvSl-1064-A1-R4_A1g00019 1.74258491218306 1.67339663165314 MvSl-1064-A1-R4_A1 aMAT 37426 37720 0.040083759 3 39184 216.667 NONDE 1.70799
MvSl-1064-A1-R4_A1g00021 5.83904137556726 5.45789528401717 MvSl-1064-A1-R4_A1 aMAT 39845 40120 1.514094485 1 142 142 DE 5.64847
MvSl-1064-A1-R4_A1g00023 1.2874451439019 1.11033881986308 MvSl-1064-A1-R4_A1 aMAT 41703 42358 0.460352738 4 42621 203 NONDE 1.19889
MvSl-1064-A1-R4_A1g00025 1.1897801079485 0.238559882256371 MvSl-1064-A1-R4_A1 aMAT 44670 45575 -0.216576115 7 46867 87.7143 NONDE 0.71417
MvSl-1064-A1-R4_A1g00026 5.70994699892502 5.30078863150841 MvSl-1064-A1-R4_A1 aMAT 46588 48824 -0.188268234 13 55480 92.1538 NONDE 5.50537
MvSl-1064-A1-R4_A1g00028 2.78965326601158 3.0694610825003 MvSl-1064-A1-R4_A1 aMAT 56765 57706 -0.69499053 3 59828 56.6667 NONDE 2.92956
MvSl-1064-A1-R4_A1g00029 2.15858342398113 2.05963069950411 MvSl-1064-A1-R4_A1 aMAT 59218 59891 1.067582076 2 60425 77 NONDE 2.10911
MvSl-1064-A1-R4_A1g00030 5.62686581784439 5.71870253056019 MvSl-1064-A1-R4_A1 aMAT 60303 60627 0.185886544 1 61018 85 NONDE 5.67278
MvSl-1064-A1-R4_A1g00031 4.48281534045059 4.65799824298327 MvSl-1064-A1-R4_A1 aMAT 60777 61230 -0.118574157 7 62981 93.5714 NONDE 4.57041
MvSl-1064-A1-R4_A1g00032 9.34844140171884 9.38866178415308 MvSl-1064-A1-R4_A1 aMAT 61566 63177 0.061240754 12 66033 93.6667 NONDE 9.36855
MvSl-1064-A1-R4_A1g00033 4.43388589515136 4.4594064326144 MvSl-1064-A1-R4_A1 aMAT 63513 66190 -0.284616013 3 67285 51.6667 NONDE 4.44665
