target_id	length	eff_length	est_counts	meantpm
MvSl-1064-A1-R4_A1g00001	453	165.285	37.0852	1.51063
MvSl-1064-A1-R4_A1g00002	294	67.5815	476.728	53.1379
MvSl-1064-A1-R4_A1g00003	4405	4072.99	968.523	1.75278
MvSl-1064-A1-R4_A1g00004	2185	1852.99	1501	6.67061
MvSl-1064-A1-R4_A1g00005	822	493.18	1040	18.9459
MvSl-1064-A1-R4_A1g00006	1342	1009.99	3022	27.2414
MvSl-1064-A1-R4_A1g00007	3522	3189.99	3944	11.1764
MvSl-1064-A1-R4_A1g00008	1923	1590.99	3559	23.3807
MvSl-1064-A1-R4_A1g00009	1383	1050.99	2947	33.591
MvSl-1064-A1-R4_A1g00010	1625	1292.99	63.5081	0.538843
MvSl-1064-A1-R4_A1g00011	678	356.311	36.6436	1.30103
MvSl-1064-A1-R4_A1g00012	171	25.706	3.35636	0.67791
MvSl-1064-A1-R4_A1g00013	2155	1822.99	1346.38	6.08258
MvSl-1064-A1-R4_A1g00014	672	351.18	44.5106	1.8555
MvSl-1064-A1-R4_A1g00015	849	519.421	46	1.65223
MvSl-1064-A1-R4_A1g00016	168	24.8977	20	8.69069
MvSl-1064-A1-R4_A1g00017	2331	1998.99	21	0.118501
MvSl-1064-A1-R4_A1g00018	295	67.9051	0	0
MvSl-1064-A1-R4_A1g00019	1436	1103.99	61.3034	0.457515
MvSl-1064-A1-R4_A1g00020	276	60.2043	59.7929	10.5513
MvSl-1064-A1-R4_A1g00021	352	97.9288	1073.1	79.5324
MvSl-1064-A1-R4_A1g00022	656	336.514	9.95741	0.169378
MvSl-1064-A1-R4_A1g00023	2126	1793.99	43.8465	0.194151
MvSl-1064-A1-R4_A1g00024	906	575.16	0	0.00716235
MvSl-1064-A1-R4_A1g00025	2237	1904.99	41	0.135684
MvSl-1064-A1-R4_A1g00026	5416	5083.99	980.825	1.42935
MvSl-1064-A1-R4_A1g00027	942	610.686	43	0.625552
MvSl-1064-A1-R4_A1g00028	674	352.928	128	3.37536
MvSl-1064-A1-R4_A1g00029	325	83.0822	81.8175	7.85347
MvSl-1064-A1-R4_A1g00030	454	166.089	925.707	47.5731
MvSl-1064-A1-R4_A1g00031	1612	1279.99	418	2.94331
MvSl-1064-A1-R4_A1g00032	2678	2345.99	12238	44.7785
MvSl-1064-A1-R4_A1g00033	956	624.376	404	5.51451
MvSl-1064-A1-R4_A1g00034	224	41.0694	1	0.101887
MvSl-1064-A1-R4_A1g00035	1386	1053.99	710	6.01535
MvSl-1064-A1-R4_A1g00036	1473	1140.99	748	5.5988
MvSl-1064-A1-R4_A1g00037	2592	2259.99	554	1.94897
MvSl-1064-A1-R4_A1g00038	1125	792.991	1	0.0209025
MvSl-1064-A1-R4_A1g00039	2917	2584.99	5457	18.7627
MvSl-1064-A1-R4_A1g00040	1696	1363.99	36	0.243876
MvSl-1064-A1-R4_A1g00041	192	32.2087	0	0.261396
MvSl-1064-A1-R4_A1g00042	528	224.785	0	0
MvSl-1064-A1-R4_A1g00043	560	251.883	9	0.484042
MvSl-1064-A1-R4_A1g00044	1005	672.991	0	0
MvSl-1064-A1-R4_A1g00045	1132	799.991	1	0.0052306
