a1	cdsa1	a2	cdsa2	cdsa2	prota1	prota2	protdiff
MvSl-1064-A1-R4_A1g00002	294	MvSl-1064-A2-R4_A2g00002	294	0	97	97	0
MvSl-1064-A1-R4_A1g00004	2185	MvSl-1064-A2-R4_A2g00004	2184	1	627	627	0
MvSl-1064-A1-R4_A1g00005	822	MvSl-1064-A2-R4_A2g00005	822	0	273	273	0
MvSl-1064-A1-R4_A1g00006	1342	MvSl-1064-A2-R4_A2g00006	1342	0	138	138	0
MvSl-1064-A1-R4_A1g00007	3522	MvSl-1064-A2-R4_A2g00007	3522	0	1001	1001	0
MvSl-1064-A1-R4_A1g00008	1923	MvSl-1064-A2-R4_A2g00008	1923	0	555	555	0
MvSl-1064-A1-R4_A1g00009	1383	MvSl-1064-A2-R4_A2g00009	1383	0	379	379	0
MvSl-1064-A1-R4_A1g00010	1625	MvSl-1064-A2-R4_A2g00010	1625	0	337	337	0
MvSl-1064-A1-R4_A1g00011	678	MvSl-1064-A2-R4_A2g00011	678	0	180	180	0
MvSl-1064-A1-R4_A1g00013	2155	MvSl-1064-A2-R4_A2g00013	2155	0	566	566	0
MvSl-1064-A1-R4_A1g00014	672	MvSl-1064-A2-R4_A2g00014	672	0	149	149	0
MvSl-1064-A1-R4_A1g00015	849	MvSl-1064-A2-R4_A2g00015	849	0	254	254	0
MvSl-1064-A1-R4_A1g00016	168	MvSl-1064-A2-R4_A2g00016	168	0	55	55	0
MvSl-1064-A1-R4_A1g00017	2331	MvSl-1064-A2-R4_A2g00017	2331	0	543	543	0
MvSl-1064-A1-R4_A1g00018	295	MvSl-1064-A2-R4_A2g00018	295	0	74	74	0
MvSl-1064-A1-R4_A1g00019	1436	MvSl-1064-A2-R4_A2g00019	1436	0	261	261	0
MvSl-1064-A1-R4_A1g00020	276	MvSl-1064-A2-R4_A2g00020	276	0	91	91	0
MvSl-1064-A1-R4_A1g00021	352	MvSl-1064-A2-R4_A2g00021	352	0	69	69	0
MvSl-1064-A1-R4_A1g00023	2126	MvSl-1064-A2-R4_A2g00023	2126	0	437	437	0
MvSl-1064-A1-R4_A1g00024	906	MvSl-1064-A2-R4_A2g00024	906	0	203	203	0
MvSl-1064-A1-R4_A1g00025	2237	MvSl-1064-A2-R4_A2g00025	2237	0	540	540	0
MvSl-1064-A1-R4_A1g00026	5416	MvSl-1064-A2-R4_A2g00026	5416	0	1405	1405	0
MvSl-1064-A1-R4_A1g00027	942	MvSl-1064-A2-R4_A2g00027	942	0	313	313	0
MvSl-1064-A1-R4_A1g00028	674	MvSl-1064-A2-R4_A2g00028	674	0	167	167	0
MvSl-1064-A1-R4_A1g00029	325	MvSl-1064-A2-R4_A2g00029	325	0	56	56	0
MvSl-1064-A1-R4_A1g00030	454	MvSl-1064-A2-R4_A2g00030	454	0	122	122	0
MvSl-1064-A1-R4_A1g00031	1612	MvSl-1064-A2-R4_A2g00031	1611	1	318	318	0
MvSl-1064-A1-R4_A1g00032	2678	MvSl-1064-A2-R4_A2g00032	2678	0	517	517	0
MvSl-1064-A1-R4_A1g00033	956	MvSl-1064-A2-R4_A2g00033	956	0	266	266	0
MvSl-1064-A1-R4_A1g00034	224	MvSl-1064-A2-R4_A2g00034	224	0	48	48	0
MvSl-1064-A1-R4_A1g00035	1386	MvSl-1064-A2-R4_A2g00035	1386	0	461	461	0
MvSl-1064-A1-R4_A1g00036	1473	MvSl-1064-A2-R4_A2g00036	1473	0	397	397	0
MvSl-1064-A1-R4_A1g00037	2592	MvSl-1064-A2-R4_A2g00037	2592	0	806	806	0
MvSl-1064-A1-R4_A1g00038	1125	MvSl-1064-A2-R4_A2g00038	1125	0	193	193	0
MvSl-1064-A1-R4_A1g00039	2917	MvSl-1064-A2-R4_A2g00039	2917	0	611	611	0
MvSl-1064-A1-R4_A1g00040	1696	MvSl-1064-A2-R4_A2g00040	1696	0	360	360	0
MvSl-1064-A1-R4_A1g00041	192	MvSl-1064-A2-R4_A2g00041	192	0	63	63	0
MvSl-1064-A1-R4_A1g00043	560	MvSl-1064-A2-R4_A2g00043	560	0	135	135	0
MvSl-1064-A1-R4_A1g00044	1005	MvSl-1064-A2-R4_A2g00044	1005	0	237	237	0
MvSl-1064-A1-R4_A1g00045	1132	MvSl-1064-A2-R4_A2g00045	1132	0	162	162	0
MvSl-1064-A1-R4_A1g00046	1461	MvSl-1064-A2-R4_A2g00046	1461	0	292	292	0
MvSl-1064-A1-R4_A1g00047	1270	MvSl-1064-A2-R4_A2g00047	1270	0	299	299	0
MvSl-1064-A1-R4_A1g00048	1572	MvSl-1064-A2-R4_A2g00048	1572	0	523	523	0
MvSl-1064-A1-R4_A1g00049	3176	MvSl-1064-A2-R4_A2g00049	3176	0	873	873	0
MvSl-1064-A1-R4_A1g00050	4700	MvSl-1064-A2-R4_A2g00050	4700	0	1493	1493	0
MvSl-1064-A1-R4_A1g00051	1417	MvSl-1064-A2-R4_A2g00051	1417	0	358	358	0
MvSl-1064-A1-R4_A1g00052	411	MvSl-1064-A2-R4_A2g00052	411	0	76	76	0
MvSl-1064-A1-R4_A1g00053	1614	MvSl-1064-A2-R4_A2g00053	1614	0	418	418	0
MvSl-1064-A1-R4_A1g00054	1704	MvSl-1064-A2-R4_A2g00054	1704	0	388	388	0
MvSl-1064-A1-R4_A1g00055	1431	MvSl-1064-A2-R4_A2g00055	1431	0	428	428	0
MvSl-1064-A1-R4_A1g00056	2299	MvSl-1064-A2-R4_A2g00056	2299	0	576	576	0
MvSl-1064-A1-R4_A1g00057	324	MvSl-1064-A2-R4_A2g00057	324	0	107	107	0
MvSl-1064-A1-R4_A1g00058	278	MvSl-1064-A2-R4_A2g00058	278	0	49	49	0
