gid	gname	chr	start	end	logCPM	logFC.A1.A2	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2
MvSl-1064-A1-R4_A1g00010	MvSl-1064-A1-R4_A1	aMAT	21256	22638	3.41267879	1.236542727	0.000955532	0.011560461	3.438880622	4.24761128	2.639984471	2.708243108
MvSl-1064-A1-R4_A1g00014	MvSl-1064-A1-R4_A1	aMAT	27672	29826	3.249573509	3.0819356	4.06E-06	0.000133819	4.818951324	2.629580118	1.632613998	0.121227457
MvSl-1064-A1-R4_A1g00015	MvSl-1064-A1-R4_A1	aMAT	31145	31816	3.179987107	3.12488596	4.50E-05	0.001021696	4.791546773	2.388755334	1.682580745	-0.53362802
MvSl-1064-A1-R4_A1g00016	MvSl-1064-A1-R4_A1	aMAT	31867	32715	0.689196351	3.040830666	4.36E-05	0.000997789	2.20665167	0.402345985	-0.598802039	-2.428640061
MvSl-1064-A1-R4_A1g00021	MvSl-1064-A1-R4_A1	aMAT	39845	40120	2.818073206	3.120388939	4.42E-12	6.67E-10	4.005299685	3.239580072	0.83952536	0.342604512
MvSl-1064-A1-R4_A1g00027	MvSl-1064-A1-R4_A1	aMAT	50171	55586	2.062914926	1.551392386	0.000194689	0.003349433	2.773364139	2.504916156	1.131017001	1.117670543
MvSl-1064-A1-R4_A1g00029	MvSl-1064-A1-R4_A1	aMAT	59218	59891	3.698927219	1.761966993	2.00E-07	9.93E-06	4.056433408	4.552138578	2.597203882	2.557255952
MvSl-1064-A1-R4_A1g00035	MvSl-1064-A1-R4_A1	aMAT	68178	68401	2.27603026	1.476718601	0.002328305	0.023261418	3.140217378	2.467225611	1.866753909	0.671506004
MvSl-1064-A1-R4_A1g00050	MvSl-1064-A1-R4_A1	aMAT	96486	99661	7.349814023	-1.043543979	9.34E-05	0.001846421	6.639981013	6.825334094	7.324382492	8.123867869
MvSl-1064-A1-R4_A1g00052	MvSl-1064-A1-R4_A1	aMAT	106474	107890	3.338250959	1.580216169	0.001591602	0.017243025	4.475019467	3.048625317	2.806976455	1.717360887
MvSl-1064-A1-R4_A1g00069	MvSl-1064-A1-R4_A1	aMAT	145335	146902	6.886188378	-1.012499839	1.55E-05	0.00041523	6.381354735	6.199320504	7.038087517	7.529747601
MvSl-1064-A1-R4_A1g00073	MvSl-1064-A1-R4_A1	aMAT	160618	163050	6.09856428	2.025888256	0.000689945	0.009060928	7.587491096	4.812876548	5.062031963	4.380012946
MvSl-1064-A1-R4_A1g00079	MvSl-1064-A1-R4_A1	aMAT	179366	179827	5.909100816	-1.039940737	1.02E-05	0.00029436	5.243455459	5.349378612	6.081463087	6.552701811
MvSl-1064-A1-R4_A1g00081	MvSl-1064-A1-R4_A1	aMAT	186136	186867	0.90410198	1.710632009	0.000555816	0.007662067	1.641214027	1.399983446	-0.521335632	0.213892726
MvSl-1064-A1-R4_A1g00375	MvSl-1064-A1-R4_A1	aMAT	355987	356282	2.993847157	5.078626877	1.53E-25	1.32E-22	3.920438484	3.992955572	-1.588653697	-0.460186878
MvSl-1064-A1-R4_A1g00209	MvSl-1064-A1-R4_A1	aMAT	380085	382864	5.253152238	1.015064374	9.91E-05	0.001937385	5.816969102	5.515540821	4.692987941	4.627487098
MvSl-1064-A1-R4_A1g00290	MvSl-1064-A1-R4_A1	aMAT	407531	411380	7.707762176	-1.304949172	9.67E-08	5.29E-06	6.858616407	6.964566692	7.921736911	8.462117144
MvSl-1064-A1-R4_A1g00641	MvSl-1064-A1-R4_A1	aMAT	545893	546933	2.574099677	2.210068901	2.17E-08	1.49E-06	3.373174375	3.217047907	1.201260112	1.043857387
MvSl-1064-A1-R4_A1g00481	MvSl-1064-A1-R4_A1	aMAT	641110	646152	2.720252481	-1.486621119	0.000211714	0.003563923	2.1131452	1.419850613	3.287830623	3.246947477
MvSl-1064-A1-R4_A1g00254	MvSl-1064-A1-R4_A1	aMAT	667810	671393	6.161348167	-2.168550857	3.28E-18	1.18E-15	4.886446257	4.499430958	6.681574134	7.03620295
MvSl-1064-A1-R4_A1g00492	MvSl-1064-A1-R4_A1	aMAT	741065	742055	3.246231134	2.158969825	8.14E-09	6.14E-07	4.1845418	3.6957792	1.807937044	1.838732948
MvSl-1064-A1-R4_A1g01282	MvSl-1064-A1-R4_A1	aMAT	817323	819348	2.452251067	-7.834346098	5.73E-31	9.85E-28	-2.990885451	-3.131596092	3.238573646	3.578548655
MvSl-1064-A1-R4_A1g00379	MvSl-1064-A1-R4_A1	aMAT	903456	904193	0.621708552	3.096050158	2.36E-07	1.15E-05	1.31708108	1.58732207	-0.767454587	-2.428640061
