gid	dn	dnse	ds	dsse	dnds	part8	youngold	start	end	logCPM	logFC.A1.A2	abs	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE	DE2
MvSl-1064-A1-R4_MC08g08848	0	0	0.0002	0.0002	0	Auto	Auto	1482388	1482704	8.393706387	0.260728499	0.260728499	0.31492303	0.897724903	8.695884335	8.315311744	8.017718526	8.463006861	NON	NON
MvSl-1064-A1-R4_MC16g12173	0	0	0.0005	0.0005	0	Auto	Auto	935	3131	4.908858034	-0.348500596	0.348500596	0.194494187	0.757674952	4.554328378	4.878196656	5.334024678	4.752879911	NON	NON
MvSl-1064-A1-R4_MC08g08299	0	0	0.0005	0.0005	0	Auto	Auto	126303	127069	7.8473475	-0.148874233	0.148874233	0.48998516	0.97963196	7.687661326	7.849903293	8.015349517	7.817598909	NON	NON
MvSl-1064-A1-R4_MC09-2g09397	0	0	0.0006	0.0006	0	Auto	Auto	1189895	1190985	7.136823797	-0.161499531	0.161499531	0.418674983	0.960176299	6.902980476	7.190591562	7.303920096	7.120894333	NON	NON
MvSl-1064-A1-R4_A1g00374	0.0018	0.0018	0.0006	0.0006	3	Red	ColorStrata	357937	361103	7.804101361	0.129086183	0.129086183	0.568857295	0.993007798	7.933944766	7.797088114	7.51105696	7.934296099	NON	NON
MvSl-1064-A1-R4_MC13g11439	0	0	0.0006	0.0006	0	Auto	Auto	346524	347257	5.765380735	-0.052581031	0.052581031	0.801487743	0.999949922	5.799128951	5.676137919	5.673000739	5.901030902	NON	NON
MvSl-1064-A1-R4_A1g00520	0	0	0.0007	0.0007	0	Black	OldStrata	2835849	2836868	5.610310146	-0.207815574	0.207815574	0.323025566	0.90276607	5.418827812	5.582774851	5.813248585	5.599786642	NON	NON
MvSl-1064-A1-R4_A1g00369	0.0037	0.0026	0.0007	0.0007	5.285714286	Red	ColorStrata	272261	274501	7.10402066	-0.086462896	0.086462896	0.655435021	0.999949922	7.007894784	7.110704082	7.253552164	7.031039363	NON	NON
MvSl-1064-A1-R4_MC01-1g02165	0	0	0.0007	0.0007	0	Auto	Auto	612588	614316	5.996172506	-0.041967475	0.041967475	0.833200121	0.999949922	5.860267628	6.081457894	5.996162055	6.03758959	NON	NON
MvSl-1064-A1-R4_MC03g04691	0.0007	0.001	0.0008	0.0007	0.875	Auto	Auto	1045842	1046461	6.751140919	0.270169931	0.270169931	0.138000406	0.650725576	6.942322012	6.814145374	6.595906997	6.623422789	NON	NON
