gida2	cdsa2	prota2	reversecdsa2	cdsa2expest	gida1	cdsa1	prota1	reversecdsa1	cdsa1expest	cdsratioa1a2	protratioa1a2	bPARt8	youngold	start	end	logCPM	logFC.A1.A2	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE
MvSl-1064-A2-R4_A2g00819	579	192	576	1.005208333	MvSl-1064-A1-R4_A1g00326	591	196	588	1.005102041	1.021	1.021	Black	OldStrata	1176446	1176679	4.168421599	-12.52042291	1.31E-71	1.95E-68	-3.367777697	-3.367777697	5.024773063	5.276875897	Down
MvSl-1064-A2-R4_MC01g03167	4634	1306	3918	1.182746299	MvSl-1064-A1-R4_MC01-1g02885	4634	1306	3918	1.182746299	1.000	1.000	Auto	Auto	2407407	2407795	0.79603768	-9.036577959	6.64E-19	1.04E-16	-3.367777697	-3.367777697	1.605693297	1.80620949	Down
MvSl-1064-A2-R4_MC01g03288	186	61	183	1.016393443	MvSl-1064-A1-R4_MC01-2g03006	186	61	183	1.016393443	1.000	1.000	Auto	Auto	2657496	2662419	3.421515587	-7.962718541	7.28E-49	4.35E-46	-2.303292362	-2.756123813	4.241035204	4.537249735	Down
MvSl-1064-A2-R4_A2g00977	261	86	258	1.011627907	MvSl-1064-A1-R4_A1g00642	210	69	207	1.014492754	0.805	0.802	Black	OldStrata	1593613	1594973	6.246468257	-7.844125104	7.43E-150	3.33E-146	-0.256752132	-0.600523601	7.153269617	7.316640139	Down
MvSl-1064-A2-R4_A2g00954	1587	304	912	1.740131579	MvSl-1064-A1-R4_A1g01021	994	246	738	1.346883469	0.626	0.809	Black	OldStrata	1488010	1490661	3.040974364	-6.875208025	6.48E-34	1.87E-31	-2.303292362	-1.998155058	4.357273912	3.537634658	Down
MvSl-1064-A2-R4_MC15g12398	641	156	468	1.36965812	MvSl-1064-A1-R4_MC15g12148	641	156	468	1.36965812	1.000	1.000	Auto	Auto	343988	344673	1.00159995	-6.841643599	6.17E-18	9.06E-16	-2.73950632	-3.367777697	1.648043249	2.138808691	Down
MvSl-1064-A2-R4_MC01g03252	795	190	570	1.394736842	MvSl-1064-A1-R4_MC01-2g02970	795	190	570	1.394736842	1.000	1.000	Auto	Auto	2574684	2576195	5.40754654	-6.83434786	1.27E-52	8.13E-50	-0.256752132	-0.298739211	5.6941778	6.857178259	Down
MvSl-1064-A2-R4_A2g00349	1018	224	672	1.514880952	MvSl-1064-A1-R4_A1g01282	1020	224	672	1.517857143	1.002	1.000	Black	OldStrata	782234	783980	2.367636335	-6.176575673	1.25E-30	3.20E-28	-1.968806006	-2.32792355	3.312346911	3.312551759	Down
MvSl-1064-A2-R4_MC09g09342	3805	1122	3366	1.130421866	MvSl-1064-A1-R4_MC09-2g09067	3805	1122	3366	1.130421866	1.000	1.000	Auto	Auto	368632	371293	4.350185885	-5.754175354	1.30E-40	5.30E-38	-0.006416232	-0.600523601	4.824686351	5.677869102	Down
MvSl-1064-A2-R4_A2g00836	671	177	531	1.263653484	MvSl-1064-A1-R4_A1g01162	697	186	558	1.249103943	1.039	1.051	Blue	OldStrata	1257109	1257735	2.994561369	-5.466824873	9.48E-32	2.57E-29	-0.804276279	-1.729917293	4.133358108	3.712472443	Down
MvSl-1064-A2-R4_MC04-1g05559	481	125	375	1.282666667	MvSl-1064-A1-R4_MC04-1g05282	481	125	375	1.282666667	1.000	1.000	Auto	Auto	23834	26392	0.310923465	-5.217276799	3.03E-12	2.92E-10	-2.73950632	-2.756123813	1.095444864	1.241090978	Down
MvSl-1064-A2-R4_MC11g10840	1852	482	1446	1.28077455	MvSl-1064-A1-R4_MC11g10576	1852	482	1446	1.28077455	1.000	1.000	Auto	Auto	1046508	1046713	2.065425528	-5.186005557	1.04E-16	1.48E-14	-0.944012749	-3.367777697	2.42097451	3.389467002	Down
MvSl-1064-A2-R4_A2g01042	586	154	462	1.268398268	MvSl-1064-A1-R4_A1g00546	490	114	342	1.432748538	0.836	0.740	Black	OldStrata	1745782	1746129	2.485640639	-5.178035206	3.20E-27	7.00E-25	-1.469159474	-1.308401875	3.55422887	3.258898	Down
MvSl-1064-A2-R4_MC06-2g07403	2258	561	1683	1.341651812	MvSl-1064-A1-R4_MC06g07138	2258	561	1683	1.341651812	1.000	1.000	Auto	Auto	775632	778789	10.1367686	-4.461926371	3.17E-35	9.79E-33	6.6749344	6.546036304	11.03980458	11.10458723	Down
MvSl-1064-A2-R4_A2g00529	1407	321	963	1.46105919	MvSl-1064-A1-R4_A1g00230	1166	229	687	1.697234352	0.829	0.713	Purple	OldStrata	919803	924298	7.931159145	-4.377708895	1.08E-61	1.07E-58	4.6857151	4.265040875	8.807265181	8.915719932	Down
MvSl-1064-A2-R4_A2g01032	389	83	249	1.562248996	MvSl-1064-A1-R4_A1g00835	404	90	270	1.496296296	1.039	1.084	Black	OldStrata	1699348	1701504	4.357868312	-4.211410331	2.88E-38	1.07E-35	0.795484859	1.380280122	5.269905346	5.275187817	Down
MvSl-1064-A2-R4_MC07g08226	432	82	246	1.756097561	MvSl-1064-A1-R4_MC07g07961	433	82	246	1.760162602	1.002	1.000	Auto	Auto	1046886	1049447	4.451821038	-4.098807213	4.24E-39	1.65E-36	1.037625052	1.54106134	5.313316174	5.407440054	Down
MvSl-1064-A2-R4_MC05g06481	502	73	219	2.292237443	MvSl-1064-A1-R4_MC05-1g06209	502	73	219	2.292237443	1.000	1.000	Auto	Auto	104091	109253	1.452454099	-3.931740917	9.91E-15	1.20E-12	-1.098749702	-1.503819643	2.225075556	2.384068171	Down
MvSl-1064-A2-R4_A2g00858	804	180	540	1.488888889	MvSl-1064-A1-R4_A1g01049	327	93	279	1.172043011	0.407	0.517	Centro	Centro	1294048	1294371	6.513988328	-3.777674322	1.15E-66	1.47E-63	3.774308316	3.498068961	7.37709628	7.442679142	Down
MvSl-1064-A2-R4_MC04-1g06102	1434	477	1431	1.002096436	MvSl-1064-A1-R4_MC04-1g05826	1434	477	1431	1.002096436	1.000	1.000	Auto	Auto	1312033	1316157	1.971927407	-3.740911112	1.35E-14	1.59E-12	-1.469159474	-0.210709988	3.013500968	2.615140007	Down
MvSl-1064-A2-R4_A2g00837	1028	226	678	1.516224189	MvSl-1064-A1-R4_A1g01163	1032	227	681	1.515418502	1.004	1.004	Blue	OldStrata	1274366	1278155	3.946239252	-3.618099128	1.08E-28	2.60E-26	1.338351876	1.166807851	4.763399885	4.877018939	Down
MvSl-1064-A2-R4_A2g01388	1477	255	765	1.930718954	MvSl-1064-A1-R4_A1g01220	1580	296	888	1.779279279	1.070	1.161	Black	OldStrata	2550475	2550711	7.577636273	-3.433543456	2.13E-53	1.47E-50	4.986849327	5.05047294	8.496865622	8.399334827	Down
MvSl-1064-A2-R4_MC11g10995	3436	948	2844	1.208157525	MvSl-1064-A1-R4_MC11g10730	3436	948	2844	1.208157525	1.000	1.000	Auto	Auto	1	1541	3.154365051	-3.427928155	4.14E-20	6.87E-18	0.392589324	0.876526105	3.845620088	4.152077424	Down
MvSl-1064-A2-R4_MC01g03109	510	122	366	1.393442623	MvSl-1064-A1-R4_MC01-1g02827	510	122	366	1.393442623	1.000	1.000	Auto	Auto	2237326	2237787	0.079794359	-3.397964571	3.19E-07	1.87E-05	-2.303292362	-1.729917293	0.450120158	1.155592611	Down
MvSl-1064-A2-R4_MC01g03205	7766	2252	6756	1.149496744	MvSl-1064-A1-R4_MC01-1g02912	7766	2252	6756	1.149496744	1.000	1.000	Auto	Auto	2505946	2508327	1.915108382	-3.208886611	1.30E-12	1.30E-10	-0.676887244	-0.049291912	2.504022074	2.921749114	Down
MvSl-1064-A2-R4_MC09g09840	871	220	660	1.31969697	MvSl-1064-A1-R4_MC09-2g09566	871	220	660	1.31969697	1.000	1.000	Auto	Auto	13356	13632	0.381852506	-3.143828712	2.34E-07	1.40E-05	-2.73950632	-0.982600945	1.03289541	1.241090978	Down
MvSl-1064-A2-R4_MC01g02251	624	207	621	1.004830918	MvSl-1064-A1-R4_MC01-1g01970	624	207	621	1.004830918	1.000	1.000	Auto	Auto	349846	350081	7.856326782	-2.966515799	5.05E-33	1.41E-30	5.820253544	5.607030949	8.465756617	8.869759549	Down
MvSl-1064-A2-R4_A2g00995	1791	270	810	2.211111111	MvSl-1064-A1-R4_A1g00349	1747	290	870	2.008045977	0.975	1.074	Black	OldStrata	1637608	1638887	11.70738415	-2.631955286	7.64E-10	6.22E-08	10.06875038	9.615201561	12.24315571	12.70341165	Down
MvSl-1064-A2-R4_A2g00577	1175	294	882	1.332199546	MvSl-1064-A1-R4_A1g00745	718	164	492	1.459349593	0.611	0.558	Black	OldStrata	1091186	1095689	6.56734286	-2.593515429	1.18E-37	4.05E-35	4.837471476	4.667653199	7.301586216	7.385932228	Down
MvSl-1064-A2-R4_MC01g03193	8100	2280	6840	1.184210526	MvSl-1064-A1-R4_MC01-1g02924	8100	2280	6840	1.184210526	1.000	1.000	Auto	Auto	2473513	2473800	0.066479194	-2.590687889	0.000115248	0.004285709	-3.367777697	-0.716990412	0.542819706	0.933868779	Down
MvSl-1064-A2-R4_MC03g05499	514	82	246	2.089430894	MvSl-1064-A1-R4_MC03g05222	514	82	246	2.089430894	1.000	1.000	Auto	Auto	2379331	2380742	4.249805442	-2.473067947	1.61E-17	2.33E-15	2.663308573	2.423646192	5.068306309	4.933761983	Down
MvSl-1064-A2-R4_MC04-2g06351	1375	310	930	1.478494624	MvSl-1064-A1-R4_MC04-1g06069	1375	310	930	1.478494624	1.000	1.000	Auto	Auto	1920608	1922496	4.059196111	-2.352162348	8.56E-16	1.14E-13	2.355852495	2.55501761	4.784910323	4.799280626	Down
MvSl-1064-A2-R4_MC11g10839	2011	565	1695	1.186430678	MvSl-1064-A1-R4_MC11g10575	2011	565	1695	1.186430678	1.000	1.000	Auto	Auto	1044430	1046324	0.321601444	-2.3451438	9.10E-05	0.003556402	-0.559839611	-1.998155058	0.587027488	1.295398697	Down
MvSl-1064-A2-R4_MC05g07024	878	206	618	1.420711974	MvSl-1064-A1-R4_MC05-3g06760	878	206	618	1.420711974	1.000	1.000	Auto	Auto	722958	723609	0.117161721	-2.341269668	0.00041968	0.012924996	-0.944012749	-1.729917293	-0.131567676	1.32180469	Down
MvSl-1064-A2-R4_MC03g05347	1513	446	1338	1.130792227	MvSl-1064-A1-R4_MC03g05070	1513	446	1338	1.130792227	1.000	1.000	Auto	Auto	2010948	2011221	1.091174813	-2.332142218	0.000795277	0.022134387	0.449547153	-2.756123813	1.539742065	1.982072626	Down
MvSl-1064-A2-R4_MC11g10607	1963	394	1182	1.660744501	MvSl-1064-A1-R4_MC11g10346	1963	394	1182	1.660744501	1.000	1.000	Auto	Auto	444488	448921	2.276039497	-2.317235571	7.22E-07	4.00E-05	1.037625052	0.348579756	2.332852805	3.432510636	Down
MvSl-1064-A2-R4_MC01g03016	1059	274	822	1.288321168	MvSl-1064-A1-R4_MC01-1g02734	1059	274	822	1.288321168	1.000	1.000	Auto	Auto	1992894	1995725	4.313666109	-2.267308223	3.90E-16	5.38E-14	2.698981676	2.859527966	5.072199505	4.994526016	Down
MvSl-1064-A2-R4_MC03g05157	3153	991	2973	1.060544904	MvSl-1064-A1-R4_MC03g04879	3153	991	2973	1.060544904	1.000	1.000	Auto	Auto	1537686	1543708	0.335524549	-2.249604219	8.03E-05	0.003213565	-0.676887244	-1.503819643	0.587027488	1.295398697	Down
MvSl-1064-A2-R4_MC03g05236	510	169	507	1.00591716	MvSl-1064-A1-R4_MC03g04959	510	169	507	1.00591716	1.000	1.000	Auto	Auto	1729459	1732205	0.279969863	-2.18587571	9.17E-05	0.003556402	-1.697459749	-0.600523601	0.933672404	0.899217479	Down
MvSl-1064-A2-R4_MC03g05187	4098	1119	3357	1.220732797	MvSl-1064-A1-R4_MC03g04909	4098	1119	3357	1.220732797	1.000	1.000	Auto	Auto	1621176	1622066	3.540591865	-2.162634387	4.46E-12	4.17E-10	2.147870734	2.048818249	4.237572487	4.237778291	Down
MvSl-1064-A2-R4_MC11g10891	2318	685	2055	1.127980535	MvSl-1064-A1-R4_MC11g10627	2318	685	2055	1.127980535	1.000	1.000	Auto	Auto	1155543	1158481	2.629579352	-2.115653978	4.24E-09	3.02E-07	1.144984764	1.322441863	3.13758889	3.46248834	Down
MvSl-1064-A2-R4_MC07g08269	2340	627	1881	1.244019139	MvSl-1064-A1-R4_MC07g08004	2340	627	1881	1.244019139	1.000	1.000	Auto	Auto	1148539	1148866	5.437988366	-2.066001177	8.72E-11	7.66E-09	4.376203888	3.670246252	5.642745653	6.486791093	Down
MvSl-1064-A2-R4_MC03g04817	4063	1340	4020	1.010696517	MvSl-1064-A1-R4_MC03g04539	4063	1340	4020	1.010696517	1.000	1.000	Auto	Auto	704605	709495	2.04721543	-2.032766443	1.92E-05	0.000898194	0.961339723	0.460066454	1.981870833	3.181706359	Down
MvSl-1064-A2-R4_MC11g10894	285	94	282	1.010638298	MvSl-1064-A1-R4_MC11g10630	285	94	282	1.010638298	1.000	1.000	Auto	Auto	1165720	1176607	2.337048813	-1.989578271	8.86E-06	0.000427064	0.704812036	1.322441863	3.420137944	2.371483155	Down
MvSl-1064-A2-R4_MC05g06686	192	63	189	1.015873016	MvSl-1064-A1-R4_MC05-2g06412	192	63	189	1.015873016	1.000	1.000	Auto	Auto	265218	269867	4.381319138	-1.975485933	3.43E-12	3.27E-10	3.216491211	2.938657068	4.872354051	5.20421874	Down
MvSl-1064-A2-R4_MC01g03069	1103	271	813	1.356703567	MvSl-1064-A1-R4_MC01-1g02787	1103	271	813	1.356703567	1.000	1.000	Auto	Auto	2147039	2147964	1.077410775	-1.959267183	9.85E-05	0.003770756	-0.168391579	-0.127744564	1.125731176	2.108794187	Down
MvSl-1064-A2-R4_MC11g10892	204	67	201	1.014925373	MvSl-1064-A1-R4_MC11g10628	204	67	201	1.014925373	1.000	1.000	Auto	Auto	1158617	1160243	0.337491544	-1.940428671	0.00019395	0.006659698	-0.804276279	-0.843691691	0.863517532	1.000770276	Down
MvSl-1064-A2-R4_A2g01188	261	36	108	2.416666667	MvSl-1064-A1-R4_A1g00959	193	37	111	1.738738739	0.739	1.028	Black	OldStrata	1984288	1990725	4.965149188	-1.92938051	4.57E-15	5.69E-13	3.711654919	3.693247618	5.71673727	5.525743438	Down
MvSl-1064-A2-R4_MC07g08514	807	237	711	1.135021097	MvSl-1064-A1-R4_MC07g08249	807	237	711	1.135021097	1.000	1.000	Auto	Auto	27681	28191	0.515437145	-1.903377956	0.000298856	0.009704149	-0.350879619	-0.982600945	0.789776042	1.373209518	Down
MvSl-1064-A2-R4_MC08-1g08634	1435	343	1029	1.394557823	MvSl-1064-A1-R4_MC08g08369	1435	343	1029	1.394557823	1.000	1.000	Auto	Auto	345347	347246	3.462087611	-1.869301096	1.55E-07	9.37E-06	2.53759432	1.89858543	3.789971004	4.357479799	Down
MvSl-1064-A2-R4_MC02g04169	2602	636	1908	1.363731656	MvSl-1064-A1-R4_MC02g03891	2602	636	1908	1.363731656	1.000	1.000	Auto	Auto	1712449	1713500	6.215976477	-1.86882734	1.98E-15	2.61E-13	5.106790927	4.883021375	6.536754326	7.132185913	Down
MvSl-1064-A2-R4_MC10g10150	399	115	345	1.156521739	MvSl-1064-A1-R4_MC10-2g09886	399	115	345	1.156521739	1.000	1.000	Auto	Auto	387329	390924	6.233690039	-1.847305117	1.26E-21	2.22E-19	5.054965421	5.012112767	6.849051293	6.906536567	Down
MvSl-1064-A2-R4_MC11g10918	609	78	234	2.602564103	MvSl-1064-A1-R4_MC11g10654	609	78	234	2.602564103	1.000	1.000	Auto	Auto	1241384	1243156	2.104420259	-1.72443753	3.87E-05	0.001677199	1.368202338	0.563552404	2.396341294	2.94741494	Down
MvSl-1064-A2-R4_MC14g12065	1665	479	1437	1.158663883	MvSl-1064-A1-R4_MC14g11804	1665	479	1437	1.158663883	1.000	1.000	Auto	Auto	176561	177297	8.571881839	-1.719572683	2.92E-11	2.67E-09	7.361518506	7.57074096	9.344429028	9.014766715	Down
MvSl-1064-A2-R4_MC11g10965	1663	402	1206	1.37893864	MvSl-1064-A1-R4_MC11g10701	1663	402	1206	1.37893864	1.000	1.000	Auto	Auto	1346106	1349576	0.153322475	-1.681675838	0.004709357	0.089989882	-0.451579696	-1.308401875	0.068785679	1.125928858	Down
MvSl-1064-A2-R4_MC10g09997	1866	443	1329	1.404063205	MvSl-1064-A1-R4_MC10-1g09730	1866	443	1329	1.404063205	1.000	1.000	Auto	Auto	201561	203436	4.392137311	-1.675871495	5.05E-09	3.57E-07	3.371909693	3.279908949	4.719392263	5.223604488	Down
MvSl-1064-A2-R4_MC05g06759	3982	1074	3222	1.235878336	MvSl-1064-A1-R4_MC05-2g06485	3982	1074	3222	1.235878336	1.000	1.000	Auto	Auto	333921	340706	1.331719559	-1.656167138	0.000205684	0.006982346	0.608055998	-0.049291912	1.668760978	2.093549477	Down
MvSl-1064-A2-R4_A2g01828	210	69	207	1.014492754	MvSl-1064-A1-R4_A1g01515	210	69	207	1.014492754	1.000	1.000	bPAR	bPAR	3408913	3409518	5.662045657	-1.618542595	1.07E-12	1.09E-10	4.821376762	4.428171971	6.212735655	6.291866304	Down
MvSl-1064-A2-R4_MC09g09619	356	79	237	1.502109705	MvSl-1064-A1-R4_MC09-2g09345	356	79	237	1.502109705	1.000	1.000	Auto	Auto	1087704	1087931	0.008084817	-1.58358485	0.007800131	0.13191897	-0.804276279	-0.982600945	-0.131567676	0.967707292	Down
