gid	gname	chr	start	end	logCPM	logFC.water.rich	logFC.water.diploid	logFC.rich.diploid	PV.water.rich	PV.water.diploid	PV.rich.diploid	FDR.water.rich	FDR.water.diploid	FDR.rich.diploid
MvSl-1064-A2-R4_A2g00014	MvSl-1064-A2-R4_A2g00014	aMAT	31094	31765	2.60528085241062	1.4039415105858	-1.03546895189663	-2.43941046248243	0.002957150217648	0.0226472390646134	3.77885054269024e-07	0.00503663691594035	0.0883178504958392	1.10649978661285e-06
MvSl-1064-A2-R4_A2g00015	MvSl-1064-A2-R4_A2g00015	aMAT	31816	32664	3.13811603467241	1.88823412465822	-1.35387636134792	-3.24211048600614	0.000370634375237599	0.00775237566419152	4.04993699407503e-09	0.00071641386381419	0.0368410320791041	1.48074453123911e-08
MvSl-1064-A2-R4_A2g00016	MvSl-1064-A2-R4_A2g00016	aMAT	32781	32948	0.0642024325845093	1.22554302311537	-1.1376764476761	-2.36321947079148	0.0537428259279942	0.0459296370128111	0.000121242681721408	0.0746644819752744	0.152014008324794	0.000257726429655439
MvSl-1064-A2-R4_A2g00019	MvSl-1064-A2-R4_A2g00019	aMAT	37910	39345	1.22566134366827	2.65182209301636	-0.440613485846331	-3.09243557886269	1.96252633805369e-08	0.264645076426971	3.86771713569733e-11	6.47537958565616e-08	0.511737935092062	1.74563425528403e-10
MvSl-1064-A2-R4_A2g00020	MvSl-1064-A2-R4_A2g00020	aMAT	39800	40075	1.34782505358431	3.83177772478334	-0.410588987950513	-4.24236671273385	2.83858048242609e-14	0.27429212329043	1.76679716393642e-17	1.67443241713344e-13	0.523409419391518	1.43522209970368e-16
MvSl-1064-A2-R4_A2g00021	MvSl-1064-A2-R4_A2g00021	aMAT	40174	40525	3.54748733965884	3.4398825003385	-0.212974290748937	-3.65285679108744	4.33079680172363e-24	0.463164506316075	8.76383424776735e-27	5.68438089913168e-23	0.701944266866984	1.39151584159386e-25
MvSl-1064-A2-R4_A2g00024	MvSl-1064-A2-R4_A2g00024	aMAT	44625	45530	1.67204469094346	0	-10.9645684228242	-10.9645684228242	1	4.17439172631205e-37	1.03672875435122e-38	1	8.47067569103241e-35	3.18746967928712e-37
MvSl-1064-A2-R4_A2g00025	MvSl-1064-A2-R4_A2g00025	aMAT	46543	48779	0.0842477660042049	2.82318106535904	0.590266429604439	-2.2329146357546	6.58328754973135e-07	0.214563995489906	0.000108514659543072	1.82198678340355e-06	0.450666755214309	0.000232031556527715
MvSl-1064-A2-R4_A2g00031	MvSl-1064-A2-R4_A2g00031	aMAT	61521	63131	3.70811686297662	5.71275729380177	0.495431937258869	-5.2173253565429	5.78541854749723e-46	0.0927812358010633	3.08756465821183e-39	2.84945905742267e-44	0.253598711863574	9.75901277950693e-38
MvSl-1064-A2-R4_A2g00035	MvSl-1064-A2-R4_A2g00035	aMAT	68749	70134	4.31245751792623	3.37993591418296	-0.245230240076585	-3.62516615425955	5.60854000293677e-21	0.440110084270617	1.48136998377963e-23	5.73631520864884e-20	0.683612509952492	1.93187401740721e-22
MvSl-1064-A2-R4_A2g00040	MvSl-1064-A2-R4_A2g00040	aMAT	82392	84087	0.108530879887122	2.24880980519739	1.74607166109932	-0.502738144098069	5.00560591176628e-06	0.000216939100711065	0.347133944067251	1.25337802519202e-05	0.00179385828509736	0.404736956619895
MvSl-1064-A2-R4_A2g00050	MvSl-1064-A2-R4_A2g00050	aMAT	101278	105977	6.57135493470161	-2.28865022276338	0.769164818894026	3.0578150416574	4.63629331405403e-16	0.00485410036738068	8.33634222403022e-26	3.26665499752723e-15	0.0250762231809798	1.23836790929737e-24
MvSl-1064-A2-R4_A2g00052	MvSl-1064-A2-R4_A2g00052	aMAT	108363	108773	5.03348826987599	-1.28615525187858	-5.47468482398201	-4.18852957210344	0.000417376432501133	7.46200460898631e-42	3.92097440451891e-29	0.000802634815041035	2.10304163229931e-39	7.39446213907972e-28
MvSl-1064-A2-R4_A2g00067	MvSl-1064-A2-R4_A2g00067	aMAT	142363	144558	4.22884404309051	4.06060807986187	-4.44135195142971	-8.50196003129158	1.49949226914027e-16	2.14869219793482e-38	5.53795009134256e-75	1.09138081511457e-15	4.84458467561037e-36	8.14319443866111e-73
MvSl-1064-A2-R4_A2g00068	MvSl-1064-A2-R4_A2g00068	aMAT	145287	146854	3.27823707565007	0.104915678725921	-3.61239956287155	-3.71731524159747	0.782478354389101	1.47000056322722e-21	1.12606981913205e-22	0.817697536680587	1.05032575454249e-19	1.38486113756531e-21
MvSl-1064-A2-R4_A2g00078	MvSl-1064-A2-R4_A2g00078	aMAT	179317	179778	8.00913249707618	-2.82909988204559	-0.503954818254704	2.32514506379088	2.12316226213546e-25	0.0482146783139469	2.32981670838564e-18	3.05121874102356e-24	0.157598623122843	2.06268065648173e-17
MvSl-1064-A2-R4_A2g00081	MvSl-1064-A2-R4_A2g00081	aMAT	187596	189357	3.61883467566615	3.52995031654385	-1.42855358779841	-4.95850390434226	5.9904411560256e-18	3.941491789713e-05	9.92895100549712e-32	4.86621424892199e-17	0.000403502657208143	2.16178405368613e-30
MvSl-1064-A2-R4_A2g00099	MvSl-1064-A2-R4_A2g00099	aMAT	224967	225956	0.764489667976857	2.55093260926545	0.820764607921471	-1.73016800134398	7.79018520282783e-07	0.0761667745164283	0.000892652162509412	2.13908576638406e-06	0.220922839978182	0.00167471317322864
MvSl-1064-A2-R4_A2g00110	MvSl-1064-A2-R4_A2g00110	aMAT	246221	247210	0.764489667976857	2.55093344585908	0.820764854133375	-1.73016859172571	7.76056635407152e-07	0.0761173945443424	0.000891177867735925	2.13152967591797e-06	0.220887327215915	0.00167225645386512
MvSl-1064-A2-R4_A2g00116	MvSl-1064-A2-R4_A2g00116	aMAT	252858	254487	0.134717278084923	3.62556044667173	2.29322851344642	-1.33233193322531	4.97175395708999e-11	2.31512890650934e-06	0.0313203074573447	2.14652832547383e-10	3.09885196377886e-05	0.0455137170607887
MvSl-1064-A2-R4_A2g00117	MvSl-1064-A2-R4_A2g00117	aMAT	255581	257894	0.0540767338878727	2.04521124498197	-1.81791316094911	-3.86312440593109	0.00268734211811288	0.00056064638178412	7.39082629609359e-10	0.00461037760067185	0.00406598869877175	2.91099858696295e-09
MvSl-1064-A2-R4_A2g00119	MvSl-1064-A2-R4_A2g00119	aMAT	260335	261181	7.83456920134702	-2.1822433651932	0.120894696589526	2.30313806178273	1.55213142990274e-20	0.592536271987763	1.63612647843093e-22	1.53339099199545e-19	0.796527134080578	2.0048477355266e-21
MvSl-1064-A2-R4_A2g00122	MvSl-1064-A2-R4_A2g00122	aMAT	266666	267349	2.22895322841964	2.26772842233957	2.35445884683929	0.0867304244997225	2.18537859468671e-10	5.5778488895796e-11	0.814264574493273	8.81974988929648e-10	1.46994428139414e-09	0.845342103019415
MvSl-1064-A2-R4_A2g00123	MvSl-1064-A2-R4_A2g00123	aMAT	270072	272939	7.42374254207565	1.97793342607284	-0.281054478305931	-2.25898790437877	1.08820633413278e-22	0.146932906168136	1.29122139272516e-28	1.27640941804753e-21	0.349210884512042	2.3146170054045e-27
MvSl-1064-A2-R4_A2g00131	MvSl-1064-A2-R4_A2g00131	aMAT	299574	301971	7.08321139185541	3.47285261310197	0.0490748390011062	-3.42377777410086	1.06267995987725e-62	0.792092944075376	3.0093249669265e-61	1.08908594675905e-60	0.916904700753019	2.4426088891549e-59
MvSl-1064-A2-R4_A2g00132	MvSl-1064-A2-R4_A2g00132	aMAT	302096	302587	2.66572705529611	4.92195321664323	1.46190253702538	-3.46005067961785	5.10530770755258e-27	6.50124432772715e-05	1.4473393892686e-14	8.31435826658563e-26	0.000634246393741535	9.08707020019756e-14
MvSl-1064-A2-R4_A2g00133	MvSl-1064-A2-R4_A2g00133	aMAT	303263	306428	4.2708649179788	2.77915526015707	1.08081565196308	-1.69833960819399	8.2790999753776e-19	0.000222366173085263	2.74537379221618e-08	7.1611038661706e-18	0.0018365964454476	9.19595988637352e-08
MvSl-1064-A2-R4_A2g00136	MvSl-1064-A2-R4_A2g00136	aMAT	312023	318716	3.48918813585938	2.26613401581331	0.84439095576534	-1.42174306004797	2.0923303661561e-12	0.00557501756387275	7.88470302701845e-06	1.03152497060349e-11	0.0281834221240922	1.94784993698878e-05
MvSl-1064-A2-R4_A2g00139	MvSl-1064-A2-R4_A2g00139	aMAT	319770	322607	1.74920006780316	1.78105552965922	2.08496449438052	0.3039089647213	0.000208547656085625	1.91774873391125e-05	0.534052678011181	0.000417589208337231	0.000208324182593828	0.591022957144573
MvSl-1064-A2-R4_A2g00142	MvSl-1064-A2-R4_A2g00142	aMAT	326802	328568	2.87414441756997	2.34718816433241	2.48773537918844	0.140547214856026	1.41418559787889e-09	1.90900356116914e-10	0.71675610159495	5.25772336976155e-09	4.74724267931914e-09	0.759324725902548
MvSl-1064-A2-R4_A2g00146	MvSl-1064-A2-R4_A2g00146	aMAT	334680	335988	0.814830655191207	-3.30659329286587	0.231366863841972	3.53796015670784	2.68981795547197e-10	0.701657038209289	2.04066800807496e-11	1.07486778165493e-09	0.867488193496058	9.45848223386412e-11
MvSl-1064-A2-R4_A2g00148	MvSl-1064-A2-R4_A2g00148	aMAT	337574	337741	0.0294481755963329	-2.23653640338881	-1.29291635455823	0.943620048830583	5.51841345179103e-05	0.024693689690648	0.0562153002073291	0.000119892554350903	0.0945474261453352	0.0780140112027849
MvSl-1064-A2-R4_A2g00150	MvSl-1064-A2-R4_A2g00150	aMAT	338467	340718	4.1166965516451	-0.339311087347682	1.69647788897167	2.03578897631936	0.205161177727852	1.59542098114382e-09	5.73151162248021e-13	0.252985574772336	3.63755983700791e-08	3.10143556915649e-12
MvSl-1064-A2-R4_A2g00152	MvSl-1064-A2-R4_A2g00152	aMAT	341812	342213	2.20157420618384	3.6229780026647	1.19687640578896	-2.42610159687574	5.67425711297471e-17	0.00138055092215257	1.51593822222284e-08	4.28674703412073e-16	0.00873258706743138	5.22975491420365e-08
