gid	gname	chr	start	end	logCPM	logFC.water.rich	logFC.water.diploid	logFC.rich.diploid	PV.water.rich	PV.water.diploid	PV.rich.diploid	FDR.water.rich	FDR.water.diploid	FDR.rich.diploid	water1	water2	rich1	rich2	di1	di2
MvSl-1064-A2-R4_A2g00001	MvSl-1064-A2-R4_A2g00001	aMAT	1	405	0.877081852650519	1.87411910365138	0.0337155612225062	-1.84040354242887	0.000139105313205221	0.939903890074337	0.000173063157883013	0.000285296646003674	0.978178774099316	0.000359079509178128	1.31897260844418	1.2513985617883	-0.150582259685956	-0.911414022392309	1.64582687250948	0.707740214655251
MvSl-1064-A2-R4_A2g00002	MvSl-1064-A2-R4_A2g00002	aMAT	1009	1302	4.2008108824691	0.606468087259701	0.218678276356468	-0.387789810903233	0.0164580096310472	0.383655157719496	0.124642675368	0.0250236723687405	0.635721123575635	0.161221900087166	4.53181775326811	4.37247483258395	3.97389502693357	3.71537072952849	4.37319355418489	4.08507883301322
MvSl-1064-A2-R4_A2g00003	MvSl-1064-A2-R4_A2g00003	aMAT	2515	6918	4.90786490690221	1.77476616236563	0.479419648275738	-1.29534651408989	2.56898321659385e-11	0.0619573631075585	8.81577964337158e-07	1.14470372049017e-10	0.190260110801843	2.46486587880335e-06	5.0809738464157	5.80218570933045	3.71419602827139	3.71923231754293	4.9032516276686	5.10491511475567
MvSl-1064-A2-R4_A2g00004	MvSl-1064-A2-R4_A2g00004	aMAT	7734	9917	6.60595606381806	-1.04149046062648	0.0738578180593945	1.11534827868588	8.74319457584556e-09	0.681673223738852	7.45856865903229e-10	3.01114908915577e-08	0.855711308884133	2.93654007041294e-09	6.14397311331851	6.23080611651214	7.30519276397559	7.14818806200038	6.18802597729798	6.03639553261585
MvSl-1064-A2-R4_A2g00005	MvSl-1064-A2-R4_A2g00005	aMAT	10247	11068	5.96957693332636	-0.41439286253366	-0.197795155157324	0.216597707376336	0.0255293988938001	0.286459569561743	0.241383899375658	0.0376375008974855	0.537727806248556	0.293303118929991	5.82242234903302	5.68564681636059	6.19660834053023	6.14212459136027	5.98463018268913	5.9211202539373
MvSl-1064-A2-R4_A2g00006	MvSl-1064-A2-R4_A2g00006	aMAT	11366	12707	8.02042566479007	-1.68336911502519	0.0804582605910232	1.76382737561621	1.59253098623528e-15	0.696441042186576	7.96823148656402e-17	1.06301443331205e-14	0.864935154807451	6.08777685712941e-16	7.28286074788471	7.19346796393196	8.99612780191287	8.84338729206123	7.07115317033703	7.24078087485538
MvSl-1064-A2-R4_A2g00007	MvSl-1064-A2-R4_A2g00007	aMAT	13728	17249	7.55339493072528	0.0946619409795516	-0.461226483647881	-0.555888424627432	0.617880143323567	0.0151688586171617	0.00344980289396084	0.671919821453473	0.0639930309894898	0.00589452680399574	7.40882467034434	7.41147578539239	7.31792666287971	7.31312723552451	7.82257333999556	7.91828535419818
MvSl-1064-A2-R4_A2g00008	MvSl-1064-A2-R4_A2g00008	aMAT	17692	19614	7.08840734012679	0.464316016527554	0.0477839350174354	-0.416532081510119	0.0333005130186927	0.826117655780834	0.0560578522132584	0.0480470712581992	0.930792863470554	0.0778487501445004	7.52155550211486	6.90132882608868	6.7635295022681	6.79724422395978	7.06775824334098	7.31526491208742
MvSl-1064-A2-R4_A2g00009	MvSl-1064-A2-R4_A2g00009	aMAT	21206	22588	6.86375918134961	-0.139800040868811	0.266606642802952	0.406406683671763	0.617766823633233	0.341802687594101	0.147512870649376	0.671868602485023	0.593925341382043	0.187952478413734	7.09461390039241	6.66633153528533	7.07337138261607	6.99773980799787	6.00133553027787	7.06635411969904
MvSl-1064-A2-R4_A2g00010	MvSl-1064-A2-R4_A2g00010	aMAT	23015	24639	1.86990094747196	-1.21464377515019	0.516997377179583	1.73164115232977	0.000728977426273041	0.169243909694492	2.44219640025563e-06	0.00136084728003059	0.384579777773867	6.45106083754066e-06	1.51200662694326	1.39151181083188	2.62055626336092	2.67260194352912	0.598209278115522	1.23785571760246
MvSl-1064-A2-R4_A2g00011	MvSl-1064-A2-R4_A2g00011	aMAT	24960	25637	0.910007354308356	-0.365444288208085	0.110507348529198	0.475951636737283	0.397263640138523	0.801369007971677	0.269295569052833	0.456884707871849	0.92080293939758	0.322925522232602	0.864104116132141	0.759368221521525	1.0862763539321	1.24022327077529	0.173174329974916	1.09822230920224
MvSl-1064-A2-R4_A2g00013	MvSl-1064-A2-R4_A2g00013	aMAT	27621	29775	6.38170830308663	-0.514169577730126	-0.848371189885608	-0.334201612155482	0.00378686974879192	1.88981379526828e-06	0.0580661444284432	0.00633705763998726	2.57715736112795e-05	0.0803079472970263	5.87605054909105	5.89733214313165	6.3633823027572	6.43644780120025	6.8248335906213	6.63772645755069
MvSl-1064-A2-R4_A2g00014	MvSl-1064-A2-R4_A2g00014	aMAT	31094	31765	2.60528085241062	1.4039415105858	-1.03546895189663	-2.43941046248243	0.002957150217648	0.0226472390646134	3.77885054269024e-07	0.00503663691594035	0.0883178504958392	1.10649978661285e-06	2.78662002178405	1.90945233548718	1.6125901969282	0.0837192981845897	3.56969676344226	3.2969539016871
MvSl-1064-A2-R4_A2g00015	MvSl-1064-A2-R4_A2g00015	aMAT	31816	32664	3.13811603467241	1.88823412465822	-1.35387636134792	-3.24211048600614	0.000370634375237599	0.00775237566419152	4.04993699407503e-09	0.00071641386381419	0.0368410320791041	1.48074453123911e-08	3.11869477043858	2.3596921632311	1.66259729629788	-0.572424232140704	4.2401100429426	4.01885099949714
