gida1	part8	youngold	dndsa2	dna2	dsa2	DE	DE2	haploid
MvSl-1064-A1-R4_A1g00016	bPAR	bPAR	1.3521	0.0911	0.0674	Down	Vhighmutations	A1
MvSl-1064-A1-R4_A1g00078	bPAR	bPAR	0.1432	0.043	0.3004	Down	Vhighmutations	A1
MvSl-1064-A1-R4_A1g00079	bPAR	bPAR	0.2174	0.0387	0.178	Down	Vhighmutations	A1
MvSl-1064-A1-R4_A1g00080	bPAR	bPAR	0.4066	0.0504	0.124	Down	Vhighmutations	A1
MvSl-1064-A1-R4_A1g00154	Black	OldStrata	0.3456	0.0438	0.1268	Down	Vhighmutations	A1
MvSl-1064-A1-R4_A1g00165	Black	OldStrata	0.1589	0.0206	0.1295	Down	Vhighmutations	A1
MvSl-1064-A1-R4_A1g00168	Black	OldStrata	0.4195	0.0827	0.1972	Down	Vhighmutations	A1
MvSl-1064-A1-R4_A1g00254	Black	OldStrata	0.2244	0.021	0.0937	Down	Vhighmutations	A1
MvSl-1064-A1-R4_A1g00269	Black	OldStrata	0.3293	0.028	0.0849	Down	Vhighmutations	A1
MvSl-1064-A1-R4_A1g00270	Black	OldStrata	0.1347	0.0135	0.1003	Down	Vhighmutations	A1
MvSl-1064-A1-R4_A1g00292	Black	OldStrata	0.2979	0.0247	0.0828	Down	Vhighmutations	A1
MvSl-1064-A1-R4_A1g00312	Black	OldStrata	0.5275	0.0733	0.139	Down	Vhighmutations	A1
MvSl-1064-A1-R4_A1g00400	Red	ColorStrata	0.3634	0.0638	0.1755	Down	Vhighmutations	A1
MvSl-1064-A1-R4_A1g00448	Black	OldStrata	0.2352	0.0428	0.1821	Down	Vhighmutations	A1
MvSl-1064-A1-R4_A1g00495	Blue	OldStrata	0.2821	0.0264	0.0935	Down	Vhighmutations	A1
MvSl-1064-A1-R4_A1g00516	Black	OldStrata	0.1413	0.0337	0.2386	Down	Vhighmutations	A1
MvSl-1064-A1-R4_A1g00522	Black	OldStrata	0.0825	0.0166	0.2017	Down	Vhighmutations	A1
MvSl-1064-A1-R4_A1g00591	Black	OldStrata	0.4638	0.1619	0.3492	Down	Vhighmutations	A1
MvSl-1064-A1-R4_A1g00624	Purple	OldStrata	0.3694	0.0381	0.1032	Down	Vhighmutations	A1
MvSl-1064-A1-R4_A1g00644	Black	OldStrata	0.9347	0.0496	0.0531	Down	Vhighmutations	A1
MvSl-1064-A1-R4_A1g00646	Black	OldStrata	0.6809	0.0402	0.0591	Down	Vhighmutations	A1
MvSl-1064-A1-R4_A1g00668	Orange	ColorStrata	0.2218	0.0242	0.1093	Down	Vhighmutations	A1
MvSl-1064-A1-R4_A1g00752	Black	OldStrata	0.5962	0.0883	0.1481	Down	Vhighmutations	A1
MvSl-1064-A1-R4_A1g00853	Purple	OldStrata	0.2106	0.0352	0.1669	Down	Vhighmutations	A1
MvSl-1064-A1-R4_A1g00958	Black	OldStrata	0.2006	0.0305	0.1522	Down	Vhighmutations	A1
MvSl-1064-A1-R4_A1g00972	Black	OldStrata	0.503	0.0517	0.1027	Down	Vhighmutations	A1
MvSl-1064-A1-R4_A1g00997	Blue	OldStrata	0.7516	0.0597	0.0795	Down	Vhighmutations	A1
MvSl-1064-A1-R4_A1g01137	Black	OldStrata	0.2791	0.0703	0.2519	Down	Vhighmutations	A1
MvSl-1064-A1-R4_A1g01174	Black	OldStrata	0.0928	0.0102	0.1094	Down	Vhighmutations	A1
MvSl-1064-A1-R4_A1g01212	Black	OldStrata	0.1179	0.0103	0.0871	Down	Vhighmutations	A1
MvSl-1064-A1-R4_A1g01253	Black	OldStrata	0.2809	0.0168	0.06	Down	Vhighmutations	A1
MvSl-1064-A1-R4_A1g01261	Orange	ColorStrata	0.3914	0.0287	0.0732	Down	Vhighmutations	A1
MvSl-1064-A1-R4_A1g01384	Black	OldStrata	0.3675	0.0366	0.0995	Down	Vhighmutations	A1
MvSl-1064-A1-R4_A1g01404	Black	OldStrata	0.5268	0.1322	0.2509	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC01-1g01952	Auto	Auto	0.0813	0.0055	0.0673	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC01-1g02161	Auto	Auto	0.1125	0.0125	0.1108	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC01-1g02299	Auto	Auto	0.2534	0.0411	0.1624	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC01-1g02351	Auto	Auto	0.2427	0.0226	0.0929	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC01-1g02603	Auto	Auto	0.0176	0.0031	0.175	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC01-1g02852	Auto	Auto	0.2127	0.1495	0.7031	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC01-2g03112	Auto	Auto	0.0952	0.0198	0.2079	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC01-2g03113	Auto	Auto	0.3564	0.0517	0.145	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC02g03224	Auto	Auto	0.2208	0.0311	0.1407	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC02g03664	Auto	Auto	0.4149	0.0382	0.0922	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC02g04171	Auto	Auto	0.176	0.036	0.2043	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC03g04642	Auto	Auto	0.0532	0.0067	0.1252	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC03g04747	Auto	Auto	0.2808	0.0248	0.0885	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC03g04929	Auto	Auto	0.4689	0.0435	0.0928	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC03g05154	Auto	Auto	0.1778	0.0231	0.1299	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC03g05159	Auto	Auto	0.2966	0.0364	0.1226	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC03g05235	Auto	Auto	0.125	0.022	0.1763	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC04-1g05441	Auto	Auto	0.1518	0.0118	0.0776	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC04-1g05729	Auto	Auto	0.8073	0.0526	0.0652	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC04-1g05744	Auto	Auto	0.6742	0.0717	0.1063	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC04-1g05865	Auto	Auto	0.0803	0.0147	0.1828	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC04-1g05945	Auto	Auto	0.0915	0.0113	0.1235	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC05-1g06149	Auto	Auto	0.2496	0.034	0.1363	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC05-3g06511	Auto	Auto	0.018	0.0035	0.1948	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC05-3g06514	Auto	Auto	0.4058	0.0288	0.071	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC05-3g06515	Auto	Auto	0.0631	0.0092	0.1465	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC05-3g06516	Auto	Auto	0.4201	0.0344	0.0818	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC05-3g06517	Auto	Auto	0.0409	0.0056	0.1369	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC05-3g06518	Auto	Auto	0.219	0.0298	0.1359	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC05-3g06519	Auto	Auto	0.482	0.041	0.0851	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC05-3g06520	Auto	Auto	0.7274	0.0786	0.1081	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC05-3g06707	Auto	Auto	0.0826	0.013	0.1572	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC06g06896	Auto	Auto	0.0366	0.007	0.1902	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC06g06944	Auto	Auto	0.3649	0.0338	0.0926	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC06g06945	Auto	Auto	0.2609	0.0285	0.1093	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC06g07136	Auto	Auto	0.3316	0.0265	0.0801	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC06g07137	Auto	Auto	0.2288	0.0172	0.0751	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC06g07298	Auto	Auto	0.1018	0.018	0.1764	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC07g07855	Auto	Auto	0.174	0.0169	0.0974	Down	Vhighmutations	A1
