#A_id	B_id	A_length	B_length	A_qcovhsp	B_qcovhsp	length	pident	bitscore
MinSal-1389-A1-17072018_C001g00002	MvSl-1064-A1-R4_MC06g07541	117	101	65	65	76	64.474	78.2
MinSal-1389-A1-17072018_C001g00004	MvSl-1064-A1-R4_MC01-1g01708	412	408	99	99	414	87.440	648
MinSal-1389-A1-17072018_C001g00007	MvSl-1064-A1-R4_MC01-1g01711	1591	1574	100	100	1602	89.825	2831
MinSal-1389-A1-17072018_C001g00008	MvSl-1064-A1-R4_MC01-1g01712	283	291	97	99	289	91.003	531
MinSal-1389-A1-17072018_C001g00009	MvSl-1064-A1-R4_MC01-1g01713	766	781	100	100	786	84.733	1098
MinSal-1389-A1-17072018_C001g00010	MvSl-1064-A1-R4_MC01-1g01714	279	292	100	100	292	81.507	479
MinSal-1389-A1-17072018_C001g00011	MvSl-1064-A1-R4_MC01-1g01725	615	604	100	100	615	93.496	1078
MinSal-1389-A1-17072018_C001g00012	MvSl-1064-A1-R4_MC01-1g01726	1103	1093	100	100	1109	90.352	1654
MinSal-1389-A1-17072018_C001g00013	MvSl-1064-A1-R4_MC01-1g01728	757	882	99	85	752	98.005	1525
MinSal-1389-A1-17072018_C001g00014	MvSl-1064-A1-R4_MC01-1g01729	917	914	100	100	923	87.649	1514
MinSal-1389-A1-17072018_C001g00015	MvSl-1064-A1-R4_MC01-1g01730	380	380	100	100	380	94.474	590
MinSal-1389-A1-17072018_C001g00016	MvSl-1064-A1-R4_MC01-1g01731	783	810	100	100	810	95.309	1588
MinSal-1389-A1-17072018_C001g00017	MvSl-1064-A1-R4_MC01-1g01732	393	413	99	99	419	79.952	606
MinSal-1389-A1-17072018_C001g00018	MvSl-1064-A1-R4_MC01-1g01733	404	410	100	98	404	84.901	616
MinSal-1389-A1-17072018_C001g00019	MvSl-1064-A1-R4_MC01-1g01734	716	716	100	100	716	93.994	1295
MinSal-1389-A1-17072018_C001g00020	MvSl-1064-A1-R4_MC01-1g01735	429	418	100	100	429	89.744	713
MinSal-1389-A1-17072018_C001g00021	MvSl-1064-A1-R4_MC01-1g01743	246	253	100	100	253	92.490	427
MinSal-1389-A1-17072018_C001g00022	MvSl-1064-A1-R4_MC01-1g01744	501	511	99	98	500	96.800	1008
MinSal-1389-A1-17072018_C001g00027	MvSl-1064-A1-R4_MC01-1g01748	235	237	100	100	238	88.235	382
MinSal-1389-A1-17072018_C001g00028	MvSl-1064-A1-R4_MC01-1g01751	1527	1535	100	100	1546	87.646	2267
