gid	gname	chr	start	end	logCPM	logFC.MvSl.Mint	PV.MvSl.Mint	FDR.MvSl.Mint	MintM1	MintM2	MintM3	MvSlM1	MvSlM2
MinSal-1389-A1-17072018_C001g00002	MinSal-1389-A1-17072018_C015	aPR	25638	26183	0.424938588	7.606505143	2.79E-11	5.21E-11	-2.638590112	-2.638590112	-2.638590112	0.924959175	1.212846121
MinSal-1389-A1-17072018_C001g00004	MinSal-1389-A1-17072018_C015	aPR	30839	36021	5.854389083	13.75688636	1.51E-70	8.61E-70	-2.638590112	-2.638590112	-2.638590112	6.369736221	7.610991026
MinSal-1389-A1-17072018_C001g00008	MinSal-1389-A1-17072018_C015	aPR	54490	55212	6.046862128	13.95594095	2.09E-136	6.06E-135	-2.638590112	-2.638590112	-2.638590112	7.215363022	7.415199135
MinSal-1389-A1-17072018_C001g00009	MinSal-1389-A1-17072018_C015	aPR	79418	80769	5.15406928	-0.83820399	0.00148077	0.001963976	5.678056145	4.939619695	5.641843809	4.579775867	4.655621774
MinSal-1389-A1-17072018_C001g00012	MinSal-1389-A1-17072018_C015	aPR	84906	86107	6.109513158	2.329712369	4.45E-27	1.33E-26	4.510658669	4.691567812	4.896254303	7.108068485	6.933560799
MinSal-1389-A1-17072018_C001g00013	MinSal-1389-A1-17072018_C015	aPR	86554	88560	8.447185783	-1.528817329	7.07E-12	1.35E-11	8.732460661	8.967684178	8.951122754	7.496340799	7.208408164
MinSal-1389-A1-17072018_C001g00014	MinSal-1389-A1-17072018_C015	aPR	89145	91129	4.365258141	12.17980481	4.81E-75	2.92E-74	-2.638590112	-2.638590112	-2.638590112	5.697686547	5.375929447
MinSal-1389-A1-17072018_C001g00015	MinSal-1389-A1-17072018_C015	aPR	94561	95501	4.493295691	1.437365439	2.10E-07	3.37E-07	3.199255614	3.941008892	3.856443279	4.941686577	5.285145367
MinSal-1389-A1-17072018_C001g00020	MinSal-1389-A1-17072018_C015	aPR	105692	106714	6.165807921	-6.350956481	1.23E-51	5.35E-51	7.221904206	6.419302069	7.009364183	0.010529469	1.183356633
MinSal-1389-A1-17072018_C001g00022	MinSal-1389-A1-17072018_C015	aPR	118148	121011	6.825123155	12.08269133	2.83E-159	2.15E-157	-2.638590112	-1.777909711	-2.638590112	8.108393896	8.124966284
MinSal-1389-A1-17072018_C001g00027	MinSal-1389-A1-17072018_C015	aPR	121393	123521	4.080866633	11.86984325	6.00E-68	3.29E-67	-2.638590112	-2.638590112	-2.638590112	5.326811629	5.14110685
MinSal-1389-A1-17072018_C001g00028	MinSal-1389-A1-17072018_C015	aPR	125148	127062	7.2263281	1.226498997	2.94E-09	5.10E-09	6.467279417	6.675612055	6.650022947	7.884004441	7.7641903
MinSal-1389-A1-17072018_C001g00030	MinSal-1389-A1-17072018_C015	aPR	127495	130694	5.818475075	-1.047363202	2.31E-06	3.55E-06	6.076231968	6.39928673	5.978204265	5.124201076	5.119859801
MinSal-1389-A1-17072018_C001g00031	MinSal-1389-A1-17072018_C015	aPR	132712	136451	5.52963297	10.74563017	1.50E-123	2.44E-122	-2.638590112	-1.777909711	-2.638590112	6.67609265	6.87884526
MinSal-1389-A1-17072018_C001g00032	MinSal-1389-A1-17072018_C015	aPR	137950	140773	5.161577101	0.693103199	0.000889082	0.001197432	4.865749235	4.96404938	4.611083665	5.589684935	5.445897863
MinSal-1389-A1-17072018_C001g00033	MinSal-1389-A1-17072018_C015	aPR	140964	142708	9.490536083	6.769665101	8.25E-76	5.08E-75	3.65391264	4.189145644	4.199202687	10.14549043	11.23092471
MinSal-1389-A1-17072018_C001g00035	MinSal-1389-A1-17072018_C015	aPR	144437	146597	5.349050568	2.50361154	5.24E-21	1.35E-20	4.077042951	3.97746534	3.030741473	6.232823723	6.332575068
