gid	gname	chr	start	end	logCPM	logFC.MvSl.Mint	PV.MvSl.Mint	FDR.MvSl.Mint
MinSal-1389-A1-17072018_C001g00002	MinSal-1389-A1-17072018_C015	aPR	25638	26183	0.424865887037136	7.60656757954222	4.04793590170813e-11	7.53538837087205e-11
MinSal-1389-A1-17072018_C001g00004	MinSal-1389-A1-17072018_C015	aPR	30839	36021	5.85436048578939	13.7568863733134	1.5516535148041e-70	8.82047333583269e-70
MinSal-1389-A1-17072018_C001g00008	MinSal-1389-A1-17072018_C015	aPR	54490	55212	6.04683639178347	13.9559409382596	1.9688339908341e-136	5.75035306978097e-135
MinSal-1389-A1-17072018_C001g00014	MinSal-1389-A1-17072018_C015	aPR	89145	91129	4.36519749623786	12.179804977069	4.12738261691296e-75	2.50987195237712e-74
MinSal-1389-A1-17072018_C001g00020	MinSal-1389-A1-17072018_C015	aPR	105692	106714	6.16582646768765	-6.35095744809759	1.19054668882902e-51	5.1599059342597e-51
MinSal-1389-A1-17072018_C001g00022	MinSal-1389-A1-17072018_C015	aPR	118148	121011	6.82510708114549	12.0826890636471	2.18584588176897e-159	1.66152310679593e-157
MinSal-1389-A1-17072018_C001g00027	MinSal-1389-A1-17072018_C015	aPR	121393	123521	4.08079889293911	11.8698436515405	3.84636625046129e-68	2.11550143775371e-67
MinSal-1389-A1-17072018_C001g00031	MinSal-1389-A1-17072018_C015	aPR	132712	136451	5.52959853898973	10.745629671962	1.4361275333909e-123	2.33923080919633e-122
MinSal-1389-A1-17072018_C001g00033	MinSal-1389-A1-17072018_C015	aPR	140964	142708	9.49053340244843	6.76965604477652	1.31799307724184e-75	8.0810557962429e-75
MinSal-1389-A1-17072018_C001g00036	MinSal-1389-A1-17072018_C015	aPR	149160	149570	4.96529963453185	9.27076574798675	3.24456163380117e-87	2.34884077250392e-86
MinSal-1389-A1-17072018_C001g00048	MinSal-1389-A1-17072018_C015	aPR	175242	176924	2.95301890290293	10.6067640959875	9.45716704207552e-41	3.49573213169986e-40
MinSal-1389-A1-17072018_C001g00052	MinSal-1389-A1-17072018_C015	aPR	186614	188421	5.55838515228583	3.30467894234126	8.23030790099288e-51	3.52074282431362e-50
MinSal-1389-A1-17072018_C001g00059	MinSal-1389-A1-17072018_C015	aPR	220056	222122	5.04162449435003	12.9049922351557	6.38827941037457e-89	4.8005207381636e-88
MinSal-1389-A1-17072018_C001g00061	MinSal-1389-A1-17072018_C015	aPR	241581	245812	3.09556568263124	10.7693739493124	2.5658374442846e-43	9.78947889778854e-43
MinSal-1389-A1-17072018_C001g00065	MinSal-1389-A1-17072018_C015	aPR	264466	265628	4.1628532549226	3.05822709720285	5.89433805163183e-15	1.26209932495938e-14
MinSal-1389-A1-17072018_C001g00067	MinSal-1389-A1-17072018_C015	aPR	275536	277060	5.64758751847942	8.47805768906333	3.08852414224602e-111	3.54194577163959e-110
MinSal-1389-A1-17072018_C001g00075	MinSal-1389-A1-17072018_C015	aPR	283181	284714	4.71850935095649	12.5606345864542	1.26859035564279e-96	1.08691795066562e-95
MinSal-1389-A1-17072018_C001g00077	MinSal-1389-A1-17072018_C013	bHD	7034	7204	3.4465895823082	11.1672834855833	5.48209464873068e-36	1.88206943672983e-35
MinSal-1389-A1-17072018_C001g00078	MinSal-1389-A1-17072018_C013	bHD	23634	25849	6.32089383214323	11.5570471964377	1.62280342290828e-122	2.54539722074687e-121
MinSal-1389-A1-17072018_C001g00080	MinSal-1389-A1-17072018_C013	bHD	27355	28656	5.54867197268555	13.4383916661544	2.28080171997131e-116	3.01177581240755e-115
MinSal-1389-A1-17072018_C001g00083	MinSal-1389-A1-17072018_C013	bHD	36920	38283	0.400055810353951	4.87909355424875	4.34762273447842e-09	7.50642259543464e-09
MinSal-1389-A1-17072018_C001g00085	MinSal-1389-A1-17072018_C013	bHD	43265	44212	5.57745285074433	13.4684267478251	2.46572732065477e-124	4.11811191103159e-123
MinSal-1389-A1-17072018_C001g00100	MinSal-1389-A1-17072018_C013	bHD	81583	86132	5.63198947134003	3.27872014843694	1.11417212858913e-33	3.7028736269086e-33
MinSal-1389-A1-17072018_C001g00101	MinSal-1389-A1-17072018_C013	bHD	86610	87999	1.37400822629815	4.62155283007365	1.40518684304638e-14	2.95438042284468e-14
MinSal-1389-A1-17072018_C001g00103	MinSal-1389-A1-17072018_C013	bHD	93433	95128	5.99086824762521	7.62355267415665	9.43306613918594e-114	1.13215888945817e-112
MinSal-1389-A1-17072018_C001g00110	MinSal-1389-A1-17072018_C013	bHD	116588	119342	5.38084323246405	4.53920879179498	1.7981839665389e-73	1.07474120338802e-72
MinSal-1389-A1-17072018_C001g00111	MinSal-1389-A1-17072018_C013	bHD	120356	120968	4.23456801611704	12.0381629683044	1.23331281402307e-69	6.93767711038217e-69
MinSal-1389-A1-17072018_C001g00112	MinSal-1389-A1-17072018_C013	bHD	121536	123693	3.98737597245651	11.7677540410109	1.13601017026512e-55	5.23748390318966e-55
MinSal-1389-A1-17072018_C001g00114	MinSal-1389-A1-17072018_C013	bHD	128340	132823	4.43039031082131	5.51271854186905	1.4292763584503e-55	6.57933193264892e-55
MinSal-1389-A1-17072018_C001g00115	MinSal-1389-A1-17072018_C013	bHD	133453	136292	3.74388889062471	11.4981021235359	2.82545222678e-56	1.31389068647675e-55
MinSal-1389-A1-17072018_C001g00122	MinSal-1389-A1-17072018_C013	bHD	163058	164977	6.73697368300548	5.09514832238974	2.19195256421667e-67	1.19230153699455e-66
MinSal-1389-A1-17072018_C001g00123	MinSal-1389-A1-17072018_C013	bHD	165212	167895	7.43870251459748	15.3788395481213	1.22445258970961e-181	2.50337220840974e-179
MinSal-1389-A1-17072018_C001g00124	MinSal-1389-A1-17072018_C013	bHD	168667	170492	3.28865841011422	10.9881835928662	6.66520943585054e-47	2.65043774280066e-46
MinSal-1389-A1-17072018_C001g00125	MinSal-1389-A1-17072018_C013	bHD	171024	171485	4.93700305461918	12.7940936232028	8.42634565635266e-70	4.74903074111358e-69
MinSal-1389-A1-17072018_C001g00126	MinSal-1389-A1-17072018_C013	bHD	172254	177181	3.04487866244184	10.7118168228107	2.05903062080276e-41	7.67315685150194e-41
MinSal-1389-A1-17072018_C001g00127	MinSal-1389-A1-17072018_C013	bHD	179015	180790	5.79737709276682	13.6975263428417	8.19426238648409e-115	1.0228164566203e-113
MinSal-1389-A1-17072018_C001g00133	MinSal-1389-A1-17072018_C013	bHD	201353	202172	4.21788575496134	12.0196732812132	5.54578124172017e-73	3.28480888932656e-72
MinSal-1389-A1-17072018_C001g00134	MinSal-1389-A1-17072018_C013	bHD	202558	205566	3.47765300490981	8.526975979263	5.38487239513978e-50	2.27561713690547e-49
MinSal-1389-A1-17072018_C001g00140	MinSal-1389-A1-17072018_C013	bHD	229961	232010	3.66924200821838	11.415664504127	1.8582106046411e-50	7.88642138505159e-50
MinSal-1389-A1-17072018_C001g00143	MinSal-1389-A1-17072018_C013	bHD	237354	239674	5.71205994159401	9.10912308643702	1.79664812354638e-103	1.76655501235597e-102
MinSal-1389-A1-17072018_C001g00144	MinSal-1389-A1-17072018_C013	bHD	239885	242205	3.71118468551472	11.4628039910539	6.36021875026832e-40	2.31774658699083e-39
MinSal-1389-A1-17072018_C001g00147	MinSal-1389-A1-17072018_C013	bHD	250423	251774	2.26058280876907	9.80426455789275	2.87616754514606e-26	8.45034557738901e-26
MinSal-1389-A1-17072018_C001g00149	MinSal-1389-A1-17072018_C013	bHD	255327	255851	5.23071685961777	10.4298473825309	5.368403953989e-113	6.36585340864016e-112
MinSal-1389-A1-17072018_C001g00150	MinSal-1389-A1-17072018_C013	bHD	256871	257293	7.89138609194407	15.8369243918616	4.86948320014603e-187	1.3748174235079e-184
MinSal-1389-A1-17072018_C001g00154	MinSal-1389-A1-17072018_C013	bHD	271021	272431	6.55451772195324	3.56245278866166	9.98733935492359e-49	4.09508541046625e-48
MinSal-1389-A1-17072018_C001g00155	MinSal-1389-A1-17072018_C013	bHD	275586	277957	3.58635969481012	11.3228294382265	8.97464972000475e-55	4.08998448807903e-54
MinSal-1389-A1-17072018_C001g00159	MinSal-1389-A1-17072018_C013	bHD	289215	289896	5.61725718964025	13.5099923525115	1.24029103122804e-119	1.75925491008399e-118
MinSal-1389-A1-17072018_C001g00160	MinSal-1389-A1-17072018_C013	bHD	290145	291222	4.74895981295249	-5.84063207341949	7.25289818182586e-74	4.35688280851525e-73
MinSal-1389-A1-17072018_C001g00175	MinSal-1389-A1-17072018_C013	bHD	369819	371224	3.04788110225567	10.7145489394414	4.9213893742726e-39	1.76414253930243e-38
MinSal-1389-A1-17072018_C001g00182	MinSal-1389-A1-17072018_C013	bHD	393712	397999	4.0230590584773	11.8059979288447	3.16897808622135e-48	1.29310881439824e-47
MinSal-1389-A1-17072018_C001g00185	MinSal-1389-A1-17072018_C013	bHD	403306	404227	5.04494662916444	4.45962469389214	3.21036499660292e-57	1.51667363066603e-56
MinSal-1389-A1-17072018_C001g00186	MinSal-1389-A1-17072018_C013	bHD	404477	406885	5.97089667484247	5.80874294478267	1.42440779694818e-99	1.31546944363018e-98
MinSal-1389-A1-17072018_C001g00194	MinSal-1389-A1-17072018_C013	bHD	433463	434148	3.61755857413871	11.3577055788978	1.98530105656251e-55	9.11056498789404e-55
MinSal-1389-A1-17072018_C001g00195	MinSal-1389-A1-17072018_C013	bHD	436055	438392	5.76742283638446	13.6663274924322	8.92884474323022e-132	2.06793439385203e-130
MinSal-1389-A1-17072018_C001g00199	MinSal-1389-A1-17072018_C013	bHD	447088	450065	5.42014483396459	10.6291015981082	5.06681501711324e-124	8.32164715691535e-123
MinSal-1389-A1-17072018_C001g00209	MinSal-1389-A1-17072018_C013	bHD	464108	469379	4.9643600039701	12.8228249279886	1.6105699626386e-105	1.64355754018662e-104
MinSal-1389-A1-17072018_C001g00210	MinSal-1389-A1-17072018_C013	bHD	469827	470430	5.11882738454799	4.05452819510482	5.94187196121577e-39	2.12737674263577e-38
MinSal-1389-A1-17072018_C001g00214	MinSal-1389-A1-17072018_C013	bHD	487817	489520	5.69578563830663	3.20731298078511	3.29336648280209e-50	1.39374517320011e-49
MinSal-1389-A1-17072018_C001g00216	MinSal-1389-A1-17072018_C013	bHD	493071	496823	4.17679618998728	11.9745455570394	3.91474502390854e-57	1.84356816892405e-56
MinSal-1389-A1-17072018_C001g00217	MinSal-1389-A1-17072018_C013	bHD	500094	502312	2.88744598243185	10.5317273890945	1.464025751785e-39	5.30250988535935e-39
MinSal-1389-A1-17072018_C001g00218	MinSal-1389-A1-17072018_C013	bHD	504634	505806	3.83111040470374	11.5961586562865	2.23471794074438e-33	7.3979021053453e-33
MinSal-1389-A1-17072018_C001g00219	MinSal-1389-A1-17072018_C013	bHD	506227	509323	4.05568114887045	11.8426622777041	1.07555316226674e-61	5.40878261160263e-61
