gid	gname	chr	start	end	logCPM	logFC.MvSl.Mint	PV.MvSl.Mint	FDR.MvSl.Mint	MintM1	MintM2	MintM3	MvSlM1	MvSlM2	average	ward.D
MinSal-1389-A1-17072018_C001g00002	MinSal-1389-A1-17072018_C015	aPR	25638	26183	0.424865887037136	7.60656757954222	4.04793590170813e-11	7.53538837087205e-11	-2.63859011229038	-2.63859011229038	-2.63859011229038	0.92495917467543	1.21284612051975	1	1
MinSal-1389-A1-17072018_C001g00004	MinSal-1389-A1-17072018_C015	aPR	30839	36021	5.85436048578939	13.7568863733134	1.5516535148041e-70	8.82047333583269e-70	-2.63859011229038	-2.63859011229038	-2.63859011229038	6.36973622051314	7.61099102611993	1	1
MinSal-1389-A1-17072018_C001g00008	MinSal-1389-A1-17072018_C015	aPR	54490	55212	6.04683639178347	13.9559409382596	1.9688339908341e-136	5.75035306978097e-135	-2.63859011229038	-2.63859011229038	-2.63859011229038	7.21536302166666	7.41519913472933	1	1
MinSal-1389-A1-17072018_C001g00009	MinSal-1389-A1-17072018_C015	aPR	79418	80769	5.15408196223367	-0.838207198582168	0.00148618457661653	0.00197083166064849	5.67805614537404	4.93961969515071	5.64184380935597	4.57977586704903	4.65562177414834	2	2
MinSal-1389-A1-17072018_C001g00012	MinSal-1389-A1-17072018_C015	aPR	84906	86107	6.10949778299729	2.32971426630662	4.37203986003377e-27	1.30588535668213e-26	4.51065866938515	4.69156781214998	4.89625430256908	7.1080684847812	6.93356079875733	1	1
MinSal-1389-A1-17072018_C001g00013	MinSal-1389-A1-17072018_C015	aPR	86554	88560	8.44718785960791	-1.52881748866376	7.23002806058238e-12	1.38682744649605e-11	8.7324606611725	8.96768417809145	8.95112275386821	7.49634079863219	7.20840816377391	2	2
MinSal-1389-A1-17072018_C001g00014	MinSal-1389-A1-17072018_C015	aPR	89145	91129	4.36519749623786	12.179804977069	4.12738261691296e-75	2.50987195237712e-74	-2.63859011229038	-2.63859011229038	-2.63859011229038	5.69768654715636	5.37592944707294	1	1
MinSal-1389-A1-17072018_C001g00015	MinSal-1389-A1-17072018_C015	aPR	94561	95501	4.49327081112103	1.43736902305303	2.07314049706741e-07	3.32746345617561e-07	3.19925561399413	3.94100889165542	3.85644327912978	4.94168657735684	5.28514536715653	1	1
MinSal-1389-A1-17072018_C001g00020	MinSal-1389-A1-17072018_C015	aPR	105692	106714	6.16582646768765	-6.35095744809759	1.19054668882902e-51	5.1599059342597e-51	7.22190420578197	6.41930206869547	7.00936418280019	0.0105294686101841	1.18335663278488	2	2
MinSal-1389-A1-17072018_C001g00022	MinSal-1389-A1-17072018_C015	aPR	118148	121011	6.82510708114549	12.0826890636471	2.18584588176897e-159	1.66152310679593e-157	-2.63859011229038	-1.77790971065501	-2.63859011229038	8.10839389560048	8.12496628416242	1	1
