gid	gname	chr	start	end	logCPM	logFC.A1.A2	PV.A1.A2	FDR.A1.A2	bias
MvSl-1064-A1-R4_MC07g07648	MvSl-1064-A1-R4_MC07	Chr07	261764	264280	4.407088511	-7.309841352	9.72E-61	6.39E-58	a2
MvSl-1064-A1-R4_MC02g03433	MvSl-1064-A1-R4_MC02	Chr02	712271	712823	3.963411421	-6.158073001	2.40E-46	9.32E-44	a2
MvSl-1064-A1-R4_A1g00752	MvSl-1064-A1-R4_A1	aMAT	1010063	1012204	3.566412471	-5.754454425	7.24E-43	2.69E-40	a2
MvSl-1064-A1-R4_A1g00668	MvSl-1064-A1-R4_A1	aMAT	1441050	1443387	6.117997614	-5.711873018	2.15E-96	3.68E-93	a2
MvSl-1064-A1-R4_A1g01404	MvSl-1064-A1-R4_A1	aMAT	1207176	1208666	2.637666471	-5.516663924	2.10E-31	4.08E-29	a2
MvSl-1064-A1-R4_MC03g04885	MvSl-1064-A1-R4_MC03	Chr03	1526781	1528843	2.724310421	-5.478775526	1.74E-24	2.33E-22	a2
MvSl-1064-A1-R4_MC01-1g02857	MvSl-1064-A1-R4_MC01-1	Chr01	2286759	2287328	0.844164726	-5.478516142	5.14E-17	5.24E-15	a2
MvSl-1064-A1-R4_MC02g03442	MvSl-1064-A1-R4_MC02	Chr02	714322	716738	2.287461291	-5.153117119	4.71E-19	5.09E-17	a2
MvSl-1064-A1-R4_MC10-1g09843	MvSl-1064-A1-R4_MC10-1	Chr10	324800	325624	1.478962097	-4.963022564	1.70E-19	1.88E-17	a2
MvSl-1064-A1-R4_MC06g07137	MvSl-1064-A1-R4_MC06	Chr06	750073	751270	9.015454552	-4.958388394	4.30E-48	1.84E-45	a2
MvSl-1064-A1-R4_A1g00522	MvSl-1064-A1-R4_A1	aMAT	1399296	1400598	1.371007143	-4.655908909	1.04E-16	1.03E-14	a2
MvSl-1064-A1-R4_MC02g03522	MvSl-1064-A1-R4_MC02	Chr02	843831	845750	4.194829587	-4.51041666	9.27E-36	2.20E-33	a2
MvSl-1064-A1-R4_MC10-1g09819	MvSl-1064-A1-R4_MC10-1	Chr10	291142	293603	5.347551399	-4.350527616	9.94E-50	4.72E-47	a2
MvSl-1064-A1-R4_A1g00591	MvSl-1064-A1-R4_A1	aMAT	552007	553387	3.876731588	-4.272358924	9.78E-25	1.35E-22	a2
MvSl-1064-A1-R4_A1g00269	MvSl-1064-A1-R4_A1	aMAT	1139524	1144406	6.339085605	-4.216289271	2.19E-61	1.56E-58	a2
MvSl-1064-A1-R4_MC08g08450	MvSl-1064-A1-R4_MC08	Chr08	505637	507278	7.013369972	-4.156850851	8.64E-76	7.39E-73	a2
MvSl-1064-A1-R4_MC14g11898	MvSl-1064-A1-R4_MC14	Chr14	395025	396943	1.880266877	-4.083415488	5.11E-15	4.33E-13	a2
MvSl-1064-A1-R4_A1g00763	MvSl-1064-A1-R4_A1	aMAT	1144687	1148015	0.613957131	-4.029433889	3.44E-10	1.77E-08	a2
MvSl-1064-A1-R4_MC01-1g02828	MvSl-1064-A1-R4_MC01-1	Chr01	2213276	2215089	0.262128092	-3.857269963	2.67E-10	1.41E-08	a2
MvSl-1064-A1-R4_MC02g03432	MvSl-1064-A1-R4_MC02	Chr02	707663	711864	0.808276004	-3.710587015	4.84E-11	2.78E-09	a2
MvSl-1064-A1-R4_MC01-1g02347	MvSl-1064-A1-R4_MC01-1	Chr01	1042881	1043799	3.191037745	-3.643653614	6.54E-21	7.77E-19	a2
MvSl-1064-A1-R4_A1g00312	MvSl-1064-A1-R4_A1	aMAT	1486271	1487768	8.489494858	-3.601662265	1.65E-35	3.71E-33	a2
