gid	gname	chr	start	end	logCPM	logFC.A1.A2	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	group1.expr.minus	group2.expr.minus	ratio
MvSl-1064-A1-R4_A1g00004	MvSl-1064-A1-R4_A1	aMAT	2563	6967	6.331037238	-0.092774478	0.613905967	0.999958419	6.322613736	6.244150331	6.346628192	6.405879306	6.283382034	6.376253749	-0.019268577
MvSl-1064-A1-R4_A1g00005	MvSl-1064-A1-R4_A1	aMAT	7783	9967	5.916193045	-0.059029749	0.773412573	0.999958419	5.794052874	5.973029683	6.025132572	5.860829944	5.883541279	5.942981258	-0.013118053
MvSl-1064-A1-R4_A1g00006	MvSl-1064-A1-R4_A1	aMAT	10297	11118	7.432435503	0.008686399	0.965905871	0.999958419	7.331307728	7.535010758	7.485395252	7.368424573	7.433159243	7.426909913	0.001119443
MvSl-1064-A1-R4_A1g00007	MvSl-1064-A1-R4_A1	aMAT	11416	12757	7.707787016	0.210262502	0.311383635	0.945084766	7.715259214	7.89718937	7.611350788	7.586415163	7.806224292	7.598882976	0.035927305
MvSl-1064-A1-R4_A1g00008	MvSl-1064-A1-R4_A1	aMAT	13778	17299	7.668700282	0.432991252	0.10482233	0.659023586	7.567144073	8.118516847	7.724074711	7.076313012	7.84283046	7.400193862	0.077466818
MvSl-1064-A1-R4_A1g00009	MvSl-1064-A1-R4_A1	aMAT	17742	19664	7.48257019	0.706101624	0.011832871	0.18623183	7.295073378	8.162255044	7.297162385	6.841342334	7.728664211	7.06925236	0.118644822
MvSl-1064-A1-R4_A1g00013	MvSl-1064-A1-R4_A1	aMAT	25010	25687	6.101611484	0.051676877	0.786979704	0.999958419	6.165570737	6.087879102	6.078750701	6.072467594	6.126724919	6.075609147	0.010965723
MvSl-1064-A1-R4_A1g00017	MvSl-1064-A1-R4_A1	aMAT	32832	32999	1.165118263	-0.889547079	0.048414505	0.448778782	0.282163865	0.965564	1.22353768	1.759902609	0.623863933	1.491720145	-0.761752711
MvSl-1064-A1-R4_A1g00025	MvSl-1064-A1-R4_A1	aMAT	44670	45575	0.898321535	-0.216576115	0.65660409	0.999958419	1.189780108	0.238559882	0.640509712	1.279421104	0.714169995	0.959965408	-0.243302194
MvSl-1064-A1-R4_A1g00031	MvSl-1064-A1-R4_A1	aMAT	60777	61230	4.633687528	-0.118574157	0.656854732	0.999958419	4.48281534	4.657998243	4.408748092	4.927466109	4.570406792	4.6681071	-0.026883956
