gida1	dnds	dn	ds	gida2	dnds	dn	ds
MvSl-1064-A1-R4_A1g00004	0.0685	0.0008	0.0111	MvSl-1064-A2-R4_A2g00004	0.0685	0.0008	0.0111
MvSl-1064-A1-R4_A1g00005	0.2957	0.0036	0.0121	MvSl-1064-A2-R4_A2g00005	0.2957	0.0036	0.0121
MvSl-1064-A1-R4_A1g00006	0.3101	0.0064	0.0207	MvSl-1064-A2-R4_A2g00006	0.3101	0.0064	0.0207
MvSl-1064-A1-R4_A1g00007	0.1726	0.0025	0.0143	MvSl-1064-A2-R4_A2g00007	0.1726	0.0025	0.0143
MvSl-1064-A1-R4_A1g00008	0.4125	0.0065	0.0158	MvSl-1064-A2-R4_A2g00008	0.4125	0.0065	0.0158
MvSl-1064-A1-R4_A1g00009	0.1576	0.0037	0.0235	MvSl-1064-A2-R4_A2g00009	0.1576	0.0037	0.0235
MvSl-1064-A1-R4_A1g00011	0.7104	0.0199	0.0279	MvSl-1064-A2-R4_A2g00011	0.7104	0.0199	0.0279
MvSl-1064-A1-R4_A1g00013	0.001	0	0.002	MvSl-1064-A2-R4_A2g00013	0.001	0	0.002
MvSl-1064-A1-R4_A1g00017	0.4247	0	0	MvSl-1064-A2-R4_A2g00017	0.5053	0	0
MvSl-1064-A1-R4_A1g00018	0.001	0	0	MvSl-1064-A2-R4_A2g00018	0.3884	0	0
MvSl-1064-A1-R4_A1g00019	0.4232	0	0	MvSl-1064-A2-R4_A2g00019	0.45	0	0
MvSl-1064-A1-R4_A1g00020	0.4501	0	0	MvSl-1064-A2-R4_A2g00020	0.001	0	0
MvSl-1064-A1-R4_A1g00022	0.3825	0	0	MvSl-1064-A2-R4_A2g00022	0.4076	0	0
MvSl-1064-A1-R4_A1g00023	98.9996	0.001	0	MvSl-1064-A2-R4_A2g00023	98.9996	0.001	0
MvSl-1064-A1-R4_A1g00025	0.3848	0	0	MvSl-1064-A2-R4_A2g00025	0.001	0	0
MvSl-1064-A1-R4_A1g00026	0.9781	0.0007	0.0008	MvSl-1064-A2-R4_A2g00026	0.9785	0.0007	0.0008
MvSl-1064-A1-R4_A1g00027	98.9996	0	0	MvSl-1064-A2-R4_A2g00027	1.4827	0	0
MvSl-1064-A1-R4_A1g00028	0.3924	0	0	MvSl-1064-A2-R4_A2g00028	0.4479	0	0
MvSl-1064-A1-R4_A1g00031	98.9996	0.0077	0.0001	MvSl-1064-A2-R4_A2g00031	98.9996	0.0077	0.0001
MvSl-1064-A1-R4_A1g00032	0.3101	0.004	0.0128	MvSl-1064-A2-R4_A2g00032	0.3101	0.004	0.0128
MvSl-1064-A1-R4_A1g00033	0.2208	0.0049	0.0224	MvSl-1064-A2-R4_A2g00033	0.2208	0.0049	0.0224
MvSl-1064-A1-R4_A1g00034	0.001	0	0.0186	MvSl-1064-A2-R4_A2g00034	0.001	0	0.0186
MvSl-1064-A1-R4_A1g00035	1.0857	0.009	0.0083	MvSl-1064-A2-R4_A2g00035	1.0857	0.009	0.0083
MvSl-1064-A1-R4_A1g00036	1.4421	0.0046	0.0032	MvSl-1064-A2-R4_A2g00036	1.4421	0.0046	0.0032
MvSl-1064-A1-R4_A1g00037	0.5294	0.004	0.0076	MvSl-1064-A2-R4_A2g00037	0.5294	0.004	0.0076
MvSl-1064-A1-R4_A1g00038	0.232	0.0111	0.0478	MvSl-1064-A2-R4_A2g00038	0.232	0.0111	0.0478
MvSl-1064-A1-R4_A1g00039	0.5024	0.0022	0.0044	MvSl-1064-A2-R4_A2g00039	0.5024	0.0022	0.0044
MvSl-1064-A1-R4_A1g00040	1.2639	0.0134	0.0106	MvSl-1064-A2-R4_A2g00040	1.2639	0.0134	0.0106
MvSl-1064-A1-R4_A1g00042	0.1346	0.0173	0.1283	MvSl-1064-A2-R4_A2g00042	0.1346	0.0173	0.1283
MvSl-1064-A1-R4_A1g00044	0.7209	0.0106	0.0146	MvSl-1064-A2-R4_A2g00044	0.7209	0.0106	0.0146
MvSl-1064-A1-R4_A1g00045	0.2461	0.0091	0.0369	MvSl-1064-A2-R4_A2g00045	0.2461	0.0091	0.0369
MvSl-1064-A1-R4_A1g00046	0.4538	0.0047	0.0103	MvSl-1064-A2-R4_A2g00046	0.4538	0.0047	0.0103
MvSl-1064-A1-R4_A1g00047	2.3413	0.0093	0.004	MvSl-1064-A2-R4_A2g00047	2.3413	0.0093	0.004
MvSl-1064-A1-R4_A1g00048	0.1797	0.0038	0.0209	MvSl-1064-A2-R4_A2g00048	0.1797	0.0038	0.0209
MvSl-1064-A1-R4_A1g00049	0.617	0.0057	0.0092	MvSl-1064-A2-R4_A2g00049	0.6164	0.0056	0.009
MvSl-1064-A1-R4_A1g00050	0.3243	0.0043	0.0133	MvSl-1064-A2-R4_A2g00050	0.3243	0.0043	0.0133
MvSl-1064-A1-R4_A1g00051	0.4192	0.0027	0.0064	MvSl-1064-A2-R4_A2g00051	0.4192	0.0027	0.0064
MvSl-1064-A1-R4_A1g00052	1.3523	0.0197	0.0146	MvSl-1064-A2-R4_A2g00052	1.3523	0.0197	0.0146
MvSl-1064-A1-R4_A1g00053	0.9899	0.0105	0.0106	MvSl-1064-A2-R4_A2g00053	0.9899	0.0105	0.0106
MvSl-1064-A1-R4_A1g00054	1.5644	0.0049	0.0031	MvSl-1064-A2-R4_A2g00054	1.5644	0.0049	0.0031
MvSl-1064-A1-R4_A1g00055	1.9234	0.0102	0.0053	MvSl-1064-A2-R4_A2g00055	1.9234	0.0102	0.0053
MvSl-1064-A1-R4_A1g00056	0.0892	0.0007	0.0083	MvSl-1064-A2-R4_A2g00056	0.0892	0.0007	0.0083
MvSl-1064-A1-R4_A1g00057	0.001	0	0	MvSl-1064-A2-R4_A2g00057	0.4956	0	0
MvSl-1064-A1-R4_A1g00058	0.001	0	0	MvSl-1064-A2-R4_A2g00058	0.4877	0	0
MvSl-1064-A1-R4_A1g00059	0.7131	0.0086	0.0121	MvSl-1064-A2-R4_A2g00059	0.7131	0.0086	0.0121
MvSl-1064-A1-R4_A1g00060	98.9996	0.0172	0.0002	MvSl-1064-A2-R4_A2g00060	98.9996	0.0172	0.0002
MvSl-1064-A1-R4_A1g00061	0.5833	0.004	0.0068	MvSl-1064-A2-R4_A2g00061	0.5833	0.004	0.0068
MvSl-1064-A1-R4_A1g00062	0.5092	0.0058	0.0114	MvSl-1064-A2-R4_A2g00062	0.5092	0.0058	0.0114
MvSl-1064-A1-R4_A1g00063	0.3828	0.0085	0.0221	MvSl-1064-A2-R4_A2g00063	0.3828	0.0085	0.0221
MvSl-1064-A1-R4_A1g00064	0.7781	0.0109	0.014	MvSl-1064-A2-R4_A2g00064	0.7781	0.0109	0.014
MvSl-1064-A1-R4_A1g00065	0.5556	0.0038	0.0068	MvSl-1064-A2-R4_A2g00065	0.5556	0.0038	0.0068
MvSl-1064-A1-R4_A1g00066	0.4247	0	0	MvSl-1064-A2-R4_A2g00066	0.337	0	0
MvSl-1064-A1-R4_A1g00067	0.0822	0.0011	0.0138	MvSl-1064-A2-R4_A2g00067	0.0822	0.0011	0.0138
MvSl-1064-A1-R4_A1g00068	0.647	0.0051	0.0079	MvSl-1064-A2-R4_A2g00068	0.647	0.0051	0.0079
MvSl-1064-A1-R4_A1g00069	0.322	0.0023	0.0073	MvSl-1064-A2-R4_A2g00069	0.322	0.0023	0.0073
MvSl-1064-A1-R4_A1g00070	0.5493	0.0061	0.0111	MvSl-1064-A2-R4_A2g00070	0.5493	0.0061	0.0111
MvSl-1064-A1-R4_A1g00071	0.3922	0.0048	0.0122	MvSl-1064-A2-R4_A2g00071	0.3922	0.0048	0.0122
MvSl-1064-A1-R4_A1g00072	0.4669	0.0051	0.0109	MvSl-1064-A2-R4_A2g00072	0.4669	0.0051	0.0109
