gid	gidmvsd	dnds	dn	ds
MvSl-1064-A1-R4_MC03g04281	MvSdioicae-1303-FR02-D-N206-PbcR_C029g10623	0.2025	0.2508	1.2388
MvSl-1064-A1-R4_MC01-2g02988	MvSdioicae-1303-FR02-D-N206-PbcR_C016g08043	0.0969	0.1646	1.6982
MvSl-1064-A1-R4_MC01-1g02313	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01625	0.214	0.0023	0.0108
MvSl-1064-A1-R4_MC07g07785	MvSdioicae-1303-FR02-D-N206-PbcR_C013g07145	0.26	0.0018	0.0068
MvSl-1064-A1-R4_MC11g10368	MvSdioicae-1303-FR02-D-N206-PbcR_C007g04672	0.1632	0.0009	0.0056
MvSl-1064-A1-R4_MC10-1g09692	MvSdioicae-1303-FR02-D-N206-PbcR_C018g08643	0.2597	0.0043	0.0165
MvSl-1064-A1-R4_MC11g10280	MvSdioicae-1303-FR02-D-N206-PbcR_C007g04763	0.0409	0.0007	0.0169
MvSl-1064-A1-R4_MC12g11107	MvSdioicae-1303-FR02-D-N206-PbcR_C008g05025	0.1995	0.0039	0.0198
MvSl-1064-A1-R4_MC03g04631	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00602	0.3062	0.0021	0.007
MvSl-1064-A1-R4_MC06g07031	MvSdioicae-1303-FR02-D-N206-PbcR_C020g09085	0.3984	0.0035	0.0088
MvSl-1064-A1-R4_MC01-1g02031	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01280	0.5516	0.0048	0.0087
MvSl-1064-A1-R4_MC08g08354	MvSdioicae-1303-FR02-D-N206-PbcR_C010g06123	0.3142	0.0044	0.0138
MvSl-1064-A1-R4_MC04-1g05515	MvSdioicae-1303-FR02-D-N206-PbcR_C004g03051	0.96	0.0028	0.0029
MvSl-1064-A1-R4_MC02g03602	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03613	0.0845	0.0008	0.0089
MvSl-1064-A1-R4_MC10-2g10027	MvSdioicae-1303-FR02-D-N206-PbcR_C014g07591	0.3654	0.0031	0.0086
MvSl-1064-A1-R4_MC02g03382	MvSdioicae-1303-FR02-D-N206-PbcR_C029g10614	0.3989	0.0036	0.009
MvSl-1064-A1-R4_MC05-3g06620	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02337	0.1345	0.0025	0.0187
MvSl-1064-A1-R4_MC06g07475	MvSdioicae-1303-FR02-D-N206-PbcR_C027g10365	0.1243	0.001	0.0082
MvSl-1064-A1-R4_MC03g04935	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00287	0.1453	0.0019	0.0133
MvSl-1064-A1-R4_MC08g08584	MvSdioicae-1303-FR02-D-N206-PbcR_C010g05890	0.1935	0.003	0.0154
MvSl-1064-A1-R4_MC09-2g09028	MvSdioicae-1303-FR02-D-N206-PbcR_C016g08070	0.5209	0	0
MvSl-1064-A1-R4_MC07g07611	MvSdioicae-1303-FR02-D-N206-PbcR_C013g07332	98.9996	0.0058	0.0001
MvSl-1064-A1-R4_MC10-2g10016	MvSdioicae-1303-FR02-D-N206-PbcR_C014g07578	0.8287	0.0036	0.0044
MvSl-1064-A1-R4_MC02g04130	MvSdioicae-1303-FR02-D-N206-PbcR_C022g09499	0.8211	0.0049	0.006
MvSl-1064-A1-R4_MC05-3g06587	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02307	0.5529	0.006	0.0109
MvSl-1064-A1-R4_MC13g11481	MvSdioicae-1303-FR02-D-N206-PbcR_C009g05585	0.9607	0.0107	0.0112
MvSl-1064-A1-R4_MC13g11378	MvSdioicae-1303-FR02-D-N206-PbcR_C009g05469	0.0762	0.0004	0.0058
MvSl-1064-A1-R4_MC02g03625	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03589	0.1372	0.0006	0.0045
MvSl-1064-A1-R4_MC07g07705	MvSdioicae-1303-FR02-D-N206-PbcR_C013g07229	98.9996	0.0042	0
