Haploid	Gene	Genomicloc	intronnr	intronmean	introntotal	ploidy
A1	MvSl-1064-A1-R4_MC03g04896	aAutosome	1	41	41	diploidy
A1	MvSl-1064-A1-R4_C24g01527	aAutosome	4	282.25	1129	diploidy
A1	MvSl-1064-A1-R4_C24g01526	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_C24g01525	aAutosome	1	70	70	diploidy
A1	MvSl-1064-A1-R4_C24g01523	aAutosome	1	291	291	diploidy
A1	MvSl-1064-A1-R4_MC14g12006	aAutosome	2	151.5	303	diploidy
A1	MvSl-1064-A1-R4_MC14g12005	aAutosome	1	291	291	diploidy
A1	MvSl-1064-A1-R4_MC14g12004	aAutosome	1	270	270	diploidy
A1	MvSl-1064-A1-R4_MC14g12003	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC14g12002	aAutosome	1	109	109	diploidy
A1	MvSl-1064-A1-R4_MC14g12001	aAutosome	1	326	326	diploidy
A1	MvSl-1064-A1-R4_MC14g12000	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC14g11999	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC14g11998	aAutosome	1	328	328	diploidy
A1	MvSl-1064-A1-R4_MC14g11997	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC14g11995	aAutosome	2	188	376	diploidy
A1	MvSl-1064-A1-R4_MC06g07032	aAutosome	3	78.3333	235	diploidy
A1	MvSl-1064-A1-R4_MC06g07033	aAutosome	16	79.75	1276	diploidy
A1	MvSl-1064-A1-R4_MC09-2g09582	aAutosome	1	255	255	diploidy
A1	MvSl-1064-A1-R4_MC09-2g09580	aAutosome	1	268	268	diploidy
A1	MvSl-1064-A1-R4_MC09-2g09579	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC09-2g09578	aAutosome	4	181	724	diploidy
A1	MvSl-1064-A1-R4_MC09-2g09577	aAutosome	1	0	0	diploidy
