gid	gname	chr	start	end	logCPM	logFC.water.rich	logFC.water.diploid	logFC.rich.diploid	PV.water.rich	PV.water.diploid	PV.rich.diploid	FDR.water.rich	FDR.water.diploid	FDR.rich.diploid	water1	water2	rich1	rich2	di1	di2
MvSl-1064-A1-R4_A1g00001	MvSl-1064-A1-R4_A1	MAT	1	453	8.02565426475683	-0.052251334243115	-1.31403829379006	-1.26178695954694	0.9333842022905	0.030743836267023	0.0405553777341546	1	0.103211450325006	0.0839692842953863	7.67973631470914	7.23973512189281	8.24098902145138	6.15150410848597	9.23501290804789	7.97851940989329
MvSl-1064-A1-R4_A1g00012	MvSl-1064-A1-R4_A1	MAT	26008	26178	4.45673746067644	3.89649462486818	-0.54686245236344	-4.44335707723162	0.0336875208199713	0.555967962924902	0.0112993968286204	0.0761208403143582	0.753040180330559	0.0284660241900906	4.81746383814689	4.19897676272701	3.65459552555813	3.65459552555813	4.75399775944264	4.93381510747154
MvSl-1064-A1-R4_A1g00088	MvSl-1064-A1-R4_A1	MAT	206579	207529	8.86298914401443	-0.046075766619414	1.10196416270439	1.1480399293238	0.89008441833499	0.00178707449428473	0.00129504928913479	1	0.00893537247142363	0.00416899428694076	8.98499894376263	9.24599536085979	9.1719689815066	9.15867958661805	7.83568887297763	8.22949774307387
MvSl-1064-A1-R4_A1g00090	MvSl-1064-A1-R4_A1	MAT	209408	209716	3.87615710109529	0	-3.21820247943225	-3.21820247943225	1	0.0761954482627846	0.106226065000261	1	0.206641527476364	0.186291979664637	3.65459552555813	3.65459552555813	3.65459552555813	3.65459552555813	3.65459552555813	4.61909347618597
MvSl-1064-A1-R4_A1g00094	MvSl-1064-A1-R4_A1	MAT	215113	216890	4.32643755073097	-4.81037614538804	-2.36639644456618	2.44397970082185	0.0017154556346695	0.210363639118963	0.0382947111043159	0.00580046149852276	0.392911020841726	0.0799933965290155	3.65459552555813	3.65459552555813	4.82100932781139	5.27016786155353	4.30658124188589	3.65459552555813
MvSl-1064-A1-R4_A1g00095	MvSl-1064-A1-R4_A1	MAT	217252	218206	10.2616938854178	-2.62077848497563	-2.00561908468743	0.615159400288206	9.5594959664579e-12	1.37413122337005e-07	0.0832505863515623	1.44934293685007e-10	1.74551804049709e-06	0.154655239467329	7.81916399705599	8.83634980454466	10.9623257488609	11.0128702946875	10.613521313641	10.0992010126775
MvSl-1064-A1-R4_A1g00096	MvSl-1064-A1-R4_A1	MAT	218396	218626	4.07219366781657	0	-4.13859106808604	-4.13859106808604	1	0.012228865850999	0.0224525856876739	1	0.0471301265994071	0.0507109574139407	3.65459552555813	3.65459552555813	3.65459552555813	3.65459552555813	4.75399775944264	4.61909347618597
MvSl-1064-A1-R4_A1g00101	MvSl-1064-A1-R4_A1	MAT	224546	224905	7.91437647953419	2.38869020740723	1.52529864673199	-0.863391560675241	2.60236146995022e-07	0.000319993337216872	0.0849831045943687	2.22383616523019e-06	0.00221171865429308	0.156635526115111	8.70833925891677	8.9074490850884	6.93432155211057	6.15150410848597	6.82429812069911	7.71618524031572
MvSl-1064-A1-R4_A1g00103	MvSl-1064-A1-R4_A1	MAT	226869	229344	6.29378809926562	1.20498094805252	1.60217135388958	0.397190405837055	0.0586446972633061	0.0139921578256958	0.590076360535974	0.122623716652781	0.0530347917586856	0.722598535693586	6.92858125901655	6.93399246499796	6.37714635217986	5.27016786155353	5.09501009494027	5.91929328093719
MvSl-1064-A1-R4_A1g00105	MvSl-1064-A1-R4_A1	MAT	231277	231462	3.65459552555813	0	0	0	1	1	1	1	1	1	3.65459552555813	3.65459552555813	3.65459552555813	3.65459552555813	3.65459552555813	3.65459552555813
MvSl-1064-A1-R4_A1g00114	MvSl-1064-A1-R4_A1	MAT	258422	259176	11.4396811185885	0.517125173729164	0.580246957737234	0.0631217840080701	0.0842056335413018	0.0526722482116261	0.833871227020037	0.162600947312085	0.163946732844134	0.946665402655597	11.4079039362934	12.0745728124191	11.2767467825649	11.2507771123996	11.2763984057232	11.1222508080673
MvSl-1064-A1-R4_A1g00117	MvSl-1064-A1-R4_A1	MAT	267885	268632	8.29338732985254	-0.63201109568635	-1.55877296256604	-0.926761866879691	0.1260492007263	8.01996646421056e-05	0.0169629382301785	0.220234662979036	0.000661295480382274	0.0404373799974631	7.25762152944937	7.6660039948389	8.38321693199289	7.69745744146148	9.10909094495687	8.81347896045311
MvSl-1064-A1-R4_A1g00121	MvSl-1064-A1-R4_A1	MAT	274757	275079	12.5692197902302	-1.49796474166664	-0.250451282638667	1.24751345902797	6.02771481437252e-06	0.442259795066002	0.000149953825235367	3.67925449708452e-05	0.635545244258341	0.00059727371068324	11.4936729071891	12.1051402765231	13.1156289724135	13.5091841814956	12.2366223861191	11.907106247568
MvSl-1064-A1-R4_A1g00123	MvSl-1064-A1-R4_A1	MAT	281578	282184	6.57803351632194	1.37492944410851	0.345255914309414	-1.02967352979909	0.0174457607469787	0.498809340416782	0.0890862813015853	0.0455528197282221	0.691564572259256	0.161040585429789	6.79980594281244	7.12509122448683	6.07571304894674	5.49472204770933	6.72966313150425	6.59188159321706
MvSl-1064-A1-R4_A1g00124	MvSl-1064-A1-R4_A1	MAT	282374	283117	10.3146364678161	2.91808978080335	-0.534912200218781	-3.45300198102213	1.44945992399253e-13	0.115474966091191	4.68911157474401e-18	2.96193984468038e-12	0.279622749269537	1.10194122006484e-16	10.2942430739411	10.7249082265435	8.16424618081043	7.0176952878259	11.0697867626574	11.0425461292768
