gid	Down	downak5	part8	youngold	haploid	DE
MvSl-1064-A1-R4_A1g00326	ak5	0	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC01-1g02885	ak5 	2	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-2g03006	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g00642	ak5	0	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_A1g01021	ak5 	1	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC15g12148	ak5	2	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-2g02970	ak5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g01282	ak5 	1	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC09-2g09067	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g01162	ak5	0	Blue	OldStrata	A1	Down
MvSl-1064-A1-R4_MC04-1g05282	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC11g10576	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g00546	ak5	1	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC06g07138	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g00230	ak5	1	Purple	OldStrata	A1	Down
MvSl-1064-A1-R4_A1g00835	ak5	1	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC07g07961	ak5 	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC05-1g06209	ak5	2	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g01049	ak5	2	Centro	Centro	A1	Down
MvSl-1064-A1-R4_MC04-1g05826	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g01163	ak5	0	Blue	OldStrata	A1	Down
MvSl-1064-A1-R4_A1g01220	ak5	0	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC11g10730	ak5 	6	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-1g02827	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-1g02912	ak5	8	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC09-2g09566	ak5 	3	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-1g01970	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g00349	ak5	0	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_A1g00745	ak5 	1	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC01-1g02924	ak5	10	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC03g05222	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC04-1g06069	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC11g10575	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC05-3g06760	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC03g05070	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC11g10346	ak5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-1g02734	ak5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC03g04879	ak5 	2	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC03g04959	ak5	1	Auto	Auto	A1	Down
