biasstatus	bias	A1	interval	numberofgenes	prop	total	a2number	prop2	diffprop	diffnr
DE	aup	A1	aupstream2K	3	0.078947368	38	7	0.184210526	-0.105263158	-4
DE	aup	A1	bupstream2K-10K	10	0.263157895	38	11	0.289473684	-0.026315789	-1
DE	aup	A1	cupstream10K020K	10	0.263157895	38	7	0.184210526	0.078947368	3
DE	aup	A1	ddownstream2K	4	0.105263158	38	3	0.078947368	0.026315789	1
DE	aup	A1	edownstream2K-10K	13	0.342105263	38	14	0.368421053	-0.026315789	-1
DE	aup	A1	fdownstream10K020K	13	0.342105263	38	10	0.263157895	0.078947368	3
DE	bdown	A1	aupstream2K	3	0.107142857	28	3	0.107142857	0	0
DE	bdown	A1	bupstream2K-10K	12	0.428571429	28	7	0.25	0.178571429	5
DE	bdown	A1	cupstream10K020K	4	0.142857143	28	5	0.178571429	-0.035714286	-1
DE	bdown	A1	ddownstream2K	2	0.071428571	28	3	0.107142857	-0.035714286	-1
DE	bdown	A1	edownstream2K-10K	16	0.571428571	28	7	0.25	0.321428571	9
DE	bdown	A1	fdownstream10K020K	1	0.035714286	28	7	0.25	-0.214285714	-6
NON	cnull	A1	aupstream2K	11	0.039711191	277	17	0.061371841	-0.02166065	-6
NON	cnull	A1	bupstream2K-10K	85	0.306859206	277	77	0.277978339	0.028880866	8
NON	cnull	A1	cupstream10K020K	51	0.184115523	277	61	0.220216606	-0.036101083	-10
NON	cnull	A1	ddownstream2K	17	0.061371841	277	17	0.061371841	0	0
NON	cnull	A1	edownstream2K-10K	69	0.249097473	277	81	0.292418773	-0.0433213	-12
NON	cnull	A1	fdownstream10K020K	52	0.187725632	277	47	0.16967509	0.018050542	5
