biasstatus	bias	A1	interval	numberofgenes	prop	total	a2number	prop2	diffprop	diffnr
DE	aup	A1	cupstream2K	11	0.107843137	102	11	0.107843137	0	0
DE	bdown	A1	cupstream2K	17	0.097142857	175	16	0.091428571	0.005714286	1
NON	cnull	A1	cupstream2K	355	0.042833012	8288	357	0.043074324	-0.000241313	-2
DE	aup	A1	bupstream2K-10K	13	0.12745098	102	14	0.137254902	-0.009803922	-1
DE	bdown	A1	bupstream2K-10K	29	0.165714286	175	30	0.171428571	-0.005714286	-1
NON	cnull	A1	bupstream2K-10K	979	0.118122587	8288	980	0.118243243	-0.000120656	-1
DE	aup	A1	aupstream10K020K	10	0.098039216	102	10	0.098039216	0	0
DE	bdown	A1	aupstream10K020K	20	0.114285714	175	20	0.114285714	0	0
NON	cnull	A1	aupstream10K020K	947	0.114261583	8288	956	0.11534749	-0.001085907	-9
DE	aup	A1	ddownstream2K	11	0.107843137	102	11	0.107843137	0	0
DE	bdown	A1	ddownstream2K	20	0.114285714	175	21	0.12	-0.005714286	-1
NON	cnull	A1	ddownstream2K	334	0.040299228	8288	332	0.040057915	0.000241313	2
DE	aup	A1	edownstream2K-10K	10	0.098039216	102	10	0.098039216	0	0
DE	bdown	A1	edownstream2K-10K	23	0.131428571	175	23	0.131428571	0	0
NON	cnull	A1	edownstream2K-10K	974	0.117519305	8288	990	0.119449807	-0.001930502	-16
DE	aup	A1	fdownstream10K020K	13	0.12745098	102	13	0.12745098	0	0
DE	bdown	A1	fdownstream10K020K	18	0.102857143	175	18	0.102857143	0	0
NON	cnull	A1	fdownstream10K020K	972	0.117277992	8288	979	0.118122587	-0.000844595	-7
