biasstatus	bias	A1	interval	numbera1cor	prop	total	a2umbercor	prop2	diffnrcor	diffpropcor
DE	aup	A1	cupstream2K	26	0.053608247	485	32	0.065979381	-6	-0.012371134
DE	aup	A1	bupstream2K-10K	68	0.140206186	485	65	0.134020619	3	0.006185567
DE	aup	A1	aupstream10K020K	62	0.127835052	485	61	0.125773196	1	0.002061856
DE	aup	A1	ddownstream2K	34	0.070103093	485	35	0.072164948	-1	-0.002061856
DE	aup	A1	edownstream2K-10K	55	0.113402062	485	57	0.117525773	-2	-0.004123711
DE	aup	A1	fdownstream10K020K	49	0.101030928	485	47	0.096907216	2	0.004123711
DE	bdown	A1	cupstream2K	15	0.02529511	593	21	0.035413153	-6	-0.010118044
DE	bdown	A1	bupstream2K-10K	96	0.161888702	593	88	0.148397976	8	0.013490725
DE	bdown	A1	aupstream10K020K	75	0.126475548	593	74	0.124789207	1	0.001686341
DE	bdown	A1	ddownstream2K	25	0.042158516	593	23	0.038785835	2	0.003372681
DE	bdown	A1	edownstream2K-10K	93	0.15682968	593	93	0.15682968	0	0
DE	bdown	A1	fdownstream10K020K	72	0.121416526	593	73	0.123102867	-1	-0.001686341
NON	cnull	A1	cupstream2K	313	0.036382657	8603	312	0.036266419	1	0.000116239
NON	cnull	A1	bupstream2K-10K	907	0.105428339	8603	911	0.105893293	-4	-0.000464954
NON	cnull	A1	aupstream10K020K	874	0.101592468	8603	891	0.103568523	-17	-0.001976055
NON	cnull	A1	ddownstream2K	291	0.03382541	8603	291	0.03382541	0	0
NON	cnull	A1	edownstream2K-10K	909	0.105660816	8603	923	0.107288155	-14	-0.001627339
NON	cnull	A1	fdownstream10K020K	925	0.107520632	8603	931	0.108218063	-6	-0.000697431
