biasstatus	bias	A1	interval	numberofgenes	prop	total	a2number	prop2	diffnr	diffprop
DE	aup	A1	aupstream2K	14	0.1	140	19	0.135714286	-5	-0.035714286
DE	aup	A1	bupstream2K-10K	23	0.164285714	140	37	0.264285714	-14	-0.1
DE	aup	A1	cupstream10K020K	20	0.142857143	140	25	0.178571429	-5	-0.035714286
DE	aup	A1	ddownstream2K	15	0.107142857	140	24	0.171428571	-9	-0.064285714
DE	aup	A1	edownstream2K-10K	23	0.164285714	140	30	0.214285714	-7	-0.05
DE	aup	A1	fdownstream10K020K	26	0.185714286	140	25	0.178571429	1	0.007142857
DE	bdown	A1	aupstream2K	25	0.123152709	203	18	0.088669951	7	0.034482759
DE	bdown	A1	bupstream2K-10K	84	0.413793103	203	25	0.123152709	59	0.290640394
DE	bdown	A1	cupstream10K020K	96	0.472906404	203	17	0.083743842	79	0.389162562
DE	bdown	A1	ddownstream2K	30	0.147783251	203	14	0.068965517	16	0.078817734
DE	bdown	A1	edownstream2K-10K	93	0.458128079	203	24	0.118226601	69	0.339901478
DE	bdown	A1	fdownstream10K020K	98	0.482758621	203	23	0.113300493	75	0.369458128
NON	cnull	A1	aupstream2K	366	0.042732049	8565	374	0.043666083	-8	-0.000934034
NON	cnull	A1	bupstream2K-10K	1064	0.124226503	8565	1057	0.123409224	7	0.00081728
NON	cnull	A1	cupstream10K020K	998	0.116520724	8565	1017	0.118739054	-19	-0.00221833
NON	cnull	A1	ddownstream2K	351	0.040980736	8565	349	0.040747227	2	0.000233508
NON	cnull	A1	edownstream2K-10K	1043	0.121774664	8565	1071	0.125043783	-28	-0.003269119
NON	cnull	A1	fdownstream10K020K	1024	0.119556334	8565	1026	0.119789842	-2	-0.000233508
