target_id	est_counts	est_counts	tpm	tpm
MvSl-1064-A2-R4_A2g00001	60.8716	57.3888	7.59553	7.43229
MvSl-1064-A2-R4_A2g00002	581.42	510.314	127.96	139.04
MvSl-1064-A2-R4_A2g00003	850.61	1376.61	5.63064	3.22671
MvSl-1064-A2-R4_A2g00004	1780	1854	16.7291	14.8997
MvSl-1064-A2-R4_A2g00005	1424	1270	43.7514	45.516
MvSl-1064-A2-R4_A2g00006	3922	3615	60.1196	60.5319
MvSl-1064-A2-R4_A2g00007	4280	4205	21.9718	20.742
MvSl-1064-A2-R4_A2g00008	4628	2952	31.0376	45.1433
MvSl-1064-A2-R4_A2g00009	3442	2508	40.0648	51.027
MvSl-1064-A2-R4_A2g00010	69.6127	62.6231	0.811509	0.837011
MvSl-1064-A2-R4_A2g00011	44.3303	39.9838	1.9166	1.97462
MvSl-1064-A2-R4_A2g00012	1.66975	0.0162075	0.0104052	0.990051
MvSl-1064-A2-R4_A2g00013	1478.39	1470.92	13.485	12.5732
MvSl-1064-A2-R4_A2g00014	172	91	4.43247	7.78709
MvSl-1064-A2-R4_A2g00015	217	125	4.08818	6.57961
MvSl-1064-A2-R4_A2g00016	27	13	8.62047	16.3008
MvSl-1064-A2-R4_A2g00017	49	72	0.601629	0.379814
MvSl-1064-A2-R4_A2g00018	0	0	0	0
MvSl-1064-A2-R4_A2g00019	53.616	80.72	1.22694	0.756263
MvSl-1064-A2-R4_A2g00020	90.1091	64.6622	18.2797	24.1668
MvSl-1064-A2-R4_A2g00021	397.723	376.478	66.4887	65.5082
MvSl-1064-A2-R4_A2g00022	4.46481	5.78004	0.293876	0.211155
MvSl-1064-A2-R4_A2g00023	38.4795	31.7709	0.296004	0.332582
MvSl-1064-A2-R4_A2g00024	0	0	0	0
MvSl-1064-A2-R4_A2g00025	32	51	0.447307	0.26036
MvSl-1064-A2-R4_A2g00026	991.789	1291.66	4.2292	3.01157
MvSl-1064-A2-R4_A2g00027	52	64	1.7723	1.33856
MvSl-1064-A2-R4_A2g00028	271.301	264.87	12.8327	12.2185
MvSl-1064-A2-R4_A2g00029	45.7207	42.2225	8.69574	8.8535
MvSl-1064-A2-R4_A2g00030	1002.92	958.495	99.8916	96.8985
MvSl-1064-A2-R4_A2g00031	463	664	8.69954	5.62856
MvSl-1064-A2-R4_A2g00032	14266	13475	95.8617	94.139
MvSl-1064-A2-R4_A2g00033	570	588	15.9195	14.3386
MvSl-1064-A2-R4_A2g00034	0	0	0	0
MvSl-1064-A2-R4_A2g00035	696	605	9.63695	10.2884
MvSl-1064-A2-R4_A2g00036	887	870	12.7909	12.1012
MvSl-1064-A2-R4_A2g00037	509	595	4.39474	3.48731
MvSl-1064-A2-R4_A2g00038	0	0	0	0
MvSl-1064-A2-R4_A2g00039	5979	4905	31.654	35.7894
MvSl-1064-A2-R4_A2g00040	48	54	0.663036	0.546832
MvSl-1064-A2-R4_A2g00041	0	2	1.00419	0
MvSl-1064-A2-R4_A2g00042	0	1.17989	0.0904786	0
