target_id	est_counts	est_counts	tpm	tpm
MvSl-1064-A1-R4_A1g00001	30.5363	24.2061	4.2399	3.16804
MvSl-1064-A1-R4_A1g00002	437.557	384.186	44.3504	35.9519
MvSl-1064-A1-R4_A1g00003	1168.75	778.605	2.24828	1.44841
MvSl-1064-A1-R4_A1g00004	1501	1468	6.62195	6.22245
MvSl-1064-A1-R4_A1g00005	1040	1217	14.2779	15.7085
MvSl-1064-A1-R4_A1g00006	2956	3519	143.186	154.886
MvSl-1064-A1-R4_A1g00007	3942	4623	10.1182	11.456
MvSl-1064-A1-R4_A1g00008	3560	5391	18.2278	26.4719
MvSl-1064-A1-R4_A1g00009	2947	5557	24.8407	44.5391
MvSl-1064-A1-R4_A1g00010	37	60	0.368747	0.566344
MvSl-1064-A1-R4_A1g00011	34.6184	75	0.979088	1.96212
MvSl-1064-A1-R4_A1g00012	2.38155	0	0.644405	0
MvSl-1064-A1-R4_A1g00013	1345.39	1320.39	6.72368	6.33039
MvSl-1064-A1-R4_A1g00014	46	110.341	1.89484	4.17419
MvSl-1064-A1-R4_A1g00015	76	194	1.17127	2.80583
MvSl-1064-A1-R4_A1g00016	53	64	14.835	18.0242
MvSl-1064-A1-R4_A1g00017	22	39	0.115742	0.1967
MvSl-1064-A1-R4_A1g00018	0	0	0	0
MvSl-1064-A1-R4_A1g00019	33.1429	33.2328	0.488962	0.460282
MvSl-1064-A1-R4_A1g00020	66.3029	104.121	7.5871	11.1931
MvSl-1064-A1-R4_A1g00021	962.113	783.781	177.001	142.168
MvSl-1064-A1-R4_A1g00022	9.01962	4.68906	0.26069	0.125246
MvSl-1064-A1-R4_A1g00023	27.882	15.1034	0.193756	0.10018
MvSl-1064-A1-R4_A1g00024	1	1	0.0226682	0.0210565
MvSl-1064-A1-R4_A1g00025	40	21	0.211897	0.106639
MvSl-1064-A1-R4_A1g00026	550.312	451.247	0.972995	0.771867
MvSl-1064-A1-R4_A1g00027	43	49	0.477893	0.514459
