target_id	length	eff_length	est_counts	tpm
MvSl-1064-A1-R4_A1g00001	250	51.143	24.2061	3.16804
MvSl-1064-A1-R4_A1g00002	294	71.5273	384.186	35.9519
MvSl-1064-A1-R4_A1g00003	3903	3598.12	778.605	1.44841
MvSl-1064-A1-R4_A1g00004	1884	1579.12	1468	6.22245
MvSl-1064-A1-R4_A1g00005	822	518.571	1217	15.7085
MvSl-1064-A1-R4_A1g00006	417	152.075	3519	154.886
MvSl-1064-A1-R4_A1g00007	3006	2701.12	4623	11.456
MvSl-1064-A1-R4_A1g00008	1668	1363.12	5391	26.4719
MvSl-1064-A1-R4_A1g00009	1140	835.125	5557	44.5391
MvSl-1064-A1-R4_A1g00010	1014	709.125	60	0.566344
MvSl-1064-A1-R4_A1g00011	543	255.852	75	1.96212
MvSl-1064-A1-R4_A1g00012	171	24.4946	0	0
MvSl-1064-A1-R4_A1g00013	1701	1396.12	1320.39	6.33039
MvSl-1064-A1-R4_A1g00014	450	176.936	110.341	4.17419
MvSl-1064-A1-R4_A1g00015	765	462.798	194	2.80583
MvSl-1064-A1-R4_A1g00016	168	23.767	64	18.0242
MvSl-1064-A1-R4_A1g00017	1632	1327.12	39	0.1967
MvSl-1064-A1-R4_A1g00018	225	41.965	0	0
MvSl-1064-A1-R4_A1g00019	786	483.275	33.2328	0.460282
MvSl-1064-A1-R4_A1g00020	276	62.2645	104.121	11.1931
MvSl-1064-A1-R4_A1g00021	210	36.9016	783.781	142.168
MvSl-1064-A1-R4_A1g00022	537	250.595	4.68906	0.125246
MvSl-1064-A1-R4_A1g00023	1314	1009.12	15.1034	0.10018
MvSl-1064-A1-R4_A1g00024	612	317.882	1	0.0210565
MvSl-1064-A1-R4_A1g00025	1623	1318.12	21	0.106639
MvSl-1064-A1-R4_A1g00026	4218	3913.12	451.247	0.771867
MvSl-1064-A1-R4_A1g00027	942	637.524	49	0.514459
MvSl-1064-A1-R4_A1g00028	504	222.177	138	4.1575
MvSl-1064-A1-R4_A1g00029	171	24.4946	48	13.1166
MvSl-1064-A1-R4_A1g00030	369	118.041	1038.28	58.8754
MvSl-1064-A1-R4_A1g00031	957	652.396	467	4.79135
MvSl-1064-A1-R4_A1g00032	1554	1249.12	13033	69.8378
MvSl-1064-A1-R4_A1g00033	801	497.928	424	5.69969
MvSl-1064-A1-R4_A1g00034	147	18.1872	0	0
MvSl-1064-A1-R4_A1g00035	1386	1081.12	815	5.04584
MvSl-1064-A1-R4_A1g00036	1194	889.125	788	5.9322
MvSl-1064-A1-R4_A1g00037	2421	2116.12	504	1.59419
MvSl-1064-A1-R4_A1g00038	582	290.637	3	0.0690912
MvSl-1064-A1-R4_A1g00039	1836	1531.12	6186	27.0428
MvSl-1064-A1-R4_A1g00040	1083	778.125	43	0.369889
MvSl-1064-A1-R4_A1g00041	192	31.4728	2	0.42535
MvSl-1064-A1-R4_A1g00042	528	242.689	0	0
MvSl-1064-A1-R4_A1g00043	408	145.673	2.55791	0.117533
MvSl-1064-A1-R4_A1g00044	714	413.385	0	0
MvSl-1064-A1-R4_A1g00045	489	209.201	0	0
MvSl-1064-A1-R4_A1g00046	879	575.19	288	3.35145
MvSl-1064-A1-R4_A1g00047	900	595.957	686	7.70479
MvSl-1064-A1-R4_A1g00048	1572	1267.12	538	2.84194
MvSl-1064-A1-R4_A1g00049	2622	2317.12	786	2.27052
MvSl-1064-A1-R4_A1g00050	4482	4177.12	1064	1.70497
MvSl-1064-A1-R4_A1g00051	1077	772.125	3155	27.3504
MvSl-1064-A1-R4_A1g00052	231	44.0531	42	6.38154
MvSl-1064-A1-R4_A1g00053	1257	952.125	2081	14.6295
MvSl-1064-A1-R4_A1g00054	1167	862.125	108	0.838505
MvSl-1064-A1-R4_A1g00055	1287	982.125	603	4.10963
MvSl-1064-A1-R4_A1g00056	1731	1426.12	8634	40.5235
MvSl-1064-A1-R4_A1g00057	324	88.8305	530	39.9361
MvSl-1064-A1-R4_A1g00058	150	19.0273	28	9.84992
MvSl-1064-A1-R4_A1g00059	207	36.173	234	43.2996
MvSl-1064-A1-R4_A1g00060	954	649.396	97	0.999802
MvSl-1064-A1-R4_A1g00061	660	362.148	2795	51.6592
MvSl-1064-A1-R4_A1g00062	2145	1840.12	1243.78	4.52426
MvSl-1064-A1-R4_A1g00063	951	646.396	641	6.6376
MvSl-1064-A1-R4_A1g00064	699	398.752	5705	95.7644
MvSl-1064-A1-R4_A1g00065	1950	1645.12	3082	12.5397
MvSl-1064-A1-R4_A1g00066	555	266.672	4772.12	119.78
MvSl-1064-A1-R4_A1g00067	1356	1051.12	42	0.267453
MvSl-1064-A1-R4_A1g00068	1194	889.125	33	0.24843
MvSl-1064-A1-R4_A1g00069	4290	3985.12	944	1.58556
MvSl-1064-A1-R4_A1g00070	2757	2452.12	3201	8.73766
MvSl-1064-A1-R4_A1g00071	1488	1183.12	366	2.07063
MvSl-1064-A1-R4_A1g00072	1992	1687.12	3519	13.9612
MvSl-1064-A1-R4_A1g00073	1128	823.125	385	3.13074
MvSl-1064-A1-R4_A1g00074	1842	1537.12	11706	50.9743
MvSl-1064-A1-R4_A1g00075	1302	997.125	0	0
MvSl-1064-A1-R4_A1g00076	2580	2275.12	2731	8.03468
MvSl-1064-A1-R4_A1g00077	1383	1078.12	1997	12.3983
MvSl-1064-A1-R4_A1g00078	462	186.53	4104	147.269
MvSl-1064-A1-R4_A1g00079	4167	3862.12	1128	1.95495
MvSl-1064-A1-R4_A1g00080	456	181.575	1130	41.6558
MvSl-1064-A1-R4_A1g00081	1092	787.125	1405.71	11.9537
MvSl-1064-A1-R4_A1g00082	192	31.4728	0	0
MvSl-1064-A1-R4_A1g00083	1032	727.125	2.0249	0.01864
MvSl-1064-A1-R4_A1g00084	321	86.9512	1	0.0769797
MvSl-1064-A1-R4_A1g00085	186	29.7838	0	0
MvSl-1064-A1-R4_A1g00086	2037	1732.12	7.54003	0.0291371
MvSl-1064-A1-R4_A1g00087	8937	8632.12	323.16	0.250583
MvSl-1064-A1-R4_A1g00088	768	465.705	106.306	1.52792
MvSl-1064-A1-R4_A1g00089	132	14.9186	0	0
MvSl-1064-A1-R4_A1g00090	249	50.5781	0	0
MvSl-1064-A1-R4_A1g00091	648	351.015	1	0.0190689
MvSl-1064-A1-R4_A1g00092	588	295.969	85.5852	1.93555
MvSl-1064-A1-R4_A1g00093	423	156.41	57.0914	2.44319
MvSl-1064-A1-R4_A1g00094	1032	727.125	0	0
MvSl-1064-A1-R4_A1g00095	456	181.575	0	0
MvSl-1064-A1-R4_A1g00096	231	44.0531	0	0
MvSl-1064-A1-R4_A1g00097	1041	736.125	19.9027	0.180972
MvSl-1064-A1-R4_A1g00098	195	32.2822	0	0
MvSl-1064-A1-R4_A1g00099	2667	2362.12	61.7708	0.175038
MvSl-1064-A1-R4_A1g00100	156	20.6825	44.6258	14.4422
MvSl-1064-A1-R4_A1g00101	360	112.094	81	4.83675
MvSl-1064-A1-R4_A1g00102	1101	796.125	30.7854	0.25883
MvSl-1064-A1-R4_A1g00103	1473	1168.12	12.2272	0.0700632
MvSl-1064-A1-R4_A1g00104	222	40.6418	0	0
MvSl-1064-A1-R4_A1g00105	186	29.7838	0	0
MvSl-1064-A1-R4_A1g00106	1359	1054.12	35.6234	0.226201
MvSl-1064-A1-R4_A1g00107	1335	1030.12	1.04241	0.00677328
MvSl-1064-A1-R4_A1g00108	168	23.767	780	219.671
MvSl-1064-A1-R4_A1g00109	717	416.302	3140	50.4863
MvSl-1064-A1-R4_A1g00110	2571	2266.12	4947	14.612
MvSl-1064-A1-R4_A1g00111	123	12.699	1	0.527086
MvSl-1064-A1-R4_A1g00112	324	88.8305	54.0577	4.07331
MvSl-1064-A1-R4_A1g00113	2700	2395.12	4276	11.9498
MvSl-1064-A1-R4_A1g00114	540	253.119	686.982	18.1666
MvSl-1064-A1-R4_A1g00115	2403	2098.12	157.02	0.500929
MvSl-1064-A1-R4_A1g00116	4941	4636.12	18.0831	0.0261077
MvSl-1064-A1-R4_A1g00117	504	222.177	7	0.210888
MvSl-1064-A1-R4_A1g00118	693	392.952	296.703	5.05399
MvSl-1064-A1-R4_A1g00119	165	22.583	33.4066	9.90154
MvSl-1064-A1-R4_A1g00120	1674	1369.12	356.721	1.74397
MvSl-1064-A1-R4_A1g00121	207	36.173	2864.92	530.127
MvSl-1064-A1-R4_A1g00122	4917	4612.12	125.495	0.182128
MvSl-1064-A1-R4_A1g00123	489	209.201	52.996	1.69563
MvSl-1064-A1-R4_A1g00124	420	154.3	990.739	42.9778
MvSl-1064-A1-R4_A1g00125	1239	934.125	51.6303	0.369957
MvSl-1064-A1-R4_A1g00126	681	381.46	2173	38.1296
MvSl-1064-A1-R4_A1g00127	192	31.4728	918719	195389
MvSl-1064-A1-R4_A1g00128	165	22.583	2121.99	628.946
