target_id	length	eff_length	est_counts	tpm
MvSl-1064-A2-R4_A2g00001	405	126.134	60.8716	7.43229
MvSl-1064-A2-R4_A2g00002	294	64.4006	581.42	139.04
MvSl-1064-A2-R4_A2g00003	4404	4059.84	850.61	3.22671
MvSl-1064-A2-R4_A2g00004	2184	1839.84	1780	14.8997
MvSl-1064-A2-R4_A2g00005	822	481.821	1424	45.516
MvSl-1064-A2-R4_A2g00006	1342	997.844	3922	60.5319
MvSl-1064-A2-R4_A2g00007	3522	3177.84	4280	20.742
MvSl-1064-A2-R4_A2g00008	1923	1578.84	4628	45.1433
MvSl-1064-A2-R4_A2g00009	1383	1038.84	3442	51.027
MvSl-1064-A2-R4_A2g00010	1625	1280.84	69.6127	0.837011
MvSl-1064-A2-R4_A2g00011	678	345.745	44.3303	1.97462
MvSl-1064-A2-R4_A2g00012	171	25.9736	1.66975	0.990051
MvSl-1064-A2-R4_A2g00013	2155	1810.84	1478.39	12.5732
MvSl-1064-A2-R4_A2g00014	672	340.167	172	7.78709
MvSl-1064-A2-R4_A2g00015	849	507.924	217	6.57961
MvSl-1064-A2-R4_A2g00016	168	25.509	27	16.3008
MvSl-1064-A2-R4_A2g00017	2331	1986.84	49	0.379814
MvSl-1064-A2-R4_A2g00018	295	64.7423	0	0
MvSl-1064-A2-R4_A2g00019	1436	1091.84	53.616	0.756263
MvSl-1064-A2-R4_A2g00020	276	57.4234	90.1091	24.1668
MvSl-1064-A2-R4_A2g00021	352	93.5027	397.723	65.5082
MvSl-1064-A2-R4_A2g00022	656	325.642	4.46481	0.211155
MvSl-1064-A2-R4_A2g00023	2126	1781.84	38.4795	0.332582
MvSl-1064-A2-R4_A2g00024	906	563.38	0	0
MvSl-1064-A2-R4_A2g00025	2237	1892.84	32	0.26036
MvSl-1064-A2-R4_A2g00026	5416	5071.84	991.789	3.01157
MvSl-1064-A2-R4_A2g00027	942	598.278	52	1.33856
MvSl-1064-A2-R4_A2g00028	674	341.957	271.301	12.2185
MvSl-1064-A2-R4_A2g00029	325	79.5311	45.7207	8.8535
MvSl-1064-A2-R4_A2g00030	454	159.4	1002.92	96.8985
MvSl-1064-A2-R4_A2g00031	1611	1266.84	463	5.62856
MvSl-1064-A2-R4_A2g00032	2678	2333.84	14266	94.139
MvSl-1064-A2-R4_A2g00033	956	612.219	570	14.3386
MvSl-1064-A2-R4_A2g00034	224	40.6492	0	0
MvSl-1064-A2-R4_A2g00035	1386	1041.84	696	10.2884
MvSl-1064-A2-R4_A2g00036	1473	1128.84	887	12.1012
MvSl-1064-A2-R4_A2g00037	2592	2247.84	509	3.48731
MvSl-1064-A2-R4_A2g00038	1125	780.844	0	0
MvSl-1064-A2-R4_A2g00039	2917	2572.84	5979	35.7894
MvSl-1064-A2-R4_A2g00040	1696	1351.84	48	0.546832
MvSl-1064-A2-R4_A2g00041	192	31.5615	0	0
MvSl-1064-A2-R4_A2g00042	528	215.483	0	0
MvSl-1064-A2-R4_A2g00043	560	242.175	22	1.39905
MvSl-1064-A2-R4_A2g00044	1005	660.844	0	0
MvSl-1064-A2-R4_A2g00045	1132	787.844	2	0.0390957
MvSl-1064-A2-R4_A2g00046	1461	1116.84	320	4.41262
MvSl-1064-A2-R4_A2g00047	1270	925.844	693	11.5275
MvSl-1064-A2-R4_A2g00048	1572	1227.84	610	7.65113
MvSl-1064-A2-R4_A2g00049	3176	2831.84	789	4.29088
MvSl-1064-A2-R4_A2g00050	4700	4355.84	1202	4.24983
MvSl-1064-A2-R4_A2g00051	1417	1072.84	2413	34.6386
MvSl-1064-A2-R4_A2g00052	411	129.727	68	8.0727
MvSl-1064-A2-R4_A2g00053	1614	1269.84	2149	26.063
MvSl-1064-A2-R4_A2g00054	1704	1359.84	161	1.82337
MvSl-1064-A2-R4_A2g00055	1431	1086.84	945	13.3907
MvSl-1064-A2-R4_A2g00056	2299	1954.84	7302	57.5266
MvSl-1064-A2-R4_A2g00057	324	78.9861	557	108.603
MvSl-1064-A2-R4_A2g00058	278	58.2617	30	7.93007
