gida1	youngold	logFC.A1.A2	abs	DE	DE2	genediff	upk5diff	upk10diff	upk15diff	upk20diff	down5kdiff	down10kdiff	down15kdiff	down20kdiff	youngold	logFC.A1.A2	ratioprot	DE	DE2	ratiocds
MvSl-1064-A1-R4_A1g00004	bPAR	0.093859496	0.093859496	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	0.093859496	1	NON	NON	1
MvSl-1064-A1-R4_A1g00005	bPAR	0.061132212	0.061132212	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	0.061132212	1	NON	NON	1
MvSl-1064-A1-R4_A1g00006	bPAR	-0.001433167	0.001433167	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	-0.001433167	1	NON	NON	1
MvSl-1064-A1-R4_A1g00007	bPAR	-0.209759381	0.209759381	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	-0.209759381	1	NON	NON	1
MvSl-1064-A1-R4_A1g00008	bPAR	-0.432955455	0.432955455	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	-0.432955455	1	NON	NON	1
MvSl-1064-A1-R4_A1g00009	bPAR	-0.705217973	0.705217973	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	-0.705217973	1	NON	NON	1
MvSl-1064-A1-R4_A1g00013	bPAR	0.331950936	0.331950936	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	0.331950936	1	NON	NON	1
MvSl-1064-A1-R4_A1g00017	bPAR	0.898515206	0.898515206	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	0.898515206	1	NON	NON	1
MvSl-1064-A1-R4_A1g00025	bPAR	-0.01122618	0.01122618	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	-0.01122618	1	NON	NON	1
MvSl-1064-A1-R4_A1g00031	bPAR	0.144288744	0.144288744	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	0.144288744	1	NON	NON	1
MvSl-1064-A1-R4_A1g00032	bPAR	-0.058255452	0.058255452	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	-0.058255452	1	NON	NON	1
MvSl-1064-A1-R4_A1g00033	bPAR	0.290462864	0.290462864	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	0.290462864	1	NON	NON	1
MvSl-1064-A1-R4_A1g00035	bPAR	-0.42420988	0.42420988	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	-0.42420988	1	NON	NON	1
MvSl-1064-A1-R4_A1g00036	bPAR	-0.001040873	0.001040873	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	-0.001040873	1	NON	NON	1
MvSl-1064-A1-R4_A1g00037	bPAR	-0.135067368	0.135067368	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	-0.135067368	1	NON	NON	1
MvSl-1064-A1-R4_A1g00039	bPAR	-0.294988642	0.294988642	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	-0.294988642	1	NON	NON	1
