gida1	logFC.A1.A2	abs	youngold	GC0diff	GC3diff	DE
MvSl-1064-A1-R4_A1g00004	0.093859496	0.093859496	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00005	0.061132212	0.061132212	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00006	-0.001433167	0.001433167	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00007	-0.209759381	0.209759381	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00008	-0.432955455	0.432955455	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00009	-0.705217973	0.705217973	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00013	0.331950936	0.331950936	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00017	0.898515206	0.898515206	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00025	-0.01122618	0.01122618	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00031	0.144288744	0.144288744	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00032	-0.058255452	0.058255452	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00033	0.290462864	0.290462864	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00035	-0.42420988	0.42420988	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00036	-0.001040873	0.001040873	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00037	-0.135067368	0.135067368	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00039	-0.294988642	0.294988642	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00040	0.21168993	0.21168993	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00046	-0.167998149	0.167998149	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00047	-0.106373771	0.106373771	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00048	-0.003773033	0.003773033	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00049	-0.011328206	0.011328206	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00050	0.307636601	0.307636601	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00051	-0.521803825	0.521803825	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00052	0.234775283	0.234775283	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00053	-0.082958764	0.082958764	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00054	0.266858021	0.266858021	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00055	0.465758998	0.465758998	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00056	-0.137229584	0.137229584	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00057	0.055084542	0.055084542	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00061	-0.161410321	0.161410321	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00062	0.158931977	0.158931977	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00063	-0.061888586	0.061888586	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00064	0.176179425	0.176179425	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00065	-0.25401122	0.25401122	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00066	-0.017148952	0.017148952	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00067	0.22606909	0.22606909	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00068	0.417722847	0.417722847	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00069	0.262994688	0.262994688	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00070	-0.335137523	0.335137523	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00072	-0.10139453	0.10139453	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00074	-0.556269443	0.556269443	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00076	0.045865339	0.045865339	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g00077	-0.046850616	0.046850616	bPAR	-0.14	0.22	NON
MvSl-1064-A1-R4_A1g00109	-0.144342568	0.144342568	ColorStrata	-0.24	-0.67	NON
MvSl-1064-A1-R4_A1g00110	0.241287933	0.241287933	ColorStrata	-0.04	0.12	NON
MvSl-1064-A1-R4_A1g00113	-0.075035752	0.075035752	ColorStrata	0.11	0.11	NON
MvSl-1064-A1-R4_A1g00144	-0.412659961	0.412659961	OldStrata	0.23	0.76	NON
MvSl-1064-A1-R4_A1g00153	-0.269881931	0.269881931	OldStrata	-0.27	-0.58	NON
MvSl-1064-A1-R4_A1g00155	0.426648292	0.426648292	OldStrata	0.13	0.39	NON
MvSl-1064-A1-R4_A1g00175	0.199201769	0.199201769	OldStrata	0.21	-0.34	NON
MvSl-1064-A1-R4_A1g00184	0.164107121	0.164107121	OldStrata	0	0	NON
MvSl-1064-A1-R4_A1g00185	0.416321973	0.416321973	OldStrata	0.11	-0.1	NON
MvSl-1064-A1-R4_A1g00186	0.055420035	0.055420035	OldStrata	0.44	0.67	NON
MvSl-1064-A1-R4_A1g00193	-0.688650635	0.688650635	OldStrata	-0.22	-2.28	NON
MvSl-1064-A1-R4_A1g00211	0.185227777	0.185227777	OldStrata	-0.36	-0.61	NON
MvSl-1064-A1-R4_A1g00241	0.569678864	0.569678864	OldStrata	-0.71	-0.96	NON
MvSl-1064-A1-R4_A1g00245	-0.790101844	0.790101844	OldStrata	1.05	2.1	NON
MvSl-1064-A1-R4_A1g00280	0.227539771	0.227539771	OldStrata	0.11	0.47	NON
MvSl-1064-A1-R4_A1g00281	0.0839626	0.0839626	OldStrata	-0.23	-1.4	NON
MvSl-1064-A1-R4_A1g00290	0.178481473	0.178481473	OldStrata	0.22	0.74	NON
MvSl-1064-A1-R4_A1g00311	0.053430623	0.053430623	OldStrata	-0.03	-0.06	NON
MvSl-1064-A1-R4_A1g00327	-0.087017264	0.087017264	OldStrata	-0.12	0.39	NON
MvSl-1064-A1-R4_A1g00328	-0.093060328	0.093060328	OldStrata	0.31	-7.18	NON
MvSl-1064-A1-R4_A1g00351	0.198779887	0.198779887	OldStrata	-0.22	0.2	NON
MvSl-1064-A1-R4_A1g00352	0.141113881	0.141113881	OldStrata	0.47	0.68	NON
MvSl-1064-A1-R4_A1g00359	-0.246336768	0.246336768	OldStrata	0.09	0.29	NON
MvSl-1064-A1-R4_A1g00367	-0.553218188	0.553218188	ColorStrata	0.06	1.66	NON
MvSl-1064-A1-R4_A1g00368	-0.043565528	0.043565528	ColorStrata	0.25	0.5	NON
MvSl-1064-A1-R4_A1g00369	-0.086462896	0.086462896	ColorStrata	0	0	NON
MvSl-1064-A1-R4_A1g00371	-0.196176703	0.196176703	ColorStrata	-0.24	-0.62	NON
MvSl-1064-A1-R4_A1g00372	0.168740362	0.168740362	ColorStrata	0.1	0.3	NON
MvSl-1064-A1-R4_A1g00373	0.312102415	0.312102415	ColorStrata	0	0	NON
MvSl-1064-A1-R4_A1g00374	0.129086183	0.129086183	ColorStrata	-0.09	-0.14	NON
MvSl-1064-A1-R4_A1g00380	-0.537209791	0.537209791	ColorStrata	0.45	-1.37	NON
MvSl-1064-A1-R4_A1g00389	-0.203418508	0.203418508	ColorStrata	-0.13	0.06	NON
MvSl-1064-A1-R4_A1g00390	-0.022069907	0.022069907	ColorStrata	0.17	-0.26	NON
MvSl-1064-A1-R4_A1g00391	0.070339113	0.070339113	ColorStrata	0.09	0.09	NON
MvSl-1064-A1-R4_A1g00394	-0.006944094	0.006944094	ColorStrata	0	0	NON
MvSl-1064-A1-R4_A1g00395	-0.269694111	0.269694111	ColorStrata	0	0	NON
MvSl-1064-A1-R4_A1g00396	-0.169013158	0.169013158	ColorStrata	-0.11	0	NON
MvSl-1064-A1-R4_A1g00397	-0.117032966	0.117032966	ColorStrata	0	0	NON
MvSl-1064-A1-R4_A1g00398	-0.147374413	0.147374413	ColorStrata	0	0	NON
MvSl-1064-A1-R4_A1g00399	0.030493513	0.030493513	ColorStrata	0	0	NON
MvSl-1064-A1-R4_A1g00401	-0.351049332	0.351049332	ColorStrata	0.01	0.1	NON
MvSl-1064-A1-R4_A1g00402	-0.139682704	0.139682704	ColorStrata	-0.21	-0.36	NON
MvSl-1064-A1-R4_A1g00403	-0.474930026	0.474930026	ColorStrata	-0.07	-0.22	NON
MvSl-1064-A1-R4_A1g00404	0.367701232	0.367701232	ColorStrata	0.23	0.25	NON
MvSl-1064-A1-R4_A1g00405	-0.551722285	0.551722285	ColorStrata	-0.12	-0.18	NON
MvSl-1064-A1-R4_A1g00406	0.247766304	0.247766304	ColorStrata	0	0	NON
