gida1	a1prot	a1cds	gida2	a2prot	a2cds	part8	youngold	intron_nr_a1	intron_nr_byprota1	intron_nr_byprota1_transf	intron_mean_a1	intron_total_a1	intron_total_byprota1	intron_total_byprota1_trans	intron_nr_a2	intron_nr_byprota2	intron_nr_byprota2_trans	intron_mean_a2	intron_total_a2	intron_total_byprota2	intron_total_byprota2_trans	intron_nr_diff	intron_mean_diff	intron_total_diff	start	end	logCPM	logFC.A1.A2	abs	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE	DE2
MvSl-1064-A1-R4_A1g00002	97	294	MvSl-1064-A2-R4_A2g00002	97	294	bPAR	bPAR	1	0.010309278	0.101534617	0	0	0	0	1	0.010309278	0.101534617	0	0	0	0	0	0	0	1057	1350	4.600592	0.22967184	0.22967184	0.36183778	0.92532192	4.61401911	4.79982661	4.3583339	4.59460393	NON	NON
MvSl-1064-A1-R4_A1g00004	627	1884	MvSl-1064-A2-R4_A2g00004	627	1884	bPAR	bPAR	4	0.006379585	0.079872306	75.25	300	0.4784689	0.691714464	4	0.006379585	0.079872306	75	301	0.480063796	0.692866362	0	0.25	-1	2563	6967	6.37769739	0.0938595	0.0938595	0.61614823	0.9935289	6.45492714	6.39186829	6.28874616	6.37013514	NON	NON
MvSl-1064-A1-R4_A1g00005	273	822	MvSl-1064-A2-R4_A2g00005	273	822	bPAR	bPAR	1	0.003663004	0.060522753	0	0	0	0	1	0.003663004	0.060522753	0	0	0	0	0	0	0	7783	9967	5.96381297	0.06113221	0.06113221	0.76232265	0.99994992	5.91327438	6.07037289	6.018809	5.84146479	NON	NON
MvSl-1064-A1-R4_A1g00006	138	417	MvSl-1064-A2-R4_A2g00006	138	417	bPAR	bPAR	3	0.02173913	0.147441956	308.333	925	6.702898551	2.588995664	3	0.02173913	0.147441956	308.333	925	6.702898551	2.588995664	0	0	0	10297	11118	7.44962258	-0.0014332	0.00143317	0.99437206	0.99994992	7.39212515	7.50354392	7.54881302	7.34460106	NON	NON
MvSl-1064-A1-R4_A1g00007	1001	3006	MvSl-1064-A2-R4_A2g00007	1001	3006	bPAR	bPAR	5	0.004995005	0.070675349	103.2	516	0.515484515	0.717972503	5	0.004995005	0.070675349	103.2	516	0.515484515	0.717972503	0	0	0	11416	12757	7.75447577	-0.2097594	0.20975938	0.31621485	0.89823815	7.63477898	7.65692725	7.94427683	7.760999	NON	NON
MvSl-1064-A1-R4_A1g00008	555	1668	MvSl-1064-A2-R4_A2g00008	555	1668	bPAR	bPAR	3	0.005405405	0.073521462	85	255	0.459459459	0.677834389	3	0.005405405	0.073521462	85	255	0.459459459	0.677834389	0	0	0	13778	17299	7.71654768	-0.4329555	0.43295546	0.10593276	0.5825449	7.12633857	7.77056008	8.16631804	7.61502508	NON	NON
MvSl-1064-A1-R4_A1g00009	379	1140	MvSl-1064-A2-R4_A2g00009	379	1140	bPAR	bPAR	2	0.005277045	0.072643271	121.5	243	0.64116095	0.800725265	2	0.005277045	0.072643271	121.5	243	0.64116095	0.800725265	0	0	0	17742	19664	7.53105407	-0.705218	0.70521797	0.01220012	0.13633827	6.89555458	7.34240206	8.21125484	7.34167256	NON	NON
MvSl-1064-A1-R4_A1g00010	337	1014	MvSl-1064-A2-R4_A2g00010	337	1014	bPAR	bPAR	4	0.011869436	0.108946942	152.75	611	1.81305638	1.34649782	4	0.011869436	0.108946942	152.75	611	1.81305638	1.34649782	0	0	0	21256	22638	2.31304637	0.78560942	0.78560942	0.03284655	0.28193292	2.62067391	2.66005223	2.13949119	1.53718838	NON	NON
MvSl-1064-A1-R4_A1g00013	566	1701	MvSl-1064-A2-R4_A2g00013	566	1701	bPAR	bPAR	6	0.010600707	0.102959733	75.6667	454	0.802120141	0.895611602	6	0.010600707	0.102959733	75.6667	454	0.802120141	0.895611602	0	0	0	23065	24689	6.36358409	0.33195094	0.33195094	0.07727182	0.48289236	6.55476686	6.48360396	6.14336431	6.23146558	NON	NON
MvSl-1064-A1-R4_A1g00014	149	450	MvSl-1064-A2-R4_A2g00014	149	450	bPAR	bPAR	3	0.020134228	0.141895131	74	222	1.489932886	1.22062807	3	0.020134228	0.141895131	74	222	1.489932886	1.22062807	0	0	0	27672	29826	3.986166643	-1.647743756	1.647743756	4.11E-07	1.40E-05	2.493258973	3.300788254	4.693735746	4.474975314	Down	DE
