gene	haploid	chr	intronnr	intronmean	introntotal	DE_status	Expression
MvSl-1064-A1-R4_A1g00002	A1	bPAR	1	0	0	NON	4.53665
MvSl-1064-A1-R4_A1g00003	A1	bPAR	4	125.5	502	NON	5.47933
MvSl-1064-A1-R4_A1g00004	A1	bPAR	4	75.25	301	NON	6.28338
MvSl-1064-A1-R4_A1g00005	A1	bPAR	1	0	0	NON	5.88354
MvSl-1064-A1-R4_A1g00006	A1	bPAR	3	308.333	925	NON	7.43316
MvSl-1064-A1-R4_A1g00007	A1	bPAR	5	103.2	516	NON	7.80622
MvSl-1064-A1-R4_A1g00008	A1	bPAR	3	85	255	NON	7.84283
MvSl-1064-A1-R4_A1g00009	A1	bPAR	2	121.5	243	NON	7.72866
MvSl-1064-A1-R4_A1g00010	A1	bPAR	4	152.75	611	NON	2.12901
MvSl-1064-A1-R4_A1g00011	A1	bPAR	2	67.5	135	NON	1.52672
MvSl-1064-A1-R4_A1g00013	A1	bPAR	6	75.6667	454	NON	6.12672
MvSl-1064-A1-R4_A1g00014	A1	bPAR	3	74	222	NON	1.94846
MvSl-1064-A1-R4_A1g00015	A1	bPAR	2	42	84	NON	2.21368
MvSl-1064-A1-R4_A1g00016	A1	bPAR	1	0	0	NON	0.489485
MvSl-1064-A1-R4_A1g00017	A1	bPAR	8	87.375	699	NON	0.623864
MvSl-1064-A1-R4_A1g00019	A1	bPAR	3	216.667	650	NON	1.70799
MvSl-1064-A1-R4_A1g00020	A1	bPAR	1	0	0	NON	2.03446
MvSl-1064-A1-R4_A1g00021	A1	bPAR	1	142	142	DE	5.64847
MvSl-1064-A1-R4_A1g00023	A1	bPAR	4	203	812	NON	1.19889
MvSl-1064-A1-R4_A1g00025	A1	bPAR	7	87.7143	614	NON	0.71417
MvSl-1064-A1-R4_A1g00026	A1	bPAR	13	92.1538	1198	NON	5.50537
MvSl-1064-A1-R4_A1g00027	A1	bPAR	1	0	0	NON	1.32336
MvSl-1064-A1-R4_A1g00028	A1	bPAR	3	56.6667	170	NON	2.92956
MvSl-1064-A1-R4_A1g00029	A1	bPAR	2	77	154	NON	2.10911
