gid	dn	ds	dnds	part8	youngold	logCPM	logFC.A1.A2	abs	DE	DE2
MvSl-1064-A1-R4_A1g00004	0	0	0	bPAR	bPAR	6.37769739	0.093859496	0.093859496	NON	NON
MvSl-1064-A1-R4_A1g00005	0	0	0	bPAR	bPAR	5.963812974	0.061132212	0.061132212	NON	NON
MvSl-1064-A1-R4_A1g00006	0	0	0	bPAR	bPAR	7.449622575	-0.001433167	0.001433167	NON	NON
MvSl-1064-A1-R4_A1g00007	0	0	0	bPAR	bPAR	7.754475768	-0.209759381	0.209759381	NON	NON
MvSl-1064-A1-R4_A1g00008	0	0	0	bPAR	bPAR	7.716547682	-0.432955455	0.432955455	NON	NON
MvSl-1064-A1-R4_A1g00009	0	0	0	bPAR	bPAR	7.531054069	-0.705217973	0.705217973	NON	NON
MvSl-1064-A1-R4_A1g00013	0	0	0	bPAR	bPAR	6.363584088	0.331950936	0.331950936	NON	NON
MvSl-1064-A1-R4_A1g00017	0	0	0	bPAR	bPAR	1.30837585	0.898515206	0.898515206	NON	NON
MvSl-1064-A1-R4_A1g00025	0	0	0	bPAR	bPAR	1.013191082	-0.01122618	0.01122618	NON	NON
MvSl-1064-A1-R4_A1g00031	0	0	0	bPAR	bPAR	4.630233819	0.144288744	0.144288744	NON	NON
MvSl-1064-A1-R4_A1g00032	0	0	0	bPAR	bPAR	9.389985949	-0.058255452	0.058255452	NON	NON
MvSl-1064-A1-R4_A1g00033	0	0	0	bPAR	bPAR	4.63690302	0.290462864	0.290462864	NON	NON
MvSl-1064-A1-R4_A1g00035	0	0	0	bPAR	bPAR	5.170980134	-0.42420988	0.42420988	NON	NON
MvSl-1064-A1-R4_A1g00036	0	0	0	bPAR	bPAR	5.377557207	-0.001040873	0.001040873	NON	NON
MvSl-1064-A1-R4_A1g00037	0	0	0	bPAR	bPAR	4.778815488	-0.135067368	0.135067368	NON	NON
MvSl-1064-A1-R4_A1g00039	0	0	0	bPAR	bPAR	8.153864111	-0.294988642	0.294988642	NON	NON
MvSl-1064-A1-R4_A1g00040	0	0	0	bPAR	bPAR	1.231471397	0.21168993	0.21168993	NON	NON
MvSl-1064-A1-R4_A1g00046	0	0	0	bPAR	bPAR	3.951982821	-0.167998149	0.167998149	NON	NON
MvSl-1064-A1-R4_A1g00047	0	0	0	bPAR	bPAR	5.068655344	-0.106373771	0.106373771	NON	NON
MvSl-1064-A1-R4_A1g00048	0	0	0	bPAR	bPAR	4.856600856	-0.003773033	0.003773033	NON	NON
MvSl-1064-A1-R4_A1g00049	0	0	0	bPAR	bPAR	5.382915848	-0.011328206	0.011328206	NON	NON
MvSl-1064-A1-R4_A1g00050	0	0	0	bPAR	bPAR	5.555597154	0.307636601	0.307636601	NON	NON
MvSl-1064-A1-R4_A1g00051	0	0	0	bPAR	bPAR	6.903415168	-0.521803825	0.521803825	NON	NON
MvSl-1064-A1-R4_A1g00052	0	0	0	bPAR	bPAR	1.207430794	0.234775283	0.234775283	NON	NON
MvSl-1064-A1-R4_A1g00053	0	0	0	bPAR	bPAR	6.653729932	-0.082958764	0.082958764	NON	NON
MvSl-1064-A1-R4_A1g00054	0	0	0	bPAR	bPAR	2.554696186	0.266858021	0.266858021	NON	NON
MvSl-1064-A1-R4_A1g00055	0	0	0	bPAR	bPAR	5.455450152	0.465758998	0.465758998	NON	NON
MvSl-1064-A1-R4_A1g00056	0	0	0	bPAR	bPAR	8.508044655	-0.137229584	0.137229584	NON	NON
MvSl-1064-A1-R4_A1g00057	0	0	0	bPAR	bPAR	4.658019173	0.055084542	0.055084542	NON	NON
MvSl-1064-A1-R4_A1g00061	0	0	0	bPAR	bPAR	7.121469684	-0.161410321	0.161410321	NON	NON
MvSl-1064-A1-R4_A1g00062	0	0	0	bPAR	bPAR	6.161906462	0.158931977	0.158931977	NON	NON
MvSl-1064-A1-R4_A1g00063	0	0	0	bPAR	bPAR	5.042801333	-0.061888586	0.061888586	NON	NON
MvSl-1064-A1-R4_A1g00064	0	0	0	bPAR	bPAR	8.270164712	0.176179425	0.176179425	NON	NON
MvSl-1064-A1-R4_A1g00065	0	0	0	bPAR	bPAR	7.291025123	-0.25401122	0.25401122	NON	NON
MvSl-1064-A1-R4_A1g00066	0	0	0	bPAR	bPAR	7.896857301	-0.017148952	0.017148952	NON	NON
MvSl-1064-A1-R4_A1g00067	0	0	0	bPAR	bPAR	1.473127479	0.22606909	0.22606909	NON	NON
MvSl-1064-A1-R4_A1g00068	0	0	0	bPAR	bPAR	1.133120143	0.417722847	0.417722847	NON	NON
MvSl-1064-A1-R4_A1g00069	0	0	0	bPAR	bPAR	6.013953569	0.262994688	0.262994688	NON	NON
MvSl-1064-A1-R4_A1g00070	0	0	0	bPAR	bPAR	7.286589744	-0.335137523	0.335137523	NON	NON
MvSl-1064-A1-R4_A1g00072	0	0	0	bPAR	bPAR	7.834333696	-0.10139453	0.10139453	NON	NON
MvSl-1064-A1-R4_A1g00074	0	0	0	bPAR	bPAR	8.749194295	-0.556269443	0.556269443	NON	NON
MvSl-1064-A1-R4_A1g00076	0	0	0	bPAR	bPAR	7.141879721	0.045865339	0.045865339	NON	NON
MvSl-1064-A1-R4_A1g00077	0.0088	0.0036	2.444376545	bPAR	bPAR	6.61989281	-0.046850616	0.046850616	NON	NON
MvSl-1064-A1-R4_A1g00109	0.0047	0	47000	Green	ColorStrata	6.558557403	-0.144342568	0.144342568	NON	NON
MvSl-1064-A1-R4_A1g00110	0.0013	0.0011	1.181710754	Green	ColorStrata	8.260723867	0.241287933	0.241287933	NON	NON
MvSl-1064-A1-R4_A1g00113	0.0078	0.0015	5.199653356	Green	ColorStrata	7.979637652	-0.075035752	0.075035752	NON	NON
MvSl-1064-A1-R4_A1g00144	0.0496	0.0236	2.10168601	Black	OldStrata	6.389208762	-0.412659961	0.412659961	NON	NON
MvSl-1064-A1-R4_A1g00153	0.0341	0.0117	2.914505004	Black	OldStrata	7.254262017	-0.269881931	0.269881931	NON	NON
MvSl-1064-A1-R4_A1g00155	0.0419	0.0169	2.479275271	Black	OldStrata	6.358667938	0.426648292	0.426648292	NON	NON
MvSl-1064-A1-R4_A1g00175	0.1432	0.0538	2.66170509	Purple	OldStrata	6.255647499	0.199201769	0.199201769	NON	NON
MvSl-1064-A1-R4_A1g00184	0	0	0	Purple	OldStrata	6.243401212	0.164107121	0.164107121	NON	NON
MvSl-1064-A1-R4_A1g00185	0.0201	0.0126	1.595225435	Purple	OldStrata	8.465648249	0.416321973	0.416321973	NON	NON
MvSl-1064-A1-R4_A1g00186	0.0314	0.0087	3.609153918	Purple	OldStrata	7.53797843	0.055420035	0.055420035	NON	NON
MvSl-1064-A1-R4_A1g00193	0.0891	0.0318	2.801877982	Black	OldStrata	8.564615798	-0.688650635	0.688650635	NON	NON
MvSl-1064-A1-R4_A1g00211	0.0131	0.0051	2.568577087	Black	OldStrata	9.073264247	0.185227777	0.185227777	NON	NON
MvSl-1064-A1-R4_A1g00241	0.0283	0.0152	1.861829856	Black	OldStrata	7.200292797	0.569678864	0.569678864	NON	NON
MvSl-1064-A1-R4_A1g00245	0.0584	0.0105	5.561851792	Black	OldStrata	4.685181704	-0.790101844	0.790101844	NON	NON
