haploid	location	geneswith_TE	TE_total	TE_interval	totalte	totalgene	prop_withte	Te_prop
A1	centerplus0k	2257	5357	5357	29253	12266	0.184	0.183
A1	upstream5k	1336	7062	1705	29253	12266	0.109	0.058
A1	upstream10k	853	10530	3468	29253	12266	0.07	0.119
A1	upstream15k	685	13846	3316	29253	12266	0.056	0.113
A1	upstream20k	610	17115	3269	29253	12266	0.05	0.112
A1	downstream5k	1369	7117	1760	29253	12266	0.112	0.06
A1	downstream10k	853	10604	3487	29253	12266	0.07	0.119
A1	downstream15k	691	14073	3469	29253	12266	0.056	0.119
A1	downstream20k	620	17495	3422	29253	12266	0.051	0.117
A2	centerplus0k	2283	5054	5054	46575	12516	0.182	0.109
A2	upstream5k	1445	10704	5650	46575	12516	0.115	0.121
A2	upstream10k	884	15538	4834	46575	12516	0.071	0.104
A2	upstream15k	713	20636	5098	46575	12516	0.057	0.109
A2	upstream20k	635	25546	4910	46575	12516	0.051	0.105
A2	downstream5k	1508	10875	5821	46575	12516	0.12	0.125
A2	downstream10k	876	15994	5119	46575	12516	0.07	0.11
A2	downstream15k	725	21065	5071	46575	12516	0.058	0.109
A2	downstream20k	641	26083	5018	46575	12516	0.051	0.108
