haploid	location	with_TE	interval_TE	TE_total	TE_interval	totalgene	prop_withte
A1	adupstream5k	3593	3593	7062	7062	12266	0.292923528
A1	acupstream10k	4446	853	10530	3468	12266	0.069541823
A1	abupstream15k	5131	685	13846	3316	12266	0.055845426
A1	aaupstream20k	5741	610	17115	3269	12266	0.049730964
A1	badownstream5k	3626	3626	7117	7117	12266	0.295613892
A1	bbdownstream10k	4479	853	10604	3487	12266	0.069541823
A1	bcdownstream15k	5170	691	14073	3469	12266	0.056334583
A1	bdownstream20k	5790	620	17495	3386	12266	0.050546225
A2	adupstream5k	3728	3728	10704	10704	12516	0.297858741
A2	acupstream10k	4612	884	15538	4834	12516	0.070629594
A2	abupstream15k	5325	635	20636	5098	12516	0.050735059
A2	aaupstream20k	5960	635	25546	4910	12516	0.050735059
A2	badownstream5k	3791	3791	10875	10875	12516	0.302892298
A2	bbdownstream10k	4667	876	15994	5119	12516	0.069990412
A2	bcdownstream15k	5392	725	21065	5071	12516	0.057925855
A2	bdownstream20k	6033	641	26083	5018	12516	0.051214446
