genea2	dna2	dna2se	dsa2	dsa2se	dndsa2	chr	chrom	DE	genea1	dna1	dna1se	dsa1	dsa1se	dndsa1
MvSl-1064-A2-R4_A2g00007	0.00257	0.00149	0.01648	0.00588	0.155937	bPAR	bPAR	NON	MvSl-1064-A1-R4_A1g00007	0.00257	0.00149	0.01648	0.00588	0.155946
MvSl-1064-A2-R4_A2g00009	0.00248	0.00248	0.01672	0.00969	0.148316	bPAR	bPAR	NON	MvSl-1064-A1-R4_A1g00009	0.00248	0.00248	0.01672	0.00969	0.148324
MvSl-1064-A2-R4_A2g00013	0.00001	0	0.01032	0.00042	0.000968898	bPAR	bPAR	NON	MvSl-1064-A1-R4_A1g00013	0.00001	0	0.01032	0.00043	0.000968983
MvSl-1064-A2-R4_A2g00019	0	0	0.00001	0	0	bPAR	bPAR	NON	MvSl-1064-A1-R4_A1g00019	0	0.00004	0.00002	0.00788	0
MvSl-1064-A2-R4_A2g00023	0	0.00841	0.00001	0.01849	0	bPAR	bPAR	NON	MvSl-1064-A1-R4_A1g00023	0	0.00003	0.00001	0.0001	0
MvSl-1064-A2-R4_A2g00025	0	0	0	0	0	bPAR	bPAR	NON	MvSl-1064-A1-R4_A1g00025	0	0	0	0	0
MvSl-1064-A2-R4_A2g00026	0	0	0.00001	0	0	bPAR	bPAR	NON	MvSl-1064-A1-R4_A1g00026	0	0	0.00001	0	0
MvSl-1064-A2-R4_A2g00027	0	0	0.00001	0	0	bPAR	bPAR	NON	MvSl-1064-A1-R4_A1g00027	0	0	0.00001	0	0
MvSl-1064-A2-R4_A2g00032	0.00726	0.00422	0.02005	0.01174	0.362077	bPAR	bPAR	NON	MvSl-1064-A1-R4_A1g00032	0.00726	0.00422	0.02005	0.01175	0.362093
MvSl-1064-A2-R4_A2g00035	0.00903	0.00303	0.00832	0.00486	1.08521	bPAR	bPAR	NON	MvSl-1064-A1-R4_A1g00035	0.00903	0.00302	0.00832	0.00482	1.08532
MvSl-1064-A2-R4_A2g00037	0.00156	0.00156	0.00002	0.0001	74.2857	bPAR	bPAR	NON	MvSl-1064-A1-R4_A1g00037	0.00156	0.00156	0.00002	0.00009	77.6119
MvSl-1064-A2-R4_A2g00039	0.01257	0.00728	0.00013	0.00049	95.9542	bPAR	bPAR	NON	MvSl-1064-A1-R4_A1g00039	0.01257	0.00728	0.00013	0.00076	96.618
MvSl-1064-A2-R4_A2g00047	0	0.0001	0.00002	0.00963	0	bPAR	bPAR	NON	MvSl-1064-A1-R4_A1g00047	0	0	0.00002	0	0
MvSl-1064-A2-R4_A2g00051	0.00338	0.0034	0.00682	0.00686	0.495529	bPAR	bPAR	NON	MvSl-1064-A1-R4_A1g00051	0.00338	0.00339	0.00682	0.00684	0.495594
MvSl-1064-A2-R4_A2g00055	0.0021	0.0021	0.00002	0.00002	100	bPAR	bPAR	NON	MvSl-1064-A1-R4_A1g00055	0.0021	0.0021	0.00002	0.00002	104.478
MvSl-1064-A2-R4_A2g00064	0.00002	0	0.01754	0.0013	0.00114019	bPAR	bPAR	NON	MvSl-1064-A1-R4_A1g00064	0.00002	0	0.01757	0.00112	0.0011383
MvSl-1064-A2-R4_A2g00068	0.00467	0.0033	0.00574	0.00571	0.813447	bPAR	bPAR	NON	MvSl-1064-A1-R4_A1g00068	0.00467	0.00331	0.00574	0.00574	0.813575
MvSl-1064-A2-R4_A2g00069	0.00203	0.00144	0.00488	0.00346	0.415898	bPAR	bPAR	NON	MvSl-1064-A1-R4_A1g00069	0.00203	0.00143	0.00488	0.00345	0.415975
MvSl-1064-A2-R4_A2g00070	0.00493	0.00186	0.00874	0.00358	0.564009	bPAR	bPAR	NON	MvSl-1064-A1-R4_A1g00070	0.00493	0.00187	0.00874	0.00358	0.564067
MvSl-1064-A2-R4_A2g00073	0.00973	0.00473	0.01244	0.00828	0.782091	bPAR	bPAR	Down	MvSl-1064-A1-R4_A1g00073	0.00973	0.00477	0.01244	0.00843	0.782148
