gida1	comp	youngold	DE	a1intronnr	a1intronmean	a1introntotal
MvSl-1064-A1-R4_A1g00326	Black	OldStrata	Down	1	0	0
MvSl-1064-A1-R4_MC01-1g02885	Auto	Auto	Down	5	142.6	713
MvSl-1064-A1-R4_MC01-2g03006	Auto	Auto	Down	1	0	0
MvSl-1064-A1-R4_A1g00642	Black	OldStrata	Down	1	0	0
MvSl-1064-A1-R4_A1g01021	Black	OldStrata	Down	2	126.5	253
MvSl-1064-A1-R4_MC15g12148	Auto	Auto	Down	2	85	170
MvSl-1064-A1-R4_MC01-2g02970	Auto	Auto	Down	1	222	222
MvSl-1064-A1-R4_A1g01282	Black	OldStrata	Down	3	115	345
MvSl-1064-A1-R4_MC09-2g09067	Auto	Auto	Down	5	87.2	436
MvSl-1064-A1-R4_A1g01162	Blue	OldStrata	Down	2	68	136
MvSl-1064-A1-R4_MC04-1g05282	Auto	Auto	Down	1	103	103
MvSl-1064-A1-R4_MC11g10576	Auto	Auto	Down	4	100.75	403
MvSl-1064-A1-R4_A1g00546	Black	OldStrata	Down	2	72.5	145
MvSl-1064-A1-R4_MC06g07138	Auto	Auto	Down	7	81.7143	572
MvSl-1064-A1-R4_A1g00230	Purple	OldStrata	Down	4	119	476
MvSl-1064-A1-R4_A1g00835	Black	OldStrata	Down	2	65.5	131
MvSl-1064-A1-R4_MC07g07961	Auto	Auto	Down	1	184	184
MvSl-1064-A1-R4_MC05-1g06209	Auto	Auto	Down	2	140	280
MvSl-1064-A1-R4_A1g01049	Centro	Centro	Down	1	45	45
MvSl-1064-A1-R4_MC04-1g05826	Auto	Auto	Down	1	0	0
MvSl-1064-A1-R4_A1g01163	Blue	OldStrata	Down	4	87	348
MvSl-1064-A1-R4_A1g01220	Black	OldStrata	Down	8	86.125	689
MvSl-1064-A1-R4_MC11g10730	Auto	Auto	Down	4	147.25	589
MvSl-1064-A1-R4_MC01-1g02827	Auto	Auto	Down	2	70.5	141
MvSl-1064-A1-R4_MC01-1g02912	Auto	Auto	Down	6	167.833	1007
