gid	gname	chr	start	end	logCPM	logFC.water.rich	logFC.water.diploid	logFC.rich.diploid	PV.water.rich	PV.water.diploid	PV.rich.diploid	FDR.water.rich	FDR.water.diploid	FDR.rich.diploid	water1	water2	rich1	rich2	di1	di2	meanwater	meanrich	meandi	log2(waterdi)	log2(richdi)
MvSl-1064-A2-R4_A2g00652	MvSl-1064-A1-R4_A2	MAT	1390096	1391635	10.25513361	-0.022043491	-9.071220839	-9.049177348	0.984916623	1.75E-48	1.43E-56	1	4.52E-46	3.69E-54	3.906463375	3.87969288	3.113756926	4.374944685	11.30843017	12.20698348	3.893078128	3.744350806	11.75770683	-1.594623508	-1.650819199
MvSl-1064-A2-R4_A2g00285	MvSl-1064-A1-R4_A2	MAT	619988	620268	7.842205828	2.750953334	-7.507526164	-10.2584795	0.142535079	1.32E-28	8.70E-41	0.23173156	7.56E-27	1.12E-38	3.906463375	3.113756926	3.113756926	3.113756926	9.27555409	9.494177193	3.510110151	3.113756926	9.384865641	-1.418819786	-1.591679765
MvSl-1064-A2-R4_A2g00648	MvSl-1064-A1-R4_A2	MAT	1380922	1381843	11.4373797	0.945785608	-8.180493297	-9.126278906	0.181367138	1.62E-90	3.12E-110	0.278239794	8.39E-88	1.61E-107	5.334583991	5.040474215	4.21929665	4.743880427	13.08695274	12.93291904	5.187529103	4.481588538	13.00993589	-1.326494423	-1.537531749
MvSl-1064-A2-R4_A2g00233	MvSl-1064-A1-R4_A2	MAT	510742	511356	7.919343392	1.905543749	-4.40151841	-6.307062159	0.016138261	4.40E-20	3.03E-33	0.038627227	1.19E-18	2.61E-31	5.334583991	5.284439669	3.113756926	4.571173904	9.241002565	9.537512911	5.30951183	3.842465415	9.389257738	-0.822431889	-1.288978836
MvSl-1064-A2-R4_A2g01587	MvSl-1064-A1-R4_A2	MAT	3493135	3494190	7.61148123	-3.667599236	-10.00408873	-6.33648949	0.073842559	4.09E-24	1.74E-26	0.134424659	1.32E-22	8.98E-25	3.113756926	3.113756926	3.935762933	3.877988403	8.642988338	9.5029491	3.113756926	3.906875668	9.072968719	-1.542918359	-1.215559341
MvSl-1064-A2-R4_A2g01703	MvSl-1064-A1-R4_A2	MAT	3752179	3752331	7.045859305	2.26899925	-3.770494293	-6.039493543	0.014812727	2.82E-11	7.39E-21	0.036294692	2.75E-10	2.25E-19	5.545092968	4.377359676	3.113756926	4.147759517	8.090911323	8.765797894	4.961226322	3.630758222	8.428354608	-0.764554243	-1.214980153
MvSl-1064-A2-R4_A2g00317	MvSl-1064-A1-R4_A2	MAT	689526	690227	6.92866777	1.291580174	-4.663944958	-5.955525132	0.225350207	4.26E-15	2.25E-23	0.328186076	7.11E-14	8.31E-22	4.415135258	4.377359676	3.582529161	3.877988403	8.494452179	8.286005372	4.396247467	3.730258782	8.390228775	-0.93243755	-1.16943443
MvSl-1064-A2-R4_A2g00426	MvSl-1064-A1-R4_A2	MAT	943870	944171	7.592020692	1.336519909	-4.364159389	-5.700679297	0.101258558	1.33E-16	9.73E-26	0.175327689	2.64E-15	4.19E-24	5.334583991	4.746685133	4.21929665	4.147759517	8.62523638	9.375005813	5.040634562	4.183528083	9.000121096	-0.836339048	-1.105224293
MvSl-1064-A2-R4_A2g01717	MvSl-1064-A1-R4_A2	MAT	3775738	3776041	7.376228145	1.658246229	-3.787815844	-5.446062073	0.034636768	6.50E-13	3.71E-22	0.073002355	8.20E-12	1.20E-20	6.170897301	3.113756926	4.21929665	4.147759517	8.77764907	8.822959822	4.642327114	4.183528083	8.800304446	-0.922705251	-1.072833315
MvSl-1064-A2-R4_A2g00689	MvSl-1064-A1-R4_A2	MAT	1465769	1465982	7.391130497	-0.780995093	-6.100830846	-5.319835753	0.468748375	2.99E-21	3.44E-25	0.59397772	9.11E-20	1.37E-23	4.415135258	3.113756926	3.935762933	4.571173904	8.660524517	9.067266095	3.764446092	4.253468418	8.863895306	-1.235503242	-1.059301099
MvSl-1064-A2-R4_A2g01593	MvSl-1064-A1-R4_A2	MAT	3505859	3507002	7.135806713	0.935686357	-4.28158417	-5.217270526	0.276375142	2.12E-15	2.67E-23	0.386178239	3.78E-14	9.19E-22	5.334583991	3.87969288	3.935762933	4.374944685	8.533044355	8.612122562	4.607138435	4.155353809	8.572583459	-0.895859096	-1.044758724
MvSl-1064-A2-R4_A2g01086	MvSl-1064-A1-R4_A2	MAT	2355648	2355991	9.454945118	-2.385680513	-8.239541251	-5.853860738	0.006509803	2.61E-47	2.43E-45	0.018094453	4.49E-45	4.20E-43	4.415135258	3.113756926	5.139299501	5.671842043	11.00979202	10.98855489	3.764446092	5.405570772	10.99917345	-1.54688561	-1.02487625
MvSl-1064-A2-R4_A2g01172	MvSl-1064-A1-R4_A2	MAT	2527309	2527467	8.603200364	-2.036298153	-7.36025112	-5.323952968	0.031184648	1.91E-28	1.23E-26	0.066469308	9.85E-27	7.07E-25	3.113756926	4.377359676	5.498702839	4.743880427	9.6537926	10.47215342	3.745558301	5.121291633	10.06297301	-1.425803915	-0.974476977
MvSl-1064-A2-R4_A2g00984	MvSl-1064-A1-R4_A2	MAT	2125376	2125812	6.158410827	-1.221947595	-5.645619197	-4.423671602	0.377267219	7.54E-09	3.71E-09	0.493790259	5.49E-08	4.56E-08	3.113756926	3.87969288	4.21929665	3.877988403	8.03822415	6.89009075	3.496724903	4.048642526	7.46415745	-1.093975119	-0.882541153
MvSl-1064-A2-R4_A2g01078	MvSl-1064-A1-R4_A2	MAT	2338977	2340060	5.843489889	1.594616706	-2.247613905	-3.842230611	0.091339576	0.002764245	1.33E-06	0.161161103	0.007601675	1.41E-05	4.415135258	5.493055427	3.113756926	4.571173904	6.665951642	7.264875473	4.954095343	3.842465415	6.965413557	-0.491587379	-0.858176738
MvSl-1064-A2-R4_A2g00809	MvSl-1064-A1-R4_A2	MAT	1708488	1708969	6.685057388	-0.028204867	-4.330870284	-4.302665417	0.9763524	1.92E-09	2.21E-11	1	1.58E-08	3.69E-10	3.906463375	4.746685133	4.21929665	4.571173904	7.367175201	8.528675826	4.326574254	4.395235277	7.947925513	-0.877353189	-0.854637957
MvSl-1064-A2-R4_A2g01391	MvSl-1064-A1-R4_A2	MAT	3077909	3078073	7.42337497	4.500407442	0.48174145	-4.018665992	5.49E-20	0.17135799	7.06E-16	1.35E-18	0.269276841	1.59E-14	8.402141408	8.105655329	4.21929665	4.571173904	7.837008721	7.750677509	8.253898368	4.395235277	7.793843115	0.082740783	-0.826394496
MvSl-1064-A2-R4_A2g01089	MvSl-1064-A1-R4_A2	MAT	2359883	2361828	6.943908461	0.664565109	-3.41335847	-4.077923579	0.347866333	2.28E-11	3.45E-17	0.4732813	2.31E-10	8.48E-16	5.334583991	5.040474215	4.659555351	4.743880427	8.190842468	8.365111457	5.187529103	4.701717889	8.277976962	-0.674230708	-0.816090256
MvSl-1064-A2-R4_A2g01750	MvSl-1064-A1-R4_A2	MAT	3848241	3849525	4.773752699	2.624002997	-1.85931884	-4.483321837	0.060461658	0.063955852	0.000137694	0.116626039	0.117252395	0.001016967	5.088023658	3.113756926	3.113756926	3.545895894	6.073001968	5.454233306	4.100890292	3.32982641	5.763617637	-0.49103748	-0.79152766
