gida1	part8	youngold	intron_nr_a1	intron_mean_a1	intron_total_a1	intron_nr_a2	intron_mean_a2	intron_total_a2	intron_nr_diff	intron_mean_diff	intron_total_diff	start	end	logCPM	logFC.A1.A2	abs	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE								
MvSl-1064-A1-R4_MC07g07648	Auto	Auto	1	80	80	1	80	80	0	0	0	261764	264280	4.407088511	-7.309841352	7.309841352	9.72E-61	6.39E-58	-0.926535427	-2.358483091	5.641087983	5.114905006	Down								
MvSl-1064-A1-R4_MC02g03433	Auto	Auto	5	80.8	404	5	80.8	404	0	0	0	712271	712823	3.963411421	-6.158073001	6.158073001	2.40E-46	9.32E-44	-0.926535427	-0.930066676	5.22548472	4.604410784	Down								
MvSl-1064-A1-R4_A1g00752	Black	OldStrata	2	64	128	5	100.2	501	-3	-36.2	-373	1010063	1012204	3.566412471	-5.754454425	5.754454425	7.24E-43	2.69E-40	-0.58227834	-1.382795818	4.627030059	4.46064975	Down								
MvSl-1064-A1-R4_A1g00668	Orange	ColorStrata	7	131	917	6	126.167	757	1	4.833	160	1441050	1443387	6.117997614	-5.711873018	5.711873018	2.15E-96	3.68E-93	1.027525212	1.74502952	7.12815356	7.055076482	Down								
MvSl-1064-A1-R4_A1g01404	Black	OldStrata	1	71	71	1	0	0	0	71	71	1207176	1208666	2.637666471	-5.516663924	5.516663924	2.10E-31	4.08E-29	-1.56888085	-1.382795818	3.553488082	3.676947153	Down								
MvSl-1064-A1-R4_MC03g04885	Auto	Auto	4	81	324	4	81	324	0	0	0	1526781	1528843	2.724310421	-5.478775526	5.478775526	1.74E-24	2.33E-22	-1.56888085	-1.215597698	4.110099537	3.125165782	Down								
MvSl-1064-A1-R4_MC01-1g02857	Auto	Auto	1	184	184	1	184	184	0	0	0	2286759	2287328	0.844164726	-5.478516142	5.478516142	5.14E-17	5.24E-15	-2.75614321	-2.358483091	1.830107123	1.810045809	Down								
MvSl-1064-A1-R4_MC02g03442	Auto	Auto	6	145.833	875	4	195	780	2	-49.167	95	714322	716738	2.287461291	-5.153117119	5.153117119	4.71E-19	5.09E-17	-1.062331232	-2.046230976	3.702290233	2.606047357	Down								
MvSl-1064-A1-R4_MC10-1g09843	Auto	Auto	1	44	44	1	44	44	0	0	0	324800	325624	1.478962097	-4.963022564	4.963022564	1.70E-19	1.88E-17	-2.043678548	-1.789683465	2.572276917	2.302980956	Down								
MvSl-1064-A1-R4_MC06g07137	Auto	Auto	7	78.8571	552	7	78.8571	552	0	0	0	750073	751270	9.015454552	-4.958388394	4.958388394	4.30E-48	1.84E-45	4.804179799	5.200060808	9.711243968	10.1892913	Down								
MvSl-1064-A1-R4_A1g00522	Black	OldStrata	6	84.6667	508	6	82.6667	496	0	2	12	1399296	1400598	1.371007143	-4.655908909	4.655908909	1.04E-16	1.03E-14	-2.75614321	-1.215597698	2.451304939	2.185942725	Down								
MvSl-1064-A1-R4_MC02g03522	Auto	Auto	1	51	51	2	61.5	123	-1	-10.5	-72	843831	845750	4.194829587	-4.51041666	4.51041666	9.27E-36	2.20E-33	0.887114917	0.506001378	4.807640407	5.405935096	Down								
MvSl-1064-A1-R4_MC10-1g09819	Auto	Auto	9	184.111	1657	9	184.111	1657	0	0	0	291142	293603	5.347551399	-4.350527616	4.350527616	9.94E-50	4.72E-47	2.271132637	1.572918467	6.145532317	6.404219845	Down								
MvSl-1064-A1-R4_A1g00591	Black	OldStrata	1	0	0	1	0	0	0	0	0	552007	553387	3.876731588	-4.272358924	4.272358924	9.78E-25	1.35E-22	1.027525212	0.060947975	4.380592681	5.139844794	Down								
MvSl-1064-A1-R4_A1g00269	Black	OldStrata	5	116.6	583	4	106.25	425	1	10.35	158	1139524	1144406	6.339085605	-4.216289271	4.216289271	2.19E-61	1.56E-58	3.359271189	2.691962548	7.291736728	7.236816721	Down								
MvSl-1064-A1-R4_MC08g08450	Auto	Auto	5	103	515	5	103	515	0	0	0	505637	507278	7.013369972	-4.156850851	4.156850851	8.64E-76	7.39E-73	3.954975471	3.59887546	7.899054474	7.970766618	Down								
MvSl-1064-A1-R4_MC14g11898	Auto	Auto	2	154.5	309	2	154.5	309	0	0	0	395025	396943	1.880266877	-4.083415488	4.083415488	5.11E-15	4.33E-13	-2.043678548	-0.395107576	3.032075479	2.539450147	Down								
MvSl-1064-A1-R4_A1g00763	Black	OldStrata	5	67.4	337	6	69.8333	419	-1	-2.4333	-82	1144687	1148015	0.613957131	-4.029433889	4.029433889	3.44E-10	1.77E-08	-1.379573498	-2.757536787	1.010226695	1.91884176	Down								
MvSl-1064-A1-R4_MC01-1g02828	Auto	Auto	1	64	64	1	64	64	0	0	0	2213276	2215089	0.262128092	-3.857269963	3.857269963	2.67E-10	1.41E-08	-2.043678548	-2.046230976	1.010226695	1.300315986	Down								
MvSl-1064-A1-R4_MC02g03432	Auto	Auto	6	145.833	875	4	195	780	2	-49.167	95	707663	711864	0.808276004	-3.710587015	3.710587015	4.84E-11	2.78E-09	-1.062331232	-2.358483091	1.51836347	1.876302765	Down								
MvSl-1064-A1-R4_MC01-1g02347	Auto	Auto	1	0	0	1	0	0	0	0	0	1042881	1043799	3.191037745	-3.643653614	3.643653614	6.54E-21	7.77E-19	0.55716287	0.506001378	4.36206763	3.743544657	Down								
