gida1	prot	cds	part8	youngold	intron_nr	intron_mean	intron_total	DE	DE2	haploid
MvSl-1064-A1-R4_A1g00002	97	294	bPAR	bPAR	1	0	0	NON	NON	A1
MvSl-1064-A1-R4_A1g00004	627	1884	bPAR	bPAR	4	75.25	300	NON	NON	A1
MvSl-1064-A1-R4_A1g00005	273	822	bPAR	bPAR	1	0	0	NON	NON	A1
MvSl-1064-A1-R4_A1g00006	138	417	bPAR	bPAR	3	308.333	925	NON	NON	A1
MvSl-1064-A1-R4_A1g00007	1001	3006	bPAR	bPAR	5	103.2	516	NON	NON	A1
MvSl-1064-A1-R4_A1g00008	555	1668	bPAR	bPAR	3	85	255	NON	NON	A1
MvSl-1064-A1-R4_A1g00009	379	1140	bPAR	bPAR	2	121.5	243	NON	NON	A1
MvSl-1064-A1-R4_A1g00010	337	1014	bPAR	bPAR	4	152.75	611	NON	NON	A1
MvSl-1064-A1-R4_A1g00013	566	1701	bPAR	bPAR	6	75.6667	454	NON	NON	A1
MvSl-1064-A1-R4_A1g00014	149	450	bPAR	bPAR	3	74	222	Down	DE	A1
MvSl-1064-A1-R4_A1g00015	254	765	bPAR	bPAR	2	42	84	Down	DE	A1
MvSl-1064-A1-R4_A1g00016	55	168	bPAR	bPAR	1	0	0	Down	DE	A1
MvSl-1064-A1-R4_A1g00017	543	1632	bPAR	bPAR	8	87.375	699	NON	NON	A1
MvSl-1064-A1-R4_A1g00019	261	786	bPAR	bPAR	3	216.667	650	NON	NON	A1
MvSl-1064-A1-R4_A1g00021	69	210	bPAR	bPAR	1	142	142	NON	NON	A1
MvSl-1064-A1-R4_A1g00023	437	1314	bPAR	bPAR	4	203	812	NON	NON	A1
MvSl-1064-A1-R4_A1g00024	203	612	bPAR	bPAR	3	98	294	NON	NON	A1
MvSl-1064-A1-R4_A1g00025	540	1623	bPAR	bPAR	7	87.7143	614	NON	NON	A1
MvSl-1064-A1-R4_A1g00026	1405	4218	bPAR	bPAR	13	92.1538	1198	NON	NON	A1
MvSl-1064-A1-R4_A1g00028	167	504	bPAR	bPAR	3	56.6667	170	NON	NON	A1
MvSl-1064-A1-R4_A1g00029	56	171	bPAR	bPAR	2	77	154	Up	DE	A1
MvSl-1064-A1-R4_A1g00030	122	369	bPAR	bPAR	1	85	85	Up	DE	A1
MvSl-1064-A1-R4_A1g00031	318	957	bPAR	bPAR	7	93.4286	654	NON	NON	A1
MvSl-1064-A1-R4_A1g00032	517	1554	bPAR	bPAR	12	93.6667	1124	NON	NON	A1
MvSl-1064-A1-R4_A1g00033	266	801	bPAR	bPAR	3	51.6667	155	NON	NON	A1
MvSl-1064-A1-R4_A1g00035	461	1386	bPAR	bPAR	1	0	0	NON	NON	A1
MvSl-1064-A1-R4_A1g00036	397	1194	bPAR	bPAR	3	93	279	NON	NON	A1
MvSl-1064-A1-R4_A1g00037	806	2421	bPAR	bPAR	2	85.5	171	NON	NON	A1
MvSl-1064-A1-R4_A1g00039	611	1836	bPAR	bPAR	12	90.0833	1081	NON	NON	A1
MvSl-1064-A1-R4_A1g00040	360	1083	bPAR	bPAR	7	87.5714	613	NON	NON	A1
MvSl-1064-A1-R4_A1g00046	292	879	bPAR	bPAR	7	83.1429	582	NON	NON	A1
MvSl-1064-A1-R4_A1g00047	299	900	bPAR	bPAR	5	74	370	NON	NON	A1
MvSl-1064-A1-R4_A1g00048	523	1572	bPAR	bPAR	1	0	0	NON	NON	A1
MvSl-1064-A1-R4_A1g00049	873	2622	bPAR	bPAR	7	79.1429	554	NON	NON	A1
MvSl-1064-A1-R4_A1g00050	1493	4482	bPAR	bPAR	3	72.6667	218	NON	NON	A1
MvSl-1064-A1-R4_A1g00051	358	1077	bPAR	bPAR	4	85	340	NON	NON	A1
MvSl-1064-A1-R4_A1g00052	76	231	bPAR	bPAR	1	180	180	NON	NON	A1
MvSl-1064-A1-R4_A1g00053	418	1257	bPAR	bPAR	5	71.4	357	NON	NON	A1
MvSl-1064-A1-R4_A1g00054	388	1167	bPAR	bPAR	7	76.7143	537	NON	NON	A1
MvSl-1064-A1-R4_A1g00055	428	1287	bPAR	bPAR	2	72	144	NON	NON	A1
MvSl-1064-A1-R4_A1g00056	576	1731	bPAR	bPAR	6	94.6667	568	NON	NON	A1
MvSl-1064-A1-R4_A1g00057	107	324	bPAR	bPAR	1	0	0	NON	NON	A1
MvSl-1064-A1-R4_A1g00058	49	150	bPAR	bPAR	1	128	128	NON	NON	A1
MvSl-1064-A1-R4_A1g00059	68	207	bPAR	bPAR	1	0	0	NON	NON	A1
MvSl-1064-A1-R4_A1g00060	317	954	bPAR	bPAR	5	119.8	599	NON	NON	A1
MvSl-1064-A1-R4_A1g00061	219	660	bPAR	bPAR	3	100	301	NON	NON	A1
MvSl-1064-A1-R4_A1g00062	714	2145	bPAR	bPAR	5	129	645	NON	NON	A1
MvSl-1064-A1-R4_A1g00063	316	951	bPAR	bPAR	3	108	325	NON	NON	A1
MvSl-1064-A1-R4_A1g00064	232	699	bPAR	bPAR	3	151.667	455	NON	NON	A1
MvSl-1064-A1-R4_A1g00065	649	1950	bPAR	bPAR	10	81.9	818	NON	NON	A1
MvSl-1064-A1-R4_A1g00066	184	555	bPAR	bPAR	2	73	146	NON	NON	A1
MvSl-1064-A1-R4_A1g00067	451	1356	bPAR	bPAR	8	105	840	NON	NON	A1
MvSl-1064-A1-R4_A1g00068	397	1194	bPAR	bPAR	3	124.667	374	NON	NON	A1
MvSl-1064-A1-R4_A1g00069	1429	4290	bPAR	bPAR	2	98	196	NON	NON	A1
MvSl-1064-A1-R4_A1g00070	918	2757	bPAR	bPAR	1	84	84	NON	NON	A1
MvSl-1064-A1-R4_A1g00071	495	1488	bPAR	bPAR	4	97.5	390	NON	NON	A1
MvSl-1064-A1-R4_A1g00072	663	1992	bPAR	bPAR	4	110.25	441	NON	NON	A1
MvSl-1064-A1-R4_A1g00073	375	1128	bPAR	bPAR	3	107.667	323	Up	DE	A1
MvSl-1064-A1-R4_A1g00074	613	1842	bPAR	bPAR	10	124.3	1243	NON	NON	A1
