gid	TEaverage	averageGC3	averageGC0	intronmeannr	intronmeanlength	intronmeantotal	Part8	youngold	logFC.A1.A2	abs	a1prot	a2prot	meanprot	ratioprot	DE	DE2	a1cds	a2cds	ratiocds	meancds
MvSl-1064-A1-R4_A1g00002	0.117647059	63.095	63.095	1	0	0	bPAR	bPAR	0.229671835	0.229671835	97	97	97	1	NON	NON	294	294	1	294
MvSl-1064-A1-R4_A1g00003	0.176470588	52.05	52.265	4	197.375	789.5	bPAR	bPAR	0.360311503	0.360311503	1300	1310	1305	0.992366412	NON	NON	3933	3903	1.007686395	3918
MvSl-1064-A1-R4_A1g00004	0.117647059	58.44	58.44	4	75.125	300.5	bPAR	bPAR	0.093859496	0.093859496	627	627	627	1	NON	NON	1884	1884	1	1884
MvSl-1064-A1-R4_A1g00005	0.117647059	55.96	55.96	1	0	0	bPAR	bPAR	0.061132212	0.061132212	273	273	273	1	NON	NON	822	822	1	822
MvSl-1064-A1-R4_A1g00006	0.117647059	67.025	67.025	3	308.333	925	bPAR	bPAR	-0.001433167	0.001433167	138	138	138	1	NON	NON	417	417	1	417
MvSl-1064-A1-R4_A1g00007	0.117647059	57.415	57.415	5	103.2	516	bPAR	bPAR	-0.209759381	0.209759381	1001	1001	1001	1	NON	NON	3006	3006	1	3006
MvSl-1064-A1-R4_A1g00008	0.117647059	60.37	60.37	3	85	255	bPAR	bPAR	-0.432955455	0.432955455	555	555	555	1	NON	NON	1668	1668	1	1668
MvSl-1064-A1-R4_A1g00009	0.235294118	62.37	62.37	2	121.5	243	bPAR	bPAR	-0.705217973	0.705217973	379	379	379	1	NON	NON	1140	1140	1	1140
MvSl-1064-A1-R4_A1g00010	0.235294118	59.37	59.37	4	152.75	611	bPAR	bPAR	0.785609424	0.785609424	337	337	337	1	NON	NON	1014	1014	1	1014
MvSl-1064-A1-R4_A1g00013	0.117647059	61.055	61.055	6	75.6667	454	bPAR	bPAR	0.331950936	0.331950936	566	566	566	1	NON	NON	1701	1701	1	1701
MvSl-1064-A1-R4_A1g00014	0.352941176	56.885	56.885	3	74	222	bPAR	bPAR	-1.647743756	1.647743756	149	149	149	1	Down	DE	450	450	1	450
MvSl-1064-A1-R4_A1g00015	0.352941176	55.62	55.62	2	42	84	bPAR	bPAR	-2.421298156	2.421298156	254	254	254	1	Down	DE	765	765	1	765
MvSl-1064-A1-R4_A1g00016	0.352941176	57.44	57.44	1	0	0	bPAR	bPAR	-2.671972801	2.671972801	55	55	55	1	Down	DE	168	168	1	168
MvSl-1064-A1-R4_A1g00017	0.352941176	61.92	61.92	8	87.375	699	bPAR	bPAR	0.898515206	0.898515206	543	543	543	1	NON	NON	1632	1632	1	1632
MvSl-1064-A1-R4_A1g00019	0.352941176	54.585	54.585	3	216.667	650	bPAR	bPAR	0.427156681	0.427156681	261	261	261	1	NON	NON	786	786	1	786
MvSl-1064-A1-R4_A1g00021	0.352941176	50.475	50.475	1	142	142	bPAR	bPAR	0.190013272	0.190013272	69	69	69	1	NON	NON	210	210	1	210
MvSl-1064-A1-R4_A1g00023	0.294117647	57.42	57.42	4	203	812	bPAR	bPAR	-0.871091372	0.871091372	437	437	437	1	NON	NON	1314	1314	1	1314
MvSl-1064-A1-R4_A1g00024	0.352941176	56.045	56.045	3	98	294	bPAR	bPAR	0.637897266	0.637897266	203	203	203	1	NON	NON	612	612	1	612
MvSl-1064-A1-R4_A1g00025	0.352941176	60.475	60.475	7	87.7143	614	bPAR	bPAR	-0.01122618	0.01122618	540	540	540	1	NON	NON	1623	1623	1	1623
MvSl-1064-A1-R4_A1g00026	0.235294118	57.85	57.85	13	92.1538	1198	bPAR	bPAR	0.485450892	0.485450892	1405	1405	1405	1	NON	NON	4218	4218	1	4218
MvSl-1064-A1-R4_A1g00028	0.352941176	54.865	54.865	3	56.6667	170	bPAR	bPAR	0.436824573	0.436824573	167	167	167	1	NON	NON	504	504	1	504
MvSl-1064-A1-R4_A1g00029	0.352941176	54.09	54.09	2	77	154	bPAR	bPAR	4.988993955	4.988993955	56	56	56	1	Up	DE	171	171	1	171
MvSl-1064-A1-R4_A1g00030	0.352941176	54.2	54.2	1	85	85	bPAR	bPAR	2.637888472	2.637888472	122	122	122	1	Up	DE	369	369	1	369
MvSl-1064-A1-R4_A1g00031	0.352941176	54.855	54.855	7	93.5	654.5	bPAR	bPAR	0.144288744	0.144288744	318	318	318	1	NON	NON	957	957	1	957
MvSl-1064-A1-R4_A1g00032	0.352941176	60.845	60.845	12	93.6667	1124	bPAR	bPAR	-0.058255452	0.058255452	517	517	517	1	NON	NON	1554	1554	1	1554
MvSl-1064-A1-R4_A1g00033	0.352941176	61.735	61.735	3	51.6667	155	bPAR	bPAR	0.290462864	0.290462864	266	266	266	1	NON	NON	801	801	1	801
MvSl-1064-A1-R4_A1g00035	0.352941176	57.54	57.54	1	0	0	bPAR	bPAR	-0.42420988	0.42420988	461	461	461	1	NON	NON	1386	1386	1	1386
MvSl-1064-A1-R4_A1g00036	0.352941176	59.34	59.34	3	93	279	bPAR	bPAR	-0.001040873	0.001040873	397	397	397	1	NON	NON	1194	1194	1	1194
MvSl-1064-A1-R4_A1g00037	0.117647059	55.785	55.785	2	85.5	171	bPAR	bPAR	-0.135067368	0.135067368	806	806	806	1	NON	NON	2421	2421	1	2421
MvSl-1064-A1-R4_A1g00039	0.117647059	60.21	60.21	12	90.0833	1081	bPAR	bPAR	-0.294988642	0.294988642	611	611	611	1	NON	NON	1836	1836	1	1836
MvSl-1064-A1-R4_A1g00040	0.117647059	58.445	58.445	7	87.5714	613	bPAR	bPAR	0.21168993	0.21168993	360	360	360	1	NON	NON	1083	1083	1	1083
MvSl-1064-A1-R4_A1g00046	0.117647059	63.82	63.82	7	83.1429	582	bPAR	bPAR	-0.167998149	0.167998149	292	292	292	1	NON	NON	879	879	1	879
MvSl-1064-A1-R4_A1g00047	0.117647059	54.115	54.115	5	74	370	bPAR	bPAR	-0.106373771	0.106373771	299	299	299	1	NON	NON	900	900	1	900
MvSl-1064-A1-R4_A1g00048	0.117647059	54.005	54.005	1	0	0	bPAR	bPAR	-0.003773033	0.003773033	523	523	523	1	NON	NON	1572	1572	1	1572
MvSl-1064-A1-R4_A1g00049	0.117647059	52.33	52.33	7	79.1429	554	bPAR	bPAR	-0.011328206	0.011328206	873	873	873	1	NON	NON	2622	2622	1	2622
MvSl-1064-A1-R4_A1g00050	0.117647059	54.44	54.44	3	72.6667	218	bPAR	bPAR	0.307636601	0.307636601	1493	1493	1493	1	NON	NON	4482	4482	1	4482
MvSl-1064-A1-R4_A1g00051	0	56.035	56.035	4	85	340	bPAR	bPAR	-0.521803825	0.521803825	358	358	358	1	NON	NON	1077	1077	1	1077
MvSl-1064-A1-R4_A1g00052	0	53.68	53.68	1	180	180	bPAR	bPAR	0.234775283	0.234775283	76	76	76	1	NON	NON	231	231	1	231
MvSl-1064-A1-R4_A1g00053	0	57.045	57.045	5	71.4	357	bPAR	bPAR	-0.082958764	0.082958764	418	418	418	1	NON	NON	1257	1257	1	1257
MvSl-1064-A1-R4_A1g00054	0	56.13	56.13	7	76.7143	537	bPAR	bPAR	0.266858021	0.266858021	388	388	388	1	NON	NON	1167	1167	1	1167
MvSl-1064-A1-R4_A1g00055	0	56.335	56.335	2	72	144	bPAR	bPAR	0.465758998	0.465758998	428	428	428	1	NON	NON	1287	1287	1	1287
