gida1	a1GC0	a1GC3	gida2	a2GC0	a2GC3	start	end	logCPM	logFC.A1.A2	abs	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	part8	youngold	GC0diff	GC3diff	DE
MvSl-1064-A1-R4_MC07g07648	52.76	53.64	MvSl-1064-A2-R4_MC07g07913	52.76	53.64	261764	264280	4.407088511	-7.309841352	7.309841352	9.72E-61	6.39E-58	-0.926535427	-2.358483091	5.641087983	5.114905006	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC02g03433	59.99	67.81	MvSl-1064-A2-R4_MC02g03710	59.99	67.81	712271	712823	3.963411421	-6.158073001	6.158073001	2.40E-46	9.32E-44	-0.926535427	-0.930066676	5.22548472	4.604410784	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_A1g00752	56.93	61.31	MvSl-1064-A2-R4_A2g00568	57.39	62.33	1010063	1012204	3.566412471	-5.754454425	5.754454425	7.24E-43	2.69E-40	-0.58227834	-1.382795818	4.627030059	4.46064975	Black	OldStrata	-0.46	-1.02	Down
MvSl-1064-A1-R4_A1g00668	55.98	62.42	MvSl-1064-A2-R4_A2g00904	56.36	63.27	1441050	1443387	6.117997614	-5.711873018	5.711873018	2.15E-96	3.68E-93	1.027525212	1.74502952	7.12815356	7.055076482	Orange	ColorStrata	-0.38	-0.85	Down
MvSl-1064-A1-R4_A1g01404	57.54	61.25	MvSl-1064-A2-R4_A2g00821	57.17	60.56	1207176	1208666	2.637666471	-5.516663924	5.516663924	2.10E-31	4.08E-29	-1.56888085	-1.382795818	3.553488082	3.676947153	Black	OldStrata	0.37	0.69	Down
MvSl-1064-A1-R4_MC03g04885	54.57	56.05	MvSl-1064-A2-R4_MC03g05163	54.57	56.05	1526781	1528843	2.724310421	-5.478775526	5.478775526	1.74E-24	2.33E-22	-1.56888085	-1.215597698	4.110099537	3.125165782	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC01-1g02857	56.83	62.3	MvSl-1064-A2-R4_MC01g03139	56.83	62.3	2286759	2287328	0.844164726	-5.478516142	5.478516142	5.14E-17	5.24E-15	-2.75614321	-2.358483091	1.830107123	1.810045809	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC02g03442	59.77	67.29	MvSl-1064-A2-R4_MC02g03719	59.92	67.46	714322	716738	2.287461291	-5.153117119	5.153117119	4.71E-19	5.09E-17	-1.062331232	-2.046230976	3.702290233	2.606047357	Auto	Auto	-0.15	-0.17	Down
MvSl-1064-A1-R4_MC10-1g09843	53.1	60.36	MvSl-1064-A2-R4_MC10g10110	53.1	60.36	324800	325624	1.478962097	-4.963022564	4.963022564	1.70E-19	1.88E-17	-2.043678548	-1.789683465	2.572276917	2.302980956	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC06g07137	54.72	61.43	MvSl-1064-A2-R4_MC06-2g07402	54.72	61.43	750073	751270	9.015454552	-4.958388394	4.958388394	4.30E-48	1.84E-45	4.804179799	5.200060808	9.711243968	10.1892913	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_A1g00522	50.91	60.38	MvSl-1064-A2-R4_A2g00889	50.99	60.86	1399296	1400598	1.371007143	-4.655908909	4.655908909	1.04E-16	1.03E-14	-2.75614321	-1.215597698	2.451304939	2.185942725	Black	OldStrata	-0.08	-0.48	Down
MvSl-1064-A1-R4_MC02g03522	58.7	68.59	MvSl-1064-A2-R4_MC02g03800	59.13	68.8	843831	845750	4.194829587	-4.51041666	4.51041666	9.27E-36	2.20E-33	0.887114917	0.506001378	4.807640407	5.405935096	Auto	Auto	-0.43	-0.21	Down
MvSl-1064-A1-R4_MC10-1g09819	54.09	61.32	MvSl-1064-A2-R4_MC10g10086	54.09	61.32	291142	293603	5.347551399	-4.350527616	4.350527616	9.94E-50	4.72E-47	2.271132637	1.572918467	6.145532317	6.404219845	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_A1g00591	57.73	63.06	MvSl-1064-A2-R4_A2g00208	56.97	63.09	552007	553387	3.876731588	-4.272358924	4.272358924	9.78E-25	1.35E-22	1.027525212	0.060947975	4.380592681	5.139844794	Black	OldStrata	0.76	-0.03	Down
MvSl-1064-A1-R4_A1g00269	56.03	65.95	MvSl-1064-A2-R4_A2g00651	56.02	66.09	1139524	1144406	6.339085605	-4.216289271	4.216289271	2.19E-61	1.56E-58	3.359271189	2.691962548	7.291736728	7.236816721	Black	OldStrata	0.01	-0.14	Down
MvSl-1064-A1-R4_MC08g08450	58.36	60.84	MvSl-1064-A2-R4_MC08-1g08715	58.36	60.84	505637	507278	7.013369972	-4.156850851	4.156850851	8.64E-76	7.39E-73	3.954975471	3.59887546	7.899054474	7.970766618	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC14g11898	55.46	57.52	MvSl-1064-A2-R4_MC14g12159	55.46	57.52	395025	396943	1.880266877	-4.083415488	4.083415488	5.11E-15	4.33E-13	-2.043678548	-0.395107576	3.032075479	2.539450147	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_A1g00763	53.53	61.17	MvSl-1064-A2-R4_A2g00660	55.41	63.81	1144687	1148015	0.613957131	-4.029433889	4.029433889	3.44E-10	1.77E-08	-1.379573498	-2.757536787	1.010226695	1.91884176	Black	OldStrata	-1.88	-2.64	Down
MvSl-1064-A1-R4_MC01-1g02828	52.94	59.48	MvSl-1064-A2-R4_MC01g03110	52.94	59.48	2213276	2215089	0.262128092	-3.857269963	3.857269963	2.67E-10	1.41E-08	-2.043678548	-2.046230976	1.010226695	1.300315986	Auto	Auto	0	0	Down
