gida1	youngold	logFC.A1.A2	abs	DE	DE2	genediff	upk5diff	upk10diff	upk15diff	upk20diff	down5kdiff	down10kdiff	down15kdiff	down20kdiff	ratioprot	ratiocds	intron_nr_diff	intron_mean_diff	intron_total_diff	GC0diff	GC3diff	dn	ds	dnds
MvSl-1064-A1-R4_A1g00014	bPAR	-1.647743756	1.647743756	Down	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_A1g00015	bPAR	-2.421298156	2.421298156	Down	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_A1g00016	bPAR	-2.671972801	2.671972801	Down	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_A1g00029	bPAR	4.988993955	4.988993955	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_A1g00030	bPAR	2.637888472	2.637888472	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_A1g00073	bPAR	0.811477637	0.811477637	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00078	bPAR	-0.993002656	0.993002656	Down	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00079	bPAR	-1.646693649	1.646693649	Down	DE	0	0	0	0	0	0	0	0	2	1	1	0	0.1	1	0	0	0	0	0
MvSl-1064-A1-R4_A1g00080	bPAR	-1.367630539	1.367630539	Down	DE	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0.43	0	0	0.0061	0
MvSl-1064-A1-R4_A1g00081	OldStrata	-2.764413249	2.764413249	Down	DE	0	0	0	0	0	0	0	2	0	1	1	0	0.25	2	0.09	0	NA	NA	NA
MvSl-1064-A1-R4_A1g00106	OldStrata	1.297354832	1.297354832	Up	DE	0	0	-1	1	0	0	0	0	0	1	1	0	-9.3333	-28	-0.3	-0.44	NA	NA	NA
MvSl-1064-A1-R4_A1g00118	OldStrata	1.366976139	1.366976139	Up	DE	0	2	0	0	0	0	-1	-5	1	0.987124464	0.987179487	0	10.5	21	0.47	0.38	NA	NA	NA
MvSl-1064-A1-R4_A1g00154	OldStrata	-0.909654782	0.909654782	Down	DE	0	0	-4	0	0	0	0	-1	0	1	1	0	3	3	0.46	0.45	0.0425	0.013	3.269205621
