gid	youngold	logFC.A1.A2	ratioprot	DE	DE2	ratiocds
MvSl-1064-A1-R4_A1g00004	bPAR	0.093859496	1	NON	NON	1
MvSl-1064-A1-R4_A1g00005	bPAR	0.061132212	1	NON	NON	1
MvSl-1064-A1-R4_A1g00006	bPAR	-0.001433167	1	NON	NON	1
MvSl-1064-A1-R4_A1g00007	bPAR	-0.209759381	1	NON	NON	1
MvSl-1064-A1-R4_A1g00008	bPAR	-0.432955455	1	NON	NON	1
MvSl-1064-A1-R4_A1g00009	bPAR	-0.705217973	1	NON	NON	1
MvSl-1064-A1-R4_A1g00013	bPAR	0.331950936	1	NON	NON	1
MvSl-1064-A1-R4_A1g00017	bPAR	0.898515206	1	NON	NON	1
MvSl-1064-A1-R4_A1g00025	bPAR	-0.01122618	1	NON	NON	1
MvSl-1064-A1-R4_A1g00031	bPAR	0.144288744	1	NON	NON	1
MvSl-1064-A1-R4_A1g00032	bPAR	-0.058255452	1	NON	NON	1
MvSl-1064-A1-R4_A1g00033	bPAR	0.290462864	1	NON	NON	1
MvSl-1064-A1-R4_A1g00035	bPAR	-0.42420988	1	NON	NON	1
MvSl-1064-A1-R4_A1g00036	bPAR	-0.001040873	1	NON	NON	1
MvSl-1064-A1-R4_A1g00037	bPAR	-0.135067368	1	NON	NON	1
MvSl-1064-A1-R4_A1g00039	bPAR	-0.294988642	1	NON	NON	1
MvSl-1064-A1-R4_A1g00040	bPAR	0.21168993	1	NON	NON	1
MvSl-1064-A1-R4_A1g00046	bPAR	-0.167998149	1	NON	NON	1
MvSl-1064-A1-R4_A1g00047	bPAR	-0.106373771	1	NON	NON	1
MvSl-1064-A1-R4_A1g00048	bPAR	-0.003773033	1	NON	NON	1
MvSl-1064-A1-R4_A1g00049	bPAR	-0.011328206	1	NON	NON	1
MvSl-1064-A1-R4_A1g00050	bPAR	0.307636601	1	NON	NON	1
MvSl-1064-A1-R4_A1g00051	bPAR	-0.521803825	1	NON	NON	1
MvSl-1064-A1-R4_A1g00052	bPAR	0.234775283	1	NON	NON	1
MvSl-1064-A1-R4_A1g00053	bPAR	-0.082958764	1	NON	NON	1
MvSl-1064-A1-R4_A1g00054	bPAR	0.266858021	1	NON	NON	1
MvSl-1064-A1-R4_A1g00055	bPAR	0.465758998	1	NON	NON	1
MvSl-1064-A1-R4_A1g00056	bPAR	-0.137229584	1	NON	NON	1
MvSl-1064-A1-R4_A1g00057	bPAR	0.055084542	1	NON	NON	1
MvSl-1064-A1-R4_A1g00061	bPAR	-0.161410321	1	NON	NON	1
MvSl-1064-A1-R4_A1g00062	bPAR	0.158931977	1	NON	NON	1
MvSl-1064-A1-R4_A1g00063	bPAR	-0.061888586	1	NON	NON	1
MvSl-1064-A1-R4_A1g00064	bPAR	0.176179425	1	NON	NON	1
MvSl-1064-A1-R4_A1g00065	bPAR	-0.25401122	1	NON	NON	1
MvSl-1064-A1-R4_A1g00066	bPAR	-0.017148952	1	NON	NON	1
MvSl-1064-A1-R4_A1g00067	bPAR	0.22606909	1	NON	NON	1
MvSl-1064-A1-R4_A1g00068	bPAR	0.417722847	1	NON	NON	1
MvSl-1064-A1-R4_A1g00069	bPAR	0.262994688	1	NON	NON	1
MvSl-1064-A1-R4_A1g00070	bPAR	-0.335137523	1	NON	NON	1
MvSl-1064-A1-R4_A1g00072	bPAR	-0.10139453	1	NON	NON	1
MvSl-1064-A1-R4_A1g00074	bPAR	-0.556269443	1	NON	NON	1
MvSl-1064-A1-R4_A1g00076	bPAR	0.045865339	1	NON	NON	1
MvSl-1064-A1-R4_A1g00077	bPAR	-0.046850616	1	NON	NON	1
MvSl-1064-A1-R4_A1g00109	ColorStrata	-0.144342568	0.983193277	NON	NON	1.017021277
MvSl-1064-A1-R4_A1g00110	ColorStrata	0.241287933	1	NON	NON	1
MvSl-1064-A1-R4_A1g00113	ColorStrata	-0.075035752	1	NON	NON	1
MvSl-1064-A1-R4_A1g00144	OldStrata	-0.412659961	1.01910828	NON	NON	0.98136646
MvSl-1064-A1-R4_A1g00153	OldStrata	-0.269881931	1.025392084	NON	NON	0.975254731
MvSl-1064-A1-R4_A1g00155	OldStrata	0.426648292	1	NON	NON	1
MvSl-1064-A1-R4_A1g00175	OldStrata	0.199201769	0.760714286	NON	NON	1.3140625
MvSl-1064-A1-R4_A1g00184	OldStrata	0.164107121	1	NON	NON	1
MvSl-1064-A1-R4_A1g00185	OldStrata	0.416321973	1	NON	NON	1
MvSl-1064-A1-R4_A1g00186	OldStrata	0.055420035	1	NON	NON	1
MvSl-1064-A1-R4_A1g00193	OldStrata	-0.688650635	1.101415094	NON	NON	1.101176471
MvSl-1064-A1-R4_A1g00211	OldStrata	0.185227777	1	NON	NON	1
MvSl-1064-A1-R4_A1g00241	OldStrata	0.569678864	1.011695906	NON	NON	1.011661808
MvSl-1064-A1-R4_A1g00245	OldStrata	-0.790101844	1	NON	NON	1
MvSl-1064-A1-R4_A1g00280	OldStrata	0.227539771	1	NON	NON	1
MvSl-1064-A1-R4_A1g00281	OldStrata	0.0839626	0.973564955	NON	NON	1.027131783
MvSl-1064-A1-R4_A1g00290	OldStrata	0.178481473	1	NON	NON	1
MvSl-1064-A1-R4_A1g00311	OldStrata	0.053430623	0.998665777	NON	NON	1.001335113
MvSl-1064-A1-R4_A1g00327	OldStrata	-0.087017264	1.038647343	NON	NON	1.038461538
MvSl-1064-A1-R4_A1g00328	OldStrata	-0.093060328	1.52	NON	NON	1.517045455
